player_name,team_name,hero_name,times_played,total_times_played
ANSOONJAE,New York Excelsior,Brigitte,1,7
ANSOONJAE,New York Excelsior,Lucio,6,7
Admiral,London Spitfire,Brigitte,1,13
Admiral,London Spitfire,Lucio,12,13
AimGod,Seoul Infernal,Ana,15,33
AimGod,Seoul Infernal,Baptiste,1,33
AimGod,Seoul Infernal,Brigitte,2,33
AimGod,Seoul Infernal,Lucio,1,33
AimGod,Seoul Infernal,Moira,1,33
AimGod,Seoul Infernal,Zenyatta,13,33
AlphaYi,Hangzhou Spark,Genji,13,44
AlphaYi,Hangzhou Spark,Hanzo,2,44
AlphaYi,Hangzhou Spark,Mei,1,44
AlphaYi,Hangzhou Spark,Reaper,1,44
AlphaYi,Hangzhou Spark,Symmetra,6,44
AlphaYi,Hangzhou Spark,Tracer,16,44
AlphaYi,Hangzhou Spark,Widowmaker,5,44
Although,Toronto Defiant,Genji,2,8
Although,Toronto Defiant,Sombra,1,8
Although,Toronto Defiant,Symmetra,2,8
Although,Toronto Defiant,Tracer,3,8
Anamo,Florida Mayhem,Brigitte,1,12
Anamo,Florida Mayhem,Lucio,11,12
Aspire,Vancouver Titans,Ashe,1,52
Aspire,Vancouver Titans,Genji,4,52
Aspire,Vancouver Titans,Hanzo,1,52
Aspire,Vancouver Titans,Sojourn,16,52
Aspire,Vancouver Titans,Sombra,1,52
Aspire,Vancouver Titans,Symmetra,7,52
Aspire,Vancouver Titans,Tracer,15,52
Aspire,Vancouver Titans,Widowmaker,7,52
Assassin,Washington Justice,Ashe,2,36
Assassin,Washington Justice,Echo,1,36
Assassin,Washington Justice,Genji,3,36
Assassin,Washington Justice,Hanzo,1,36
Assassin,Washington Justice,Mei,3,36
Assassin,Washington Justice,Sojourn,1,36
Assassin,Washington Justice,Sombra,24,36
Assassin,Washington Justice,Symmetra,1,36
Aztac,Vancouver Titans,Brigitte,4,16
Aztac,Vancouver Titans,Lucio,2,16
Aztac,Vancouver Titans,Moira,1,16
Aztac,Vancouver Titans,Zenyatta,9,16
BEBE,Shanghai Dragons,Ana,15,22
BEBE,Shanghai Dragons,Baptiste,3,22
BEBE,Shanghai Dragons,Lucio,3,22
BEBE,Shanghai Dragons,Moira,1,22
BERNAR,Hangzhou Spark,D.Va,10,34
BERNAR,Hangzhou Spark,Doomfist,6,34
BERNAR,Hangzhou Spark,Junker Queen,4,34
BERNAR,Hangzhou Spark,Sigma,2,34
BERNAR,Hangzhou Spark,Winston,1,34
BERNAR,Hangzhou Spark,Wrecking Ball,1,34
BERNAR,Hangzhou Spark,Zarya,10,34
Backbone,London Spitfire,Genji,1,46
Backbone,London Spitfire,Hanzo,3,46
Backbone,London Spitfire,Mei,7,46
Backbone,London Spitfire,Soldier: 76,1,46
Backbone,London Spitfire,Sombra,17,46
Backbone,London Spitfire,Symmetra,3,46
Backbone,London Spitfire,Tracer,5,46
