player_name,team_name,hero_name,times_played,total_times_played
BERNAR,Hangzhou Spark,Doomfist,6,24
BERNAR,Hangzhou Spark,Junker Queen,4,24
BERNAR,Hangzhou Spark,Sigma,2,24
BERNAR,Hangzhou Spark,Winston,1,24
BERNAR,Hangzhou Spark,Wrecking Ball,1,24
BERNAR,Hangzhou Spark,Zarya,10,24
Belosrea,Seoul Infernal,Doomfist,3,17
Belosrea,Seoul Infernal,Junker Queen,4,17
Belosrea,Seoul Infernal,Reinhardt,2,17
Belosrea,Seoul Infernal,Winston,8,17
Coluge,San Francisco Shock,Doomfist,5,23
Coluge,San Francisco Shock,Junker Queen,1,23
Coluge,San Francisco Shock,Sigma,11,23
Coluge,San Francisco Shock,Winston,3,23
Coluge,San Francisco Shock,Wrecking Ball,1,23
Coluge,San Francisco Shock,Zarya,2,23
Daizi,Chengdu Hunters,Sigma,3,11
Daizi,Chengdu Hunters,Zarya,8,11
Danteh,Houston Outlaws,Doomfist,6,25
Danteh,Houston Outlaws,Orisa,3,25
Danteh,Houston Outlaws,Wrecking Ball,1,25
Danteh,Houston Outlaws,Zarya,15,25
Doge,Houston Outlaws,Winston,3,4
Doge,Houston Outlaws,Wrecking Ball,1,4
FEARLESS,Dallas Fuel,Doomfist,1,5
FEARLESS,Dallas Fuel,Roadhog,1,5
FEARLESS,Dallas Fuel,Winston,3,5
False,Vancouver Titans,Sigma,3,12
False,Vancouver Titans,Zarya,9,12
Fate,Shanghai Dragons,Doomfist,1,9
Fate,Shanghai Dragons,Reinhardt,1,9
Fate,Shanghai Dragons,Winston,7,9
Fury,Seoul Infernal,Doomfist,3,17
Fury,Seoul Infernal,Sigma,1,17
Fury,Seoul Infernal,Zarya,13,17
GA9A,Chengdu Hunters,Doomfist,3,20
GA9A,Chengdu Hunters,Winston,13,20
GA9A,Chengdu Hunters,Wrecking Ball,2,20
GA9A,Chengdu Hunters,Zarya,2,20
Guxue,Hangzhou Spark,Reinhardt,1,9
Guxue,Hangzhou Spark,Winston,8,9
HOTBA,Toronto Defiant,Doomfist,2,27
HOTBA,Toronto Defiant,Orisa,1,27
HOTBA,Toronto Defiant,Roadhog,2,27
HOTBA,Toronto Defiant,Sigma,1,27
HOTBA,Toronto Defiant,Wrecking Ball,1,27
HOTBA,Toronto Defiant,Zarya,20,27
Hadi,London Spitfire,Reinhardt,11,29
Hadi,London Spitfire,Winston,11,29
Hadi,London Spitfire,Wrecking Ball,6,29
Hadi,London Spitfire,Zarya,1,29
Hanbin,Dallas Fuel,Doomfist,4,25
Hanbin,Dallas Fuel,Junker Queen,3,25
Hanbin,Dallas Fuel,Reinhardt,1,25
Hanbin,Dallas Fuel,Zarya,17,25
Hawk,Atlanta Reign,Doomfist,4,20
Hawk,Atlanta Reign,Orisa,5,20
Hawk,Atlanta Reign,Sigma,3,20
Hawk,Atlanta Reign,Winston,3,20
Hawk,Atlanta Reign,Zarya,5,20
Kalios,Washington Justice,Doomfist,12,45
Kalios,Washington Justice,Junker Queen,2,45
Kalios,Washington Justice,Orisa,10,45
Kalios,Washington Justice,Roadhog,1,45
Kalios,Washington Justice,Sigma,1,45
Kalios,Washington Justice,Wrecking Ball,2,45
Kalios,Washington Justice,Zarya,17,45
Kellan,New York Excelsior,Doomfist,7,37
Kellan,New York Excelsior,Sigma,2,37
Kellan,New York Excelsior,Winston,10,37
Kellan,New York Excelsior,Wrecking Ball,2,37
Kellan,New York Excelsior,Zarya,16,37
Krawi,Vegas Eternal,Doomfist,8,29
Krawi,Vegas Eternal,Orisa,5,29
Krawi,Vegas Eternal,Sigma,3,29
Krawi,Vegas Eternal,Wrecking Ball,1,29
Krawi,Vegas Eternal,Zarya,12,29
Marve1,Los Angeles Valiant,Doomfist,8,23
Marve1,Los Angeles Valiant,Reinhardt,2,23
Marve1,Los Angeles Valiant,Sigma,2,23
Marve1,Los Angeles Valiant,Winston,11,23
MirroR,Vancouver Titans,Doomfist,8,19
MirroR,Vancouver Titans,Junker Queen,3,19
MirroR,Vancouver Titans,Orisa,5,19
MirroR,Vancouver Titans,Zarya,3,19
MuZe,Toronto Defiant,Winston,1,1
Piggy,Guangzhou Charge,Doomfist,8,37
Piggy,Guangzhou Charge,Roadhog,1,37
Piggy,Guangzhou Charge,Sigma,2,37
Piggy,Guangzhou Charge,Winston,4,37
Piggy,Guangzhou Charge,Wrecking Ball,1,37
Piggy,Guangzhou Charge,Zarya,21,37
Poko,London Spitfire,Sigma,2,3
Poko,London Spitfire,Zarya,1,3
Reiner,Los Angeles Gladiators,Doomfist,10,30
Reiner,Los Angeles Gladiators,Orisa,1,30
Reiner,Los Angeles Gladiators,Reinhardt,2,30
Reiner,Los Angeles Gladiators,Roadhog,1,30
Reiner,Los Angeles Gladiators,Winston,10,30
Reiner,Los Angeles Gladiators,Zarya,6,30
SASIN,Los Angeles Valiant,Reinhardt,1,13
SASIN,Los Angeles Valiant,Zarya,12,13
SPACE,Los Angeles Gladiators,Sigma,2,4
SPACE,Los Angeles Gladiators,Winston,1,4
SPACE,Los Angeles Gladiators,Zarya,1,4
Someone,Florida Mayhem,Doomfist,2,44
Someone,Florida Mayhem,Orisa,5,44
Someone,Florida Mayhem,Reinhardt,2,44
Someone,Florida Mayhem,Roadhog,1,44
Someone,Florida Mayhem,Sigma,4,44
Someone,Florida Mayhem,Winston,14,44
Someone,Florida Mayhem,Wrecking Ball,1,44
Someone,Florida Mayhem,Zarya,15,44
Void,Shanghai Dragons,Doomfist,2,13
Void,Shanghai Dragons,Junker Queen,1,13
Void,Shanghai Dragons,Orisa,2,13
Void,Shanghai Dragons,Sigma,2,13
Void,Shanghai Dragons,Zarya,6,13
mikeyy,San Francisco Shock,Orisa,4,13
mikeyy,San Francisco Shock,Reinhardt,1,13
mikeyy,San Francisco Shock,Winston,2,13
mikeyy,San Francisco Shock,Wrecking Ball,6,13
punk,Boston Uprising,Doomfist,6,32
punk,Boston Uprising,Junker Queen,2,32
punk,Boston Uprising,Orisa,3,32
punk,Boston Uprising,Sigma,3,32
punk,Boston Uprising,Winston,1,32
punk,Boston Uprising,Wrecking Ball,1,32
punk,Boston Uprising,Zarya,16,32
smurf,Seoul Dynasty,Doomfist,5,32
smurf,Seoul Dynasty,Sigma,1,32
smurf,Seoul Dynasty,Winston,10,32
smurf,Seoul Dynasty,Wrecking Ball,2,32
smurf,Seoul Dynasty,Zarya,14,32
