player_name,team_name,hero_name,times_played,total_times_played
ANSOONJAE,New York Excelsior,Brigitte,1,7
ANSOONJAE,New York Excelsior,Lucio,6,7
Admiral,London Spitfire,Brigitte,1,13
Admiral,London Spitfire,Lucio,12,13
AimGod,Seoul Infernal,Ana,15,33
AimGod,Seoul Infernal,Baptiste,1,33
AimGod,Seoul Infernal,Brigitte,2,33
AimGod,Seoul Infernal,Lucio,1,33
AimGod,Seoul Infernal,Moira,1,33
AimGod,Seoul Infernal,Zenyatta,13,33
Anamo,Florida Mayhem,Brigitte,1,12
Anamo,Florida Mayhem,Lucio,11,12
Aztac,Vancouver Titans,Brigitte,4,16
Aztac,Vancouver Titans,Lucio,2,16
Aztac,Vancouver Titans,Moira,1,16
Aztac,Vancouver Titans,Zenyatta,9,16
BEBE,Shanghai Dragons,Ana,15,22
BEBE,Shanghai Dragons,Baptiste,3,22
BEBE,Shanghai Dragons,Lucio,3,22
BEBE,Shanghai Dragons,Moira,1,22
CH0R0NG,Toronto Defiant,Baptiste,1,45
CH0R0NG,Toronto Defiant,Brigitte,8,45
CH0R0NG,Toronto Defiant,Lucio,22,45
CH0R0NG,Toronto Defiant,Moira,2,45
CH0R0NG,Toronto Defiant,Zenyatta,12,45
ChiYo,Dallas Fuel,Brigitte,4,24
ChiYo,Dallas Fuel,Lucio,18,24
ChiYo,Dallas Fuel,Zenyatta,2,24
Creative,Houston Outlaws,Ana,16,29
Creative,Houston Outlaws,Baptiste,13,29
Crimzo,Boston Uprising,Ana,12,32
Crimzo,Boston Uprising,Baptiste,18,32
Crimzo,Boston Uprising,Mercy,1,32
Crimzo,Boston Uprising,Moira,1,32
FIXA,Seoul Infernal,Ana,12,34
FIXA,Seoul Infernal,Baptiste,2,34
FIXA,Seoul Infernal,Brigitte,7,34
FIXA,Seoul Infernal,Lucio,12,34
FIXA,Seoul Infernal,Zenyatta,1,34
Faith,Boston Uprising,Lucio,9,10
Faith,Boston Uprising,Zenyatta,1,10
Farway1987,Guangzhou Charge,Ana,23,26
Farway1987,Guangzhou Charge,Moira,1,26
Farway1987,Guangzhou Charge,Zenyatta,2,26
FiNN,San Francisco Shock,Ana,12,40
FiNN,San Francisco Shock,Baptiste,5,40
FiNN,San Francisco Shock,Brigitte,1,40
FiNN,San Francisco Shock,Lucio,5,40
FiNN,San Francisco Shock,Zenyatta,17,40
Fielder,Dallas Fuel,Ana,15,25
Fielder,Dallas Fuel,Baptiste,9,25
Fielder,Dallas Fuel,Moira,1,25
FunnyAstro,Los Angeles Gladiators,Lucio,11,11
GangNamJin,New York Excelsior,Brigitte,1,26
GangNamJin,New York Excelsior,Lucio,12,26
GangNamJin,New York Excelsior,Zenyatta,13,26
HO1,New York Excelsior,Ana,18,30
HO1,New York Excelsior,Baptiste,9,30
HO1,New York Excelsior,Lucio,1,30
HO1,New York Excelsior,Moira,1,30
