,esports_match_id,map_name,map_type,player_name,team_name,hero_name
14,39291,Oasis,control,Crimzo,Boston Uprising,Baptiste
52,39291,Oasis,control,MCD,Boston Uprising,Zenyatta
97,39291,Oasis,control,Valentine,Boston Uprising,Symmetra
103,39291,Oasis,control,Valentine,Boston Uprising,Tracer
146,39291,Oasis,control,Victoria,Boston Uprising,Sombra
175,39291,Oasis,control,punk,Boston Uprising,D.Va
188,39291,Oasis,control,punk,Boston Uprising,Junker Queen
226,39291,Oasis,control,Creative,Houston Outlaws,Ana
266,39291,Oasis,control,Danteh,Houston Outlaws,Doomfist
303,39291,Oasis,control,Lastro,Houston Outlaws,Lucio
331,39291,Oasis,control,Lastro,Houston Outlaws,Zenyatta
360,39291,Oasis,control,MER1T,Houston Outlaws,Symmetra
369,39291,Oasis,control,MER1T,Houston Outlaws,Tracer
397,39291,Oasis,control,PELICAN,Houston Outlaws,Sombra
434,39291,Eichenwalde,hybrid,Crimzo,Boston Uprising,Baptiste
471,39291,Eichenwalde,hybrid,MCD,Boston Uprising,Zenyatta
506,39291,Eichenwalde,hybrid,Valentine,Boston Uprising,Tracer
538,39291,Eichenwalde,hybrid,Valentine,Boston Uprising,Widowmaker
554,39291,Eichenwalde,hybrid,Victoria,Boston Uprising,Sombra
590,39291,Eichenwalde,hybrid,punk,Boston Uprising,Junker Queen
626,39291,Eichenwalde,hybrid,Creative,Houston Outlaws,Ana
669,39291,Eichenwalde,hybrid,Doge,Houston Outlaws,D.Va
688,39291,Eichenwalde,hybrid,Doge,Houston Outlaws,Winston
715,39291,Eichenwalde,hybrid,Doge,Houston Outlaws,Wrecking Ball
734,39291,Eichenwalde,hybrid,Lastro,Houston Outlaws,Brigitte
753,39291,Eichenwalde,hybrid,Lastro,Houston Outlaws,Lucio
758,39291,Eichenwalde,hybrid,Lastro,Houston Outlaws,Zenyatta
791,39291,Eichenwalde,hybrid,MER1T,Houston Outlaws,Sojourn
811,39291,Eichenwalde,hybrid,MER1T,Houston Outlaws,Symmetra
817,39291,Eichenwalde,hybrid,MER1T,Houston Outlaws,Tracer
845,39291,Eichenwalde,hybrid,PELICAN,Houston Outlaws,Genji
870,39291,Eichenwalde,hybrid,PELICAN,Houston Outlaws,Sombra
895,39291,Route 66,payload,Crimzo,Boston Uprising,Ana
931,39291,Route 66,payload,MCD,Boston Uprising,Zenyatta
971,39291,Route 66,payload,Valentine,Boston Uprising,Tracer
996,39291,Route 66,payload,Valentine,Boston Uprising,Widowmaker
1014,39291,Route 66,payload,Victoria,Boston Uprising,Sombra
1048,39291,Route 66,payload,punk,Boston Uprising,D.Va
1070,39291,Route 66,payload,punk,Boston Uprising,Doomfist
1100,39291,Route 66,payload,Creative,Houston Outlaws,Ana
1146,39291,Route 66,payload,Doge,Houston Outlaws,D.Va
1168,39291,Route 66,payload,Doge,Houston Outlaws,Winston
1209,39291,Route 66,payload,Lastro,Houston Outlaws,Brigitte
