hero_name,stat_name,amount
Ana,Time Played,233647.13711162
Ashe,Time Played,12878.65832435
Baptiste,Time Played,94097.64527656
Bastion,Time Played,91.47353917
Brigitte,Time Played,59759.80042722
Cassidy,Time Played,546.04954545
D.Va,Time Played,79121.50892438
Doomfist,Time Played,10744.21323653
Echo,Time Played,18624.42444773
Genji,Time Played,91525.19794883
Hanzo,Time Played,6253.32460785
Junker Queen,Time Played,2782.54180604
Junkrat,Time Played,226.76581525
Lucio,Time Played,138436.40543342
Mei,Time Played,8232.82630515
Mercy,Time Played,257.95336814
Moira,Time Played,3856.11130265
Orisa,Time Played,11157.96362799
Pharah,Time Played,456.58782929
Reaper,Time Played,14212.15632613
Reinhardt,Time Played,9191.3330465
Roadhog,Time Played,78.82496470000001
Sigma,Time Played,24921.0163085
Sojourn,Time Played,128890.92363974
Soldier: 76,Time Played,2650.50491084
Sombra,Time Played,165906.84896749
Symmetra,Time Played,1634.20444331
Torbjorn,Time Played,548.93706756
Tracer,Time Played,204534.98817966
Widowmaker,Time Played,17786.14009583
Winston,Time Played,67535.35192431
Wrecking Ball,Time Played,6467.64573115
Zarya,Time Played,125499.60642677
Zenyatta,Time Played,144944.95907403
