player_name,team_name,hero_name,times_played,total_times_played
AlphaYi,Hangzhou Spark,Genji,13,44
AlphaYi,Hangzhou Spark,Hanzo,2,44
AlphaYi,Hangzhou Spark,Mei,1,44
AlphaYi,Hangzhou Spark,Reaper,1,44
AlphaYi,Hangzhou Spark,Symmetra,6,44
AlphaYi,Hangzhou Spark,Tracer,16,44
AlphaYi,Hangzhou Spark,Widowmaker,5,44
Although,Toronto Defiant,Genji,2,8
Although,Toronto Defiant,Sombra,1,8
Although,Toronto Defiant,Symmetra,2,8
Although,Toronto Defiant,Tracer,3,8
Aspire,Vancouver Titans,Ashe,1,52
Aspire,Vancouver Titans,Genji,4,52
Aspire,Vancouver Titans,Hanzo,1,52
Aspire,Vancouver Titans,Sojourn,16,52
Aspire,Vancouver Titans,Sombra,1,52
Aspire,Vancouver Titans,Symmetra,7,52
Aspire,Vancouver Titans,Tracer,15,52
Aspire,Vancouver Titans,Widowmaker,7,52
Assassin,Washington Justice,Ashe,2,36
Assassin,Washington Justice,Echo,1,36
Assassin,Washington Justice,Genji,3,36
Assassin,Washington Justice,Hanzo,1,36
Assassin,Washington Justice,Mei,3,36
Assassin,Washington Justice,Sojourn,1,36
Assassin,Washington Justice,Sombra,24,36
Assassin,Washington Justice,Symmetra,1,36
Backbone,London Spitfire,Genji,1,46
Backbone,London Spitfire,Hanzo,3,46
Backbone,London Spitfire,Mei,7,46
Backbone,London Spitfire,Soldier: 76,1,46
Backbone,London Spitfire,Sombra,17,46
Backbone,London Spitfire,Symmetra,3,46
Backbone,London Spitfire,Tracer,5,46
Backbone,London Spitfire,Widowmaker,9,46
Becky,Los Angeles Valiant,Echo,9,49
Becky,Los Angeles Valiant,Genji,3,49
Becky,Los Angeles Valiant,Junkrat,1,49
Becky,Los Angeles Valiant,Mei,2,49
Becky,Los Angeles Valiant,Pharah,2,49
Becky,Los Angeles Valiant,Reaper,1,49
Becky,Los Angeles Valiant,Symmetra,9,49
Becky,Los Angeles Valiant,Tracer,21,49
Becky,Los Angeles Valiant,Widowmaker,1,49
Checkmate,Florida Mayhem,Genji,17,52
Checkmate,Florida Mayhem,Hanzo,1,52
Checkmate,Florida Mayhem,Mei,3,52
Checkmate,Florida Mayhem,Soldier: 76,1,52
Checkmate,Florida Mayhem,Sombra,7,52
Checkmate,Florida Mayhem,Symmetra,6,52
Checkmate,Florida Mayhem,Tracer,16,52
Checkmate,Florida Mayhem,Widowmaker,1,52
ChoiSehwan,Guangzhou Charge,Cassidy,1,50
ChoiSehwan,Guangzhou Charge,Echo,1,50
ChoiSehwan,Guangzhou Charge,Genji,17,50
ChoiSehwan,Guangzhou Charge,Hanzo,1,50
ChoiSehwan,Guangzhou Charge,Reaper,5,50
ChoiSehwan,Guangzhou Charge,Sombra,1,50
ChoiSehwan,Guangzhou Charge,Symmetra,8,50
ChoiSehwan,Guangzhou Charge,Tracer,15,50
ChoiSehwan,Guangzhou Charge,Widowmaker,1,50
Decay,Washington Justice,Ashe,3,55
Decay,Washington Justice,Genji,5,55
Decay,Washington Justice,Hanzo,3,55
Decay,Washington Justice,Reaper,4,55
Decay,Washington Justice,Sojourn,5,55
Decay,Washington Justice,Soldier: 76,1,55
Decay,Washington Justice,Symmetra,9,55
Decay,Washington Justice,Tracer,24,55
Decay,Washington Justice,Widowmaker,1,55
Diya,Los Angeles Valiant,Reaper,2,4
Diya,Los Angeles Valiant,Tracer,1,4
Diya,Los Angeles Valiant,Widowmaker,1,4
Doha,Dallas Fuel,Echo,3,24
Doha,Dallas Fuel,Genji,2,24
Doha,Dallas Fuel,Hanzo,1,24
Doha,Dallas Fuel,Mei,2,24
Doha,Dallas Fuel,Sojourn,1,24
Doha,Dallas Fuel,Sombra,12,24
Doha,Dallas Fuel,Symmetra,2,24
Doha,Dallas Fuel,Widowmaker,1,24
Dove,Vegas Eternal,Ashe,6,47
Dove,Vegas Eternal,Cassidy,2,47
Dove,Vegas Eternal,Genji,3,47
Dove,Vegas Eternal,Sojourn,13,47
Dove,Vegas Eternal,Soldier: 76,2,47
Dove,Vegas Eternal,Sombra,7,47
Dove,Vegas Eternal,Symmetra,2,47
Dove,Vegas Eternal,Tracer,7,47
Dove,Vegas Eternal,Widowmaker,5,47
Edison,Dallas Fuel,Genji,7,29
Edison,Dallas Fuel,Reaper,4,29
Edison,Dallas Fuel,Sojourn,10,29
Edison,Dallas Fuel,Symmetra,1,29
Edison,Dallas Fuel,Tracer,4,29
Edison,Dallas Fuel,Widowmaker,3,29
Ezhan,Los Angeles Valiant,Ashe,2,47
Ezhan,Los Angeles Valiant,Cassidy,2,47
Ezhan,Los Angeles Valiant,Reaper,1,47
Ezhan,Los Angeles Valiant,Sojourn,12,47
Ezhan,Los Angeles Valiant,Soldier: 76,2,47
Ezhan,Los Angeles Valiant,Sombra,17,47
Ezhan,Los Angeles Valiant,Symmetra,2,47
Ezhan,Los Angeles Valiant,Tracer,1,47
Ezhan,Los Angeles Valiant,Widowmaker,8,47
Finale,Toronto Defiant,Genji,6,50
Finale,Toronto Defiant,Hanzo,1,50
Finale,Toronto Defiant,Mei,1,50
Finale,Toronto Defiant,Reaper,7,50
Finale,Toronto Defiant,Sojourn,1,50
Finale,Toronto Defiant,Symmetra,9,50
Finale,Toronto Defiant,Tracer,18,50
Finale,Toronto Defiant,Widowmaker,7,50
