player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Ana,3,18
Admiral,London Spitfire,Lucio,14,18
Admiral,London Spitfire,Moira,1,18
AimGod,Seoul Infernal,Ana,1,9
AimGod,Seoul Infernal,Kiriko,7,9
AimGod,Seoul Infernal,Zenyatta,1,9
Anamo,Florida Mayhem,Lucio,20,20
CH0R0NG,Toronto Defiant,Brigitte,1,20
CH0R0NG,Toronto Defiant,Lucio,18,20
CH0R0NG,Toronto Defiant,Moira,1,20
ChiYo,Dallas Fuel,Lucio,18,18
Creative,Houston Outlaws,Baptiste,2,20
Creative,Houston Outlaws,Kiriko,18,20
Crimzo,Boston Uprising,Ana,2,11
Crimzo,Boston Uprising,Baptiste,9,11
FIXA,Seoul Infernal,Ana,1,8
FIXA,Seoul Infernal,Lucio,7,8
Faith,Boston Uprising,Lucio,9,9
Farway1987,Guangzhou Charge,Ana,3,5
Farway1987,Guangzhou Charge,Baptiste,2,5
FiNN,San Francisco Shock,Baptiste,1,31
FiNN,San Francisco Shock,Kiriko,27,31
FiNN,San Francisco Shock,Zenyatta,3,31
Fielder,Dallas Fuel,Ana,1,19
Fielder,Dallas Fuel,Kiriko,18,19
FunnyAstro,Los Angeles Gladiators,Lucio,11,11
IZaYaKI,Shanghai Dragons,Kiriko,7,7
Krillin,Washington Justice,Baptiste,6,11
Krillin,Washington Justice,Mercy,1,11
Krillin,Washington Justice,Zenyatta,4,11
Landon,London Spitfire,Kiriko,14,14
Lastro,Houston Outlaws,Lucio,18,18
LeeJaeGon,Shanghai Dragons,Lucio,7,7
Mmonk,Chengdu Hunters,Ana,7,9
Mmonk,Chengdu Hunters,Baptiste,2,9
Nisha,Chengdu Hunters,Brigitte,7,12
Nisha,Chengdu Hunters,Lucio,4,12
Nisha,Chengdu Hunters,Zenyatta,1,12
OPENER,Washington Justice,Ana,3,12
OPENER,Washington Justice,Brigitte,3,12
OPENER,Washington Justice,Lucio,6,12
Ojee,Atlanta Reign,Lucio,7,7
Profit,Seoul Dynasty,Kiriko,2,2
Rupal,Florida Mayhem,Ana,1,11
Rupal,Florida Mayhem,Baptiste,8,11
Rupal,Florida Mayhem,Kiriko,1,11
Rupal,Florida Mayhem,Lucio,1,11
SirMajed,Florida Mayhem,Kiriko,13,14
SirMajed,Florida Mayhem,Zenyatta,1,14
Superich,Hangzhou Spark,Brigitte,3,27
Superich,Hangzhou Spark,Lucio,24,27
Teru,Hangzhou Spark,Ana,2,29
Teru,Hangzhou Spark,Baptiste,2,29
Teru,Hangzhou Spark,Brigitte,1,29
Teru,Hangzhou Spark,Kiriko,23,29
Teru,Hangzhou Spark,Moira,1,29
Twilight,Toronto Defiant,Ana,6,26
Twilight,Toronto Defiant,Baptiste,10,26
Twilight,Toronto Defiant,Kiriko,8,26
Twilight,Toronto Defiant,Lucio,1,26
Twilight,Toronto Defiant,Zenyatta,1,26
UltraViolet,Atlanta Reign,Kiriko,7,7
Vindaim,Seoul Dynasty,Lucio,9,10
Vindaim,Seoul Dynasty,Zenyatta,1,10
Viol2t,San Francisco Shock,Ana,1,32
Viol2t,San Francisco Shock,Baptiste,4,32
Viol2t,San Francisco Shock,Lucio,27,32
Xerneas,Guangzhou Charge,Brigitte,1,7
Xerneas,Guangzhou Charge,Lucio,5,7
Xerneas,Guangzhou Charge,Zenyatta,1,7
ir1s,Seoul Dynasty,Ana,1,9
ir1s,Seoul Dynasty,Baptiste,1,9
ir1s,Seoul Dynasty,Kiriko,7,9
irony,Hangzhou Spark,Zenyatta,1,1
shu,Los Angeles Gladiators,Ana,1,14
shu,Los Angeles Gladiators,Baptiste,2,14
shu,Los Angeles Gladiators,Kiriko,11,14
skewed,Los Angeles Gladiators,Zenyatta,1,1
