player_name,team_name,hero_name,times_played,total_times_played
BERNAR,Hangzhou Spark,Sigma,1,2
BERNAR,Hangzhou Spark,Zarya,1,2
Belosrea,Seoul Infernal,Roadhog,1,8
Belosrea,Seoul Infernal,Winston,7,8
Coluge,San Francisco Shock,Doomfist,5,24
Coluge,San Francisco Shock,Roadhog,2,24
Coluge,San Francisco Shock,Sigma,3,24
Coluge,San Francisco Shock,Winston,14,24
Daizi,Chengdu Hunters,Zarya,2,2
Danteh,Houston Outlaws,Orisa,2,21
Danteh,Houston Outlaws,Roadhog,2,21
Danteh,Houston Outlaws,Winston,17,21
FEARLESS,Dallas Fuel,Doomfist,3,21
FEARLESS,Dallas Fuel,Winston,18,21
Fate,Shanghai Dragons,Doomfist,1,8
Fate,Shanghai Dragons,Winston,7,8
GA9A,Chengdu Hunters,Doomfist,2,8
GA9A,Chengdu Hunters,Winston,6,8
Gator,Atlanta Reign,Doomfist,1,5
Gator,Atlanta Reign,Winston,4,5
Guxue,Hangzhou Spark,Roadhog,1,26
Guxue,Hangzhou Spark,Winston,25,26
HOTBA,Toronto Defiant,Doomfist,1,17
HOTBA,Toronto Defiant,Winston,5,17
HOTBA,Toronto Defiant,Wrecking Ball,1,17
HOTBA,Toronto Defiant,Zarya,10,17
Hadi,London Spitfire,Junker Queen,1,18
Hadi,London Spitfire,Reinhardt,1,18
Hadi,London Spitfire,Roadhog,2,18
Hadi,London Spitfire,Winston,14,18
Hawk,Atlanta Reign,Doomfist,2,7
Hawk,Atlanta Reign,Orisa,1,7
Hawk,Atlanta Reign,Reinhardt,1,7
Hawk,Atlanta Reign,Winston,3,7
Kalios,Washington Justice,Doomfist,2,7
Kalios,Washington Justice,Zarya,5,7
MuZe,Toronto Defiant,Winston,3,3
Piggy,Guangzhou Charge,Winston,2,6
Piggy,Guangzhou Charge,Zarya,4,6
Reiner,Los Angeles Gladiators,Doomfist,3,16
Reiner,Los Angeles Gladiators,Reinhardt,1,16
Reiner,Los Angeles Gladiators,Roadhog,1,16
Reiner,Los Angeles Gladiators,Winston,11,16
SPACE,Los Angeles Gladiators,Sigma,1,1
Someone,Florida Mayhem,Doomfist,5,31
Someone,Florida Mayhem,Orisa,1,31
Someone,Florida Mayhem,Reinhardt,1,31
Someone,Florida Mayhem,Roadhog,1,31
Someone,Florida Mayhem,Sigma,1,31
Someone,Florida Mayhem,Winston,15,31
Someone,Florida Mayhem,Zarya,7,31
mikeyy,San Francisco Shock,Winston,14,14
punk,Boston Uprising,Doomfist,5,14
punk,Boston Uprising,Zarya,9,14
smurf,Seoul Dynasty,Sigma,1,10
smurf,Seoul Dynasty,Winston,9,10
