,map_name,map_type,tournament_title
0,Busan,control,Postseason
385,King's Row,hybrid,Postseason
857,Dorado,payload,Postseason
1289,New Queen Street,push,Postseason
1706,Oasis,control,Postseason
2669,Paraíso,hybrid,Postseason
3812,Eichenwalde,hybrid,Postseason
4201,Circuit royal,payload,Postseason
4576,Ilios,control,Postseason
7368,Colosseo,push,Postseason
10394,Lijiang Tower,control,Postseason
11103,Route 66,payload,Postseason
13501,Junkertown,payload,Postseason
16336,Esperança,push,Postseason
31399,Nepal,control,Postseason
