,esports_match_id,map_name,map_type,player_name,team_name,hero_name
5,39391,Busan,control,Daizi,Chengdu Hunters,Zarya
39,39391,Busan,control,Jinmu,Chengdu Hunters,Genji
55,39391,Busan,control,Jinmu,Chengdu Hunters,Symmetra
61,39391,Busan,control,Jinmu,Chengdu Hunters,Tracer
94,39391,Busan,control,Leave,Chengdu Hunters,Sojourn
129,39391,Busan,control,Mmonk,Chengdu Hunters,Baptiste
167,39391,Busan,control,Nisha,Chengdu Hunters,Lucio
206,39391,Busan,control,ChoiSehwan,Guangzhou Charge,Genji
240,39391,Busan,control,Farway1987,Guangzhou Charge,Baptiste
279,39391,Busan,control,Jimmy,Guangzhou Charge,Sojourn
308,39391,Busan,control,Jimmy,Guangzhou Charge,Symmetra
326,39391,Busan,control,Piggy,Guangzhou Charge,Zarya
366,39391,Busan,control,Xerneas,Guangzhou Charge,Lucio
396,39391,King's Row,hybrid,Daizi,Chengdu Hunters,Zarya
439,39391,King's Row,hybrid,Jinmu,Chengdu Hunters,Genji
461,39391,King's Row,hybrid,Jinmu,Chengdu Hunters,Tracer
494,39391,King's Row,hybrid,Leave,Chengdu Hunters,Sojourn
533,39391,King's Row,hybrid,Mmonk,Chengdu Hunters,Ana
555,39391,King's Row,hybrid,Mmonk,Chengdu Hunters,Baptiste
599,39391,King's Row,hybrid,Nisha,Chengdu Hunters,Brigitte
612,39391,King's Row,hybrid,Nisha,Chengdu Hunters,Lucio
646,39391,King's Row,hybrid,Nisha,Chengdu Hunters,Zenyatta
680,39391,King's Row,hybrid,ChoiSehwan,Guangzhou Charge,Genji
699,39391,King's Row,hybrid,ChoiSehwan,Guangzhou Charge,Tracer
722,39391,King's Row,hybrid,Farway1987,Guangzhou Charge,Baptiste
760,39391,King's Row,hybrid,Jimmy,Guangzhou Charge,Sojourn
802,39391,King's Row,hybrid,Piggy,Guangzhou Charge,Zarya
834,39391,King's Row,hybrid,Xerneas,Guangzhou Charge,Lucio
874,39391,Dorado,payload,GA9A,Chengdu Hunters,Winston
917,39391,Dorado,payload,Jinmu,Chengdu Hunters,Bastion
921,39391,Dorado,payload,Jinmu,Chengdu Hunters,Sombra
953,39391,Dorado,payload,Leave,Chengdu Hunters,Tracer
994,39391,Dorado,payload,Mmonk,Chengdu Hunters,Ana
1037,39391,Dorado,payload,Nisha,Chengdu Hunters,Brigitte
1070,39391,Dorado,payload,ChoiSehwan,Guangzhou Charge,Tracer
1102,39391,Dorado,payload,Farway1987,Guangzhou Charge,Ana
1143,39391,Dorado,payload,Jimmy,Guangzhou Charge,Sombra
1158,39391,Dorado,payload,Jimmy,Guangzhou Charge,Widowmaker
1180,39391,Dorado,payload,Piggy,Guangzhou Charge,D.Va
1196,39391,Dorado,payload,Piggy,Guangzhou Charge,Winston
1225,39391,Dorado,payload,Xerneas,Guangzhou Charge,Brigitte
1242,39391,Dorado,payload,Xerneas,Guangzhou Charge,Lucio
1267,39391,Dorado,payload,Xerneas,Guangzhou Charge,Zenyatta
1300,39391,New Queen Street,push,GA9A,Chengdu Hunters,Winston
1349,39391,New Queen Street,push,Jinmu,Chengdu Hunters,Sombra
1377,39391,New Queen Street,push,Leave,Chengdu Hunters,Sojourn
1398,39391,New Queen Street,push,Leave,Chengdu Hunters,Tracer
1427,39391,New Queen Street,push,Mmonk,Chengdu Hunters,Ana
1468,39391,New Queen Street,push,Nisha,Chengdu Hunters,Brigitte
1496,39391,New Queen Street,push,ChoiSehwan,Guangzhou Charge,Genji
1519,39391,New Queen Street,push,ChoiSehwan,Guangzhou Charge,Tracer
1551,39391,New Queen Street,push,Farway1987,Guangzhou Charge,Ana
1586,39391,New Queen Street,push,Jimmy,Guangzhou Charge,Sojourn
1605,39391,New Queen Street,push,Jimmy,Guangzhou Charge,Sombra
1639,39391,New Queen Street,push,Piggy,Guangzhou Charge,D.Va
1645,39391,New Queen Street,push,Piggy,Guangzhou Charge,Zarya
1685,39391,New Queen Street,push,Xerneas,Guangzhou Charge,Lucio
1723,39391,Oasis,control,GA9A,Chengdu Hunters,Winston
1757,39391,Oasis,control,Jinmu,Chengdu Hunters,Genji
1778,39391,Oasis,control,Jinmu,Chengdu Hunters,Sombra
1805,39391,Oasis,control,Leave,Chengdu Hunters,Sojourn
1828,39391,Oasis,control,Leave,Chengdu Hunters,Symmetra
1836,39391,Oasis,control,Leave,Chengdu Hunters,Tracer
1870,39391,Oasis,control,Mmonk,Chengdu Hunters,Ana
1909,39391,Oasis,control,Nisha,Chengdu Hunters,Brigitte
1932,39391,Oasis,control,Nisha,Chengdu Hunters,Lucio
1970,39391,Oasis,control,ChoiSehwan,Guangzhou Charge,Genji
1994,39391,Oasis,control,ChoiSehwan,Guangzhou Charge,Symmetra
1999,39391,Oasis,control,ChoiSehwan,Guangzhou Charge,Tracer
2035,39391,Oasis,control,Farway1987,Guangzhou Charge,Ana
2077,39391,Oasis,control,Jimmy,Guangzhou Charge,Sojourn
2085,39391,Oasis,control,Jimmy,Guangzhou Charge,Sombra
2114,39391,Oasis,control,Piggy,Guangzhou Charge,Winston
