hero_name,stat_name,amount
Ana,Time Played,12783.66044269
Ashe,Time Played,19.46199656
Baptiste,Time Played,26353.01381144
Bastion,Time Played,310.4759174
Brigitte,Time Played,7768.2282590800005
D.Va,Time Played,2077.1858136
Doomfist,Time Played,630.92506448
Echo,Time Played,494.4203366
Genji,Time Played,21556.26043297
Hanzo,Time Played,418.60098409
Junker Queen,Time Played,1.95226157
Junkrat,Time Played,217.5518995
Kiriko,Time Played,124235.78780736
Lucio,Time Played,147266.87906522
Mei,Time Played,290.99609273000004
Mercy,Time Played,2.91823059
Moira,Time Played,7.25408474
Orisa,Time Played,1289.91016447
Reaper,Time Played,117356.35941356
Reinhardt,Time Played,788.8319616900001
Roadhog,Time Played,589.1334907
Sigma,Time Played,5249.4561480699995
Sojourn,Time Played,154714.492765
Soldier: 76,Time Played,28.21931088
Sombra,Time Played,7692.03704814
Symmetra,Time Played,180.11760123
Tracer,Time Played,17906.99737014
Widowmaker,Time Played,5063.28324347
Winston,Time Played,129690.64516824001
Wrecking Ball,Time Played,8.06451929
Zarya,Time Played,22798.53261405
Zenyatta,Time Played,7831.53271112
