player_name,team_name,hero_name,stat_name,amount
Admiral,London Spitfire,All Heroes,Time Played,11207.67063365
Admiral,London Spitfire,Ana,Time Played,11.69302857
Admiral,London Spitfire,Lucio,Time Played,11192.61635317
Admiral,London Spitfire,Moira,Time Played,3.36125192
AimGod,Seoul Infernal,All Heroes,Time Played,5036.05954657
AimGod,Seoul Infernal,Ana,Time Played,6.81661969
AimGod,Seoul Infernal,Kiriko,Time Played,5025.34621064
AimGod,Seoul Infernal,Zenyatta,Time Played,3.89671624
AlphaYi,Hangzhou Spark,All Heroes,Time Played,16244.33965064
AlphaYi,Hangzhou Spark,Echo,Time Played,494.4203366
AlphaYi,Hangzhou Spark,Genji,Time Played,152.81124616
AlphaYi,Hangzhou Spark,Hanzo,Time Played,1.94639283
AlphaYi,Hangzhou Spark,Junkrat,Time Played,3.8921665
AlphaYi,Hangzhou Spark,Reaper,Time Played,15499.18725618
AlphaYi,Hangzhou Spark,Symmetra,Time Played,11.68471837
AlphaYi,Hangzhou Spark,Tracer,Time Played,59.95687418
AlphaYi,Hangzhou Spark,Widowmaker,Time Played,20.44065983
Anamo,Florida Mayhem,All Heroes,Time Played,13710.34620495
Anamo,Florida Mayhem,Lucio,Time Played,13710.34620495
Assassin,Washington Justice,All Heroes,Time Played,4681.64688152
Assassin,Washington Justice,Genji,Time Played,2925.70199669
Assassin,Washington Justice,Mei,Time Played,19.4738515
Assassin,Washington Justice,Sombra,Time Played,1736.47103333
BERNAR,Hangzhou Spark,All Heroes,Time Played,1744.4088112
BERNAR,Hangzhou Spark,Sigma,Time Played,928.81023334
BERNAR,Hangzhou Spark,Zarya,Time Played,815.59857786
Backbone,London Spitfire,All Heroes,Time Played,11207.67063365
Backbone,London Spitfire,Bastion,Time Played,125.56933421
Backbone,London Spitfire,Reaper,Time Played,10990.73995201
Backbone,London Spitfire,Tracer,Time Played,10.55488408
Backbone,London Spitfire,Widowmaker,Time Played,80.80646336000001
Belosrea,Seoul Infernal,All Heroes,Time Played,5036.05954657
Belosrea,Seoul Infernal,Roadhog,Time Played,3.89793307
Belosrea,Seoul Infernal,Winston,Time Played,5032.1616135
CH0R0NG,Toronto Defiant,All Heroes,Time Played,12594.85277205
CH0R0NG,Toronto Defiant,Brigitte,Time Played,480.79533088
CH0R0NG,Toronto Defiant,Lucio,Time Played,12113.08609151
CH0R0NG,Toronto Defiant,Moira,Time Played,0.97134966
Checkmate,Florida Mayhem,All Heroes,Time Played,14569.50437011
Checkmate,Florida Mayhem,Ashe,Time Played,19.46199656
Checkmate,Florida Mayhem,Genji,Time Played,3720.34662855
Checkmate,Florida Mayhem,Hanzo,Time Played,202.49460149
Checkmate,Florida Mayhem,Mei,Time Played,271.52224123
Checkmate,Florida Mayhem,Reaper,Time Played,9639.72998583
Checkmate,Florida Mayhem,Sombra,Time Played,303.90661946
Checkmate,Florida Mayhem,Symmetra,Time Played,8.75798631
Checkmate,Florida Mayhem,Tracer,Time Played,339.04053834
Checkmate,Florida Mayhem,Widowmaker,Time Played,64.24377233
ChiYo,Dallas Fuel,All Heroes,Time Played,13634.21099919
ChiYo,Dallas Fuel,Lucio,Time Played,13634.21099919
ChoiSehwan,Guangzhou Charge,All Heroes,Time Played,3457.1470898400003
ChoiSehwan,Guangzhou Charge,Genji,Time Played,2037.9232282100002
ChoiSehwan,Guangzhou Charge,Symmetra,Time Played,5.84085
ChoiSehwan,Guangzhou Charge,Tracer,Time Played,1413.38301164
Coluge,San Francisco Shock,All Heroes,Time Played,13075.94041818
Coluge,San Francisco Shock,Doomfist,Time Played,38.848990740000005
Coluge,San Francisco Shock,Roadhog,Time Played,92.15250504000001
Coluge,San Francisco Shock,Sigma,Time Played,2534.42009996
Coluge,San Francisco Shock,Winston,Time Played,10410.51882243
Creative,Houston Outlaws,All Heroes,Time Played,13763.95876884
Creative,Houston Outlaws,Baptiste,Time Played,498.47192448
Creative,Houston Outlaws,Kiriko,Time Played,13265.48684436
Crimzo,Boston Uprising,All Heroes,Time Played,5266.45007914
Crimzo,Boston Uprising,Ana,Time Played,59.38306606
Crimzo,Boston Uprising,Baptiste,Time Played,5207.06701308
Daizi,Chengdu Hunters,All Heroes,Time Played,1234.97431964
