player_name,team_name,hero_name,times_played,total_times_played
AlphaYi,Hangzhou Spark,Echo,3,36
AlphaYi,Hangzhou Spark,Genji,1,36
AlphaYi,Hangzhou Spark,Hanzo,1,36
AlphaYi,Hangzhou Spark,Junkrat,1,36
AlphaYi,Hangzhou Spark,Reaper,19,36
AlphaYi,Hangzhou Spark,Symmetra,5,36
AlphaYi,Hangzhou Spark,Tracer,3,36
AlphaYi,Hangzhou Spark,Widowmaker,3,36
Assassin,Washington Justice,Genji,5,10
Assassin,Washington Justice,Mei,1,10
Assassin,Washington Justice,Sombra,4,10
Backbone,London Spitfire,Bastion,1,25
Backbone,London Spitfire,Reaper,14,25
Backbone,London Spitfire,Tracer,1,25
Backbone,London Spitfire,Widowmaker,9,25
Checkmate,Florida Mayhem,Ashe,1,33
Checkmate,Florida Mayhem,Genji,8,33
Checkmate,Florida Mayhem,Hanzo,1,33
Checkmate,Florida Mayhem,Mei,1,33
Checkmate,Florida Mayhem,Reaper,14,33
Checkmate,Florida Mayhem,Sombra,2,33
Checkmate,Florida Mayhem,Symmetra,1,33
Checkmate,Florida Mayhem,Tracer,3,33
Checkmate,Florida Mayhem,Widowmaker,2,33
ChoiSehwan,Guangzhou Charge,Genji,4,9
ChoiSehwan,Guangzhou Charge,Symmetra,1,9
ChoiSehwan,Guangzhou Charge,Tracer,4,9
Decay,Washington Justice,Sojourn,5,11
Decay,Washington Justice,Symmetra,2,11
Decay,Washington Justice,Tracer,4,11
Edison,Dallas Fuel,Sojourn,18,22
Edison,Dallas Fuel,Widowmaker,4,22
Finale,Toronto Defiant,Genji,10,37
Finale,Toronto Defiant,Hanzo,3,37
Finale,Toronto Defiant,Reaper,3,37
Finale,Toronto Defiant,Sojourn,5,37
Finale,Toronto Defiant,Sombra,1,37
Finale,Toronto Defiant,Symmetra,3,37
Finale,Toronto Defiant,Tracer,9,37
Finale,Toronto Defiant,Widowmaker,3,37
Fits,Seoul Dynasty,Sojourn,9,12
Fits,Seoul Dynasty,Widowmaker,3,12
Fleta,Shanghai Dragons,Genji,1,13
Fleta,Shanghai Dragons,Reaper,7,13
Fleta,Shanghai Dragons,Sombra,1,13
Fleta,Shanghai Dragons,Symmetra,1,13
Fleta,Shanghai Dragons,Tracer,3,13
Happy,Los Angeles Gladiators,Hanzo,1,24
Happy,Los Angeles Gladiators,Reaper,3,24
Happy,Los Angeles Gladiators,Sojourn,10,24
Happy,Los Angeles Gladiators,Symmetra,3,24
Happy,Los Angeles Gladiators,Tracer,3,24
Happy,Los Angeles Gladiators,Widowmaker,4,24
Heesu,Toronto Defiant,Reaper,5,23
Heesu,Toronto Defiant,Sojourn,13,23
Heesu,Toronto Defiant,Sombra,1,23
Heesu,Toronto Defiant,Widowmaker,4,23
Hydron,Florida Mayhem,Sojourn,21,32
Hydron,Florida Mayhem,Symmetra,1,32
Hydron,Florida Mayhem,Tracer,3,32
Hydron,Florida Mayhem,Widowmaker,7,32
Jimmy,Guangzhou Charge,Sojourn,4,9
Jimmy,Guangzhou Charge,Sombra,3,9
Jimmy,Guangzhou Charge,Symmetra,1,9
Jimmy,Guangzhou Charge,Widowmaker,1,9
Jinmu,Chengdu Hunters,Bastion,1,15
Jinmu,Chengdu Hunters,Genji,5,15
Jinmu,Chengdu Hunters,Sombra,5,15
Jinmu,Chengdu Hunters,Symmetra,1,15
Jinmu,Chengdu Hunters,Tracer,3,15
Kai,Atlanta Reign,Sojourn,7,9
Kai,Atlanta Reign,Widowmaker,2,9
Kilo,San Francisco Shock,Sojourn,3,3
LIP,Shanghai Dragons,Sojourn,7,9
LIP,Shanghai Dragons,Widowmaker,2,9
Leave,Chengdu Hunters,Sojourn,6,13
Leave,Chengdu Hunters,Symmetra,2,13
Leave,Chengdu Hunters,Tracer,5,13
MER1T,Houston Outlaws,Sojourn,18,19
MER1T,Houston Outlaws,Symmetra,1,19
MN3,Seoul Infernal,Sojourn,7,10
MN3,Seoul Infernal,Tracer,1,10
