,map_name,player_name,team_name,hero_name
5,Busan,Daizi,Chengdu Hunters,Zarya
39,Busan,Jinmu,Chengdu Hunters,Genji
55,Busan,Jinmu,Chengdu Hunters,Symmetra
61,Busan,Jinmu,Chengdu Hunters,Tracer
94,Busan,Leave,Chengdu Hunters,Sojourn
129,Busan,Mmonk,Chengdu Hunters,Baptiste
167,Busan,Nisha,Chengdu Hunters,Lucio
206,Busan,ChoiSehwan,Guangzhou Charge,Genji
240,Busan,Farway1987,Guangzhou Charge,Baptiste
279,Busan,Jimmy,Guangzhou Charge,Sojourn
308,Busan,Jimmy,Guangzhou Charge,Symmetra
326,Busan,Piggy,Guangzhou Charge,Zarya
366,Busan,Xerneas,Guangzhou Charge,Lucio
396,King's Row,Daizi,Chengdu Hunters,Zarya
439,King's Row,Jinmu,Chengdu Hunters,Genji
461,King's Row,Jinmu,Chengdu Hunters,Tracer
494,King's Row,Leave,Chengdu Hunters,Sojourn
533,King's Row,Mmonk,Chengdu Hunters,Ana
555,King's Row,Mmonk,Chengdu Hunters,Baptiste
599,King's Row,Nisha,Chengdu Hunters,Brigitte
612,King's Row,Nisha,Chengdu Hunters,Lucio
646,King's Row,Nisha,Chengdu Hunters,Zenyatta
680,King's Row,ChoiSehwan,Guangzhou Charge,Genji
699,King's Row,ChoiSehwan,Guangzhou Charge,Tracer
722,King's Row,Farway1987,Guangzhou Charge,Baptiste
760,King's Row,Jimmy,Guangzhou Charge,Sojourn
802,King's Row,Piggy,Guangzhou Charge,Zarya
834,King's Row,Xerneas,Guangzhou Charge,Lucio
874,Dorado,GA9A,Chengdu Hunters,Winston
917,Dorado,Jinmu,Chengdu Hunters,Bastion
921,Dorado,Jinmu,Chengdu Hunters,Sombra
953,Dorado,Leave,Chengdu Hunters,Tracer
994,Dorado,Mmonk,Chengdu Hunters,Ana
1037,Dorado,Nisha,Chengdu Hunters,Brigitte
1070,Dorado,ChoiSehwan,Guangzhou Charge,Tracer
1102,Dorado,Farway1987,Guangzhou Charge,Ana
1143,Dorado,Jimmy,Guangzhou Charge,Sombra
1158,Dorado,Jimmy,Guangzhou Charge,Widowmaker
1180,Dorado,Piggy,Guangzhou Charge,D.Va
1196,Dorado,Piggy,Guangzhou Charge,Winston
1225,Dorado,Xerneas,Guangzhou Charge,Brigitte
1242,Dorado,Xerneas,Guangzhou Charge,Lucio
1267,Dorado,Xerneas,Guangzhou Charge,Zenyatta
1300,New Queen Street,GA9A,Chengdu Hunters,Winston
1349,New Queen Street,Jinmu,Chengdu Hunters,Sombra
1377,New Queen Street,Leave,Chengdu Hunters,Sojourn
1398,New Queen Street,Leave,Chengdu Hunters,Tracer
1427,New Queen Street,Mmonk,Chengdu Hunters,Ana
1468,New Queen Street,Nisha,Chengdu Hunters,Brigitte
1496,New Queen Street,ChoiSehwan,Guangzhou Charge,Genji
1519,New Queen Street,ChoiSehwan,Guangzhou Charge,Tracer
1551,New Queen Street,Farway1987,Guangzhou Charge,Ana
1586,New Queen Street,Jimmy,Guangzhou Charge,Sojourn
1605,New Queen Street,Jimmy,Guangzhou Charge,Sombra
1639,New Queen Street,Piggy,Guangzhou Charge,D.Va
1645,New Queen Street,Piggy,Guangzhou Charge,Zarya
1685,New Queen Street,Xerneas,Guangzhou Charge,Lucio
1723,Oasis,GA9A,Chengdu Hunters,Winston
1757,Oasis,Jinmu,Chengdu Hunters,Genji
1778,Oasis,Jinmu,Chengdu Hunters,Sombra
1805,Oasis,Leave,Chengdu Hunters,Sojourn
1828,Oasis,Leave,Chengdu Hunters,Symmetra
1836,Oasis,Leave,Chengdu Hunters,Tracer
1870,Oasis,Mmonk,Chengdu Hunters,Ana
1909,Oasis,Nisha,Chengdu Hunters,Brigitte
1932,Oasis,Nisha,Chengdu Hunters,Lucio
1970,Oasis,ChoiSehwan,Guangzhou Charge,Genji
1994,Oasis,ChoiSehwan,Guangzhou Charge,Symmetra
1999,Oasis,ChoiSehwan,Guangzhou Charge,Tracer
2035,Oasis,Farway1987,Guangzhou Charge,Ana
2077,Oasis,Jimmy,Guangzhou Charge,Sojourn
2085,Oasis,Jimmy,Guangzhou Charge,Sombra
2114,Oasis,Piggy,Guangzhou Charge,Winston
2129,Oasis,Piggy,Guangzhou Charge,Zarya
2166,Oasis,Xerneas,Guangzhou Charge,Lucio
2209,Oasis,GA9A,Chengdu Hunters,Winston
2250,Oasis,Jinmu,Chengdu Hunters,Genji
2270,Oasis,Jinmu,Chengdu Hunters,Sombra
2302,Oasis,Leave,Chengdu Hunters,Sojourn
2321,Oasis,Leave,Chengdu Hunters,Symmetra
2327,Oasis,Leave,Chengdu Hunters,Tracer
2365,Oasis,Mmonk,Chengdu Hunters,Ana
2400,Oasis,Nisha,Chengdu Hunters,Brigitte
2421,Oasis,Nisha,Chengdu Hunters,Lucio
2459,Oasis,BERNAR,Hangzhou Spark,Zarya
2499,Oasis,Pineapple,Hangzhou Spark,Symmetra
2504,Oasis,Pineapple,Hangzhou Spark,Tracer
2541,Oasis,Superich,Hangzhou Spark,Lucio
2578,Oasis,Teru,Hangzhou Spark,Baptiste
2604,Oasis,Teru,Hangzhou Spark,Brigitte
2624,Oasis,Teru,Hangzhou Spark,Moira
2642,Oasis,shy,Hangzhou Spark,Sojourn
2682,Paraíso,GA9A,Chengdu Hunters,Doomfist
2686,Paraíso,GA9A,Chengdu Hunters,Winston
2732,Paraíso,Jinmu,Chengdu Hunters,Genji
2759,Paraíso,Jinmu,Chengdu Hunters,Tracer
2788,Paraíso,Leave,Chengdu Hunters,Sojourn
2826,Paraíso,Mmonk,Chengdu Hunters,Ana
2862,Paraíso,Nisha,Chengdu Hunters,Brigitte
2889,Paraíso,Guxue,Hangzhou Spark,Winston
2928,Paraíso,Pineapple,Hangzhou Spark,Tracer
2946,Paraíso,Pineapple,Hangzhou Spark,Widowmaker
2967,Paraíso,Superich,Hangzhou Spark,Brigitte
2998,Paraíso,Teru,Hangzhou Spark,Ana
3044,Paraíso,shy,Hangzhou Spark,Sojourn
3085,Dorado,GA9A,Chengdu Hunters,Doomfist
3100,Dorado,GA9A,Chengdu Hunters,Winston
3138,Dorado,Jinmu,Chengdu Hunters,Sombra
3165,Dorado,Leave,Chengdu Hunters,Tracer
3203,Dorado,Mmonk,Chengdu Hunters,Ana
3240,Dorado,Nisha,Chengdu Hunters,Brigitte
3273,Dorado,Guxue,Hangzhou Spark,Winston
3319,Dorado,Pineapple,Hangzhou Spark,Tracer
3347,Dorado,Pineapple,Hangzhou Spark,Widowmaker
3370,Dorado,Superich,Hangzhou Spark,Brigitte
3401,Dorado,Teru,Hangzhou Spark,Ana
3449,Dorado,shy,Hangzhou Spark,Sojourn
3484,Busan,Crimzo,Boston Uprising,Baptiste
3515,Busan,Faith,Boston Uprising,Lucio
3550,Busan,Seeker,Boston Uprising,Sojourn
3580,Busan,Victoria,Boston Uprising,Genji
3607,Busan,punk,Boston Uprising,Doomfist
3616,Busan,punk,Boston Uprising,Zarya
3644,Busan,Anamo,Florida Mayhem,Lucio
3675,Busan,Checkmate,Florida Mayhem,Genji
3711,Busan,Hydron,Florida Mayhem,Sojourn
3756,Busan,Rupal,Florida Mayhem,Baptiste
3793,Busan,Someone,Florida Mayhem,Zarya
3828,Eichenwalde,Crimzo,Boston Uprising,Baptiste
3866,Eichenwalde,Faith,Boston Uprising,Lucio
3912,Eichenwalde,Seeker,Boston Uprising,Sojourn
3949,Eichenwalde,Victoria,Boston Uprising,Genji
3984,Eichenwalde,punk,Boston Uprising,Doomfist
3991,Eichenwalde,punk,Boston Uprising,Zarya
4028,Eichenwalde,Anamo,Florida Mayhem,Lucio
4069,Eichenwalde,Checkmate,Florida Mayhem,Genji
4104,Eichenwalde,Hydron,Florida Mayhem,Sojourn
4135,Eichenwalde,Rupal,Florida Mayhem,Baptiste
4177,Eichenwalde,Someone,Florida Mayhem,Zarya
4211,Circuit royal,Crimzo,Boston Uprising,Baptiste
4242,Circuit royal,Faith,Boston Uprising,Lucio
4279,Circuit royal,Seeker,Boston Uprising,Junkrat
4284,Circuit royal,Seeker,Boston Uprising,Sojourn
4320,Circuit royal,Victoria,Boston Uprising,Genji
4349,Circuit royal,punk,Boston Uprising,Doomfist
4355,Circuit royal,punk,Boston Uprising,Zarya
4386,Circuit royal,Anamo,Florida Mayhem,Lucio
4431,Circuit royal,Checkmate,Florida Mayhem,Ashe
4443,Circuit royal,Checkmate,Florida Mayhem,Genji
4460,Circuit royal,Checkmate,Florida Mayhem,Symmetra
4481,Circuit royal,Hydron,Florida Mayhem,Sojourn
4517,Circuit royal,Rupal,Florida Mayhem,Baptiste
4551,Circuit royal,Someone,Florida Mayhem,Zarya
4591,Ilios,CH0R0NG,Toronto Defiant,Lucio
4627,Ilios,Finale,Toronto Defiant,Genji
4663,Ilios,HOTBA,Toronto Defiant,Zarya
4700,Ilios,Heesu,Toronto Defiant,Sojourn
4724,Ilios,Heesu,Toronto Defiant,Widowmaker
4752,Ilios,Twilight,Toronto Defiant,Baptiste
4789,Ilios,Assassin,Washington Justice,Genji
4823,Ilios,Decay,Washington Justice,Sojourn
4855,Ilios,Kalios,Washington Justice,Zarya
4885,Ilios,Krillin,Washington Justice,Baptiste
4929,Ilios,OPENER,Washington Justice,Lucio
4968,Paraíso,CH0R0NG,Toronto Defiant,Lucio
4997,Paraíso,CH0R0NG,Toronto Defiant,Moira
5011,Paraíso,Finale,Toronto Defiant,Genji
5036,Paraíso,Finale,Toronto Defiant,Hanzo
5042,Paraíso,Finale,Toronto Defiant,Widowmaker
5062,Paraíso,HOTBA,Toronto Defiant,Zarya
5100,Paraíso,Heesu,Toronto Defiant,Sojourn
5124,Paraíso,Heesu,Toronto Defiant,Widowmaker
5144,Paraíso,Twilight,Toronto Defiant,Ana
5169,Paraíso,Twilight,Toronto Defiant,Baptiste
5209,Paraíso,Assassin,Washington Justice,Genji
5232,Paraíso,Assassin,Washington Justice,Mei
5241,Paraíso,Assassin,Washington Justice,Sombra
5267,Paraíso,Decay,Washington Justice,Sojourn
5287,Paraíso,Decay,Washington Justice,Tracer
5313,Paraíso,Kalios,Washington Justice,D.Va
5328,Paraíso,Kalios,Washington Justice,Zarya
5365,Paraíso,Krillin,Washington Justice,Baptiste
5385,Paraíso,Krillin,Washington Justice,Zenyatta
5421,Paraíso,OPENER,Washington Justice,Ana
5445,Paraíso,OPENER,Washington Justice,Brigitte
5447,Paraíso,OPENER,Washington Justice,Lucio
5493,Dorado,CH0R0NG,Toronto Defiant,Brigitte
5507,Dorado,CH0R0NG,Toronto Defiant,Lucio
5540,Dorado,Finale,Toronto Defiant,Genji
5556,Dorado,Finale,Toronto Defiant,Symmetra
5563,Dorado,Finale,Toronto Defiant,Tracer
5601,Dorado,HOTBA,Toronto Defiant,D.Va
5625,Dorado,HOTBA,Toronto Defiant,Zarya
5665,Dorado,Heesu,Toronto Defiant,Sojourn
5708,Dorado,Twilight,Toronto Defiant,Ana
5735,Dorado,Twilight,Toronto Defiant,Baptiste
5764,Dorado,Twilight,Toronto Defiant,Lucio
5777,Dorado,Twilight,Toronto Defiant,Zenyatta
5820,Dorado,Assassin,Washington Justice,Sombra
5854,Dorado,Decay,Washington Justice,Symmetra
5862,Dorado,Decay,Washington Justice,Tracer
5899,Dorado,Kalios,Washington Justice,D.Va
5934,Dorado,Krillin,Washington Justice,Baptiste
5940,Dorado,Krillin,Washington Justice,Zenyatta
5979,Dorado,OPENER,Washington Justice,Ana
6012,Dorado,OPENER,Washington Justice,Lucio
6043,Oasis,Anamo,Florida Mayhem,Lucio
6086,Oasis,Checkmate,Florida Mayhem,Mei
6101,Oasis,Checkmate,Florida Mayhem,Sombra
6128,Oasis,Hydron,Florida Mayhem,Sojourn
6149,Oasis,Hydron,Florida Mayhem,Symmetra
6154,Oasis,Hydron,Florida Mayhem,Tracer
6190,Oasis,Rupal,Florida Mayhem,Ana
6217,Oasis,Rupal,Florida Mayhem,Baptiste
6260,Oasis,Someone,Florida Mayhem,Reinhardt
6282,Oasis,Someone,Florida Mayhem,Winston
6321,Oasis,CH0R0NG,Toronto Defiant,Lucio
6358,Oasis,Finale,Toronto Defiant,Genji
6377,Oasis,Finale,Toronto Defiant,Symmetra
6384,Oasis,Finale,Toronto Defiant,Tracer
6416,Oasis,HOTBA,Toronto Defiant,Zarya
6451,Oasis,Heesu,Toronto Defiant,Sojourn
6475,Oasis,Heesu,Toronto Defiant,Sombra
6509,Oasis,Twilight,Toronto Defiant,Ana
6539,Oasis,Twilight,Toronto Defiant,Baptiste
6576,Eichenwalde,Anamo,Florida Mayhem,Lucio
6615,Eichenwalde,Checkmate,Florida Mayhem,Genji
6660,Eichenwalde,Hydron,Florida Mayhem,Sojourn
6700,Eichenwalde,Rupal,Florida Mayhem,Baptiste
6737,Eichenwalde,Someone,Florida Mayhem,Zarya
6773,Eichenwalde,CH0R0NG,Toronto Defiant,Lucio
6808,Eichenwalde,Finale,Toronto Defiant,Genji
6832,Eichenwalde,Finale,Toronto Defiant,Tracer
6865,Eichenwalde,HOTBA,Toronto Defiant,Zarya
6909,Eichenwalde,Heesu,Toronto Defiant,Sojourn
6940,Eichenwalde,Twilight,Toronto Defiant,Baptiste
6982,Circuit royal,Anamo,Florida Mayhem,Lucio
7022,Circuit royal,Checkmate,Florida Mayhem,Genji
7058,Circuit royal,Hydron,Florida Mayhem,Sojourn
7092,Circuit royal,Rupal,Florida Mayhem,Baptiste
7129,Circuit royal,Someone,Florida Mayhem,Zarya
7172,Circuit royal,CH0R0NG,Toronto Defiant,Lucio
7210,Circuit royal,Finale,Toronto Defiant,Genji
7231,Circuit royal,Finale,Toronto Defiant,Tracer
7246,Circuit royal,Finale,Toronto Defiant,Widowmaker
7267,Circuit royal,HOTBA,Toronto Defiant,Zarya
7306,Circuit royal,Heesu,Toronto Defiant,Sojourn
7340,Circuit royal,Twilight,Toronto Defiant,Ana
7347,Circuit royal,Twilight,Toronto Defiant,Baptiste
7380,Colosseo,Anamo,Florida Mayhem,Lucio
7414,Colosseo,Checkmate,Florida Mayhem,Genji
7449,Colosseo,Hydron,Florida Mayhem,Sojourn
7488,Colosseo,Rupal,Florida Mayhem,Baptiste
7524,Colosseo,Someone,Florida Mayhem,Zarya
7566,Colosseo,CH0R0NG,Toronto Defiant,Lucio
7608,Colosseo,Finale,Toronto Defiant,Genji
7643,Colosseo,HOTBA,Toronto Defiant,Zarya
7680,Colosseo,Heesu,Toronto Defiant,Sojourn
7726,Colosseo,Twilight,Toronto Defiant,Baptiste
7762,Ilios,Crimzo,Boston Uprising,Baptiste
7801,Ilios,Faith,Boston Uprising,Lucio
7841,Ilios,Seeker,Boston Uprising,Sojourn
7860,Ilios,Seeker,Boston Uprising,Tracer
7879,Ilios,Victoria,Boston Uprising,Genji
7918,Ilios,punk,Boston Uprising,Doomfist
7923,Ilios,punk,Boston Uprising,Zarya
7957,Ilios,Assassin,Washington Justice,Genji
7980,Ilios,Assassin,Washington Justice,Sombra
8013,Ilios,Decay,Washington Justice,Sojourn
8045,Ilios,Decay,Washington Justice,Symmetra
8050,Ilios,Decay,Washington Justice,Tracer
8082,Ilios,Kalios,Washington Justice,D.Va
8095,Ilios,Kalios,Washington Justice,Doomfist
8104,Ilios,Kalios,Washington Justice,Zarya
8139,Ilios,Krillin,Washington Justice,Baptiste
8173,Ilios,Krillin,Washington Justice,Mercy
8177,Ilios,Krillin,Washington Justice,Zenyatta
8208,Ilios,OPENER,Washington Justice,Brigitte
8224,Ilios,OPENER,Washington Justice,Lucio
8266,King's Row,Crimzo,Boston Uprising,Baptiste
8304,King's Row,Faith,Boston Uprising,Lucio
8349,King's Row,Seeker,Boston Uprising,Sojourn
8374,King's Row,Seeker,Boston Uprising,Tracer
8385,King's Row,Seeker,Boston Uprising,Widowmaker
8399,King's Row,Victoria,Boston Uprising,Genji
8429,King's Row,Victoria,Boston Uprising,Tracer
8436,King's Row,Victoria,Boston Uprising,Widowmaker
8451,King's Row,punk,Boston Uprising,Zarya
8490,King's Row,Assassin,Washington Justice,Genji
8509,King's Row,Assassin,Washington Justice,Sombra
8535,King's Row,Decay,Washington Justice,Sojourn
8557,King's Row,Decay,Washington Justice,Tracer
8592,King's Row,Kalios,Washington Justice,Doomfist
8596,King's Row,Kalios,Washington Justice,Zarya
8630,King's Row,Krillin,Washington Justice,Baptiste
8653,King's Row,Krillin,Washington Justice,Zenyatta
