player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Soldier: 76,1,6
ANS,Los Angeles Gladiators,Symmetra,2,6
ANS,Los Angeles Gladiators,Widowmaker,3,6
AlphaYi,Hangzhou Spark,Echo,2,20
AlphaYi,Hangzhou Spark,Genji,5,20
AlphaYi,Hangzhou Spark,Reaper,3,20
AlphaYi,Hangzhou Spark,Symmetra,2,20
AlphaYi,Hangzhou Spark,Torbjorn,2,20
AlphaYi,Hangzhou Spark,Tracer,5,20
AlphaYi,Hangzhou Spark,Widowmaker,1,20
Although,Toronto Defiant,Ashe,1,15
Although,Toronto Defiant,Genji,3,15
Although,Toronto Defiant,Pharah,1,15
Although,Toronto Defiant,Soldier: 76,5,15
Although,Toronto Defiant,Symmetra,1,15
Although,Toronto Defiant,Tracer,3,15
Although,Toronto Defiant,Widowmaker,1,15
Assassin,Washington Justice,Echo,1,8
Assassin,Washington Justice,Genji,1,8
Assassin,Washington Justice,Tracer,6,8
Checkmate,Florida Mayhem,Echo,2,20
Checkmate,Florida Mayhem,Genji,3,20
Checkmate,Florida Mayhem,Mei,3,20
Checkmate,Florida Mayhem,Reaper,1,20
Checkmate,Florida Mayhem,Symmetra,2,20
Checkmate,Florida Mayhem,Tracer,9,20
Decay,Washington Justice,Tracer,3,3
Edison,Dallas Fuel,Hanzo,4,27
Edison,Dallas Fuel,Reaper,16,27
Edison,Dallas Fuel,Soldier: 76,2,27
Edison,Dallas Fuel,Symmetra,2,27
Edison,Dallas Fuel,Tracer,1,27
Edison,Dallas Fuel,Widowmaker,2,27
Finale,Toronto Defiant,Genji,1,9
Finale,Toronto Defiant,Mei,1,9
Finale,Toronto Defiant,Pharah,1,9
Finale,Toronto Defiant,Reaper,1,9
Finale,Toronto Defiant,Symmetra,1,9
Finale,Toronto Defiant,Tracer,3,9
Finale,Toronto Defiant,Widowmaker,1,9
Fits,Seoul Dynasty,Ashe,1,28
Fits,Seoul Dynasty,Hanzo,1,28
Fits,Seoul Dynasty,Soldier: 76,16,28
Fits,Seoul Dynasty,Symmetra,3,28
Fits,Seoul Dynasty,Tracer,2,28
Fits,Seoul Dynasty,Widowmaker,5,28
Fleta,Shanghai Dragons,Echo,1,5
Fleta,Shanghai Dragons,Reaper,4,5
Happy,Washington Justice,Ashe,1,15
Happy,Washington Justice,Echo,1,15
Happy,Washington Justice,Reaper,2,15
Happy,Washington Justice,Soldier: 76,7,15
Happy,Washington Justice,Symmetra,2,15
Happy,Washington Justice,Widowmaker,2,15
Heesu,Toronto Defiant,Ashe,1,8
Heesu,Toronto Defiant,Hanzo,2,8
Heesu,Toronto Defiant,Reaper,2,8
Heesu,Toronto Defiant,Symmetra,1,8
Heesu,Toronto Defiant,Tracer,1,8
Heesu,Toronto Defiant,Widowmaker,1,8
Hydron,Florida Mayhem,Bastion,1,25
Hydron,Florida Mayhem,Cassidy,2,25
Hydron,Florida Mayhem,Soldier: 76,11,25
Hydron,Florida Mayhem,Tracer,4,25
Hydron,Florida Mayhem,Widowmaker,7,25
Kai,Atlanta Reign,Cassidy,1,29
Kai,Atlanta Reign,Hanzo,2,29
Kai,Atlanta Reign,Reaper,3,29
Kai,Atlanta Reign,Soldier: 76,13,29
Kai,Atlanta Reign,Symmetra,1,29
Kai,Atlanta Reign,Widowmaker,9,29
Kilo,San Francisco Shock,Ashe,4,25
Kilo,San Francisco Shock,Hanzo,2,25
Kilo,San Francisco Shock,Reaper,2,25
Kilo,San Francisco Shock,Soldier: 76,10,25
Kilo,San Francisco Shock,Symmetra,2,25
Kilo,San Francisco Shock,Tracer,1,25
Kilo,San Francisco Shock,Widowmaker,4,25
LIP,Shanghai Dragons,Echo,1,29
LIP,Shanghai Dragons,Reaper,4,29
LIP,Shanghai Dragons,Sojourn,1,29
LIP,Shanghai Dragons,Soldier: 76,11,29
LIP,Shanghai Dragons,Symmetra,4,29
LIP,Shanghai Dragons,Tracer,4,29
LIP,Shanghai Dragons,Widowmaker,4,29
MER1T,Houston Outlaws,Cassidy,2,24
MER1T,Houston Outlaws,Hanzo,1,24
MER1T,Houston Outlaws,Reaper,6,24
