player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Soldier: 76,1,6
ANS,Los Angeles Gladiators,Symmetra,2,6
ANS,Los Angeles Gladiators,Widowmaker,3,6
AimGod,Seoul Infernal,Ana,11,12
AimGod,Seoul Infernal,Baptiste,1,12
AlphaYi,Hangzhou Spark,Echo,2,20
AlphaYi,Hangzhou Spark,Genji,5,20
AlphaYi,Hangzhou Spark,Reaper,3,20
AlphaYi,Hangzhou Spark,Symmetra,2,20
AlphaYi,Hangzhou Spark,Torbjorn,2,20
AlphaYi,Hangzhou Spark,Tracer,5,20
AlphaYi,Hangzhou Spark,Widowmaker,1,20
Although,Toronto Defiant,Ashe,1,15
Although,Toronto Defiant,Genji,3,15
Although,Toronto Defiant,Pharah,1,15
Although,Toronto Defiant,Soldier: 76,5,15
Although,Toronto Defiant,Symmetra,1,15
Although,Toronto Defiant,Tracer,3,15
Although,Toronto Defiant,Widowmaker,1,15
Anamo,Florida Mayhem,Brigitte,3,13
Anamo,Florida Mayhem,Lucio,10,13
Assassin,Washington Justice,Echo,1,8
Assassin,Washington Justice,Genji,1,8
Assassin,Washington Justice,Tracer,6,8
BERNAR,Hangzhou Spark,D.Va,2,11
BERNAR,Hangzhou Spark,Doomfist,2,11
BERNAR,Hangzhou Spark,Winston,1,11
BERNAR,Hangzhou Spark,Wrecking Ball,1,11
BERNAR,Hangzhou Spark,Zarya,5,11
Belosrea,Seoul Infernal,Doomfist,3,15
Belosrea,Seoul Infernal,Reinhardt,1,15
Belosrea,Seoul Infernal,Winston,10,15
Belosrea,Seoul Infernal,Wrecking Ball,1,15
CH0R0NG,Toronto Defiant,Brigitte,2,10
CH0R0NG,Toronto Defiant,Lucio,6,10
CH0R0NG,Toronto Defiant,Mercy,2,10
Checkmate,Florida Mayhem,Echo,2,20
Checkmate,Florida Mayhem,Genji,3,20
Checkmate,Florida Mayhem,Mei,3,20
Checkmate,Florida Mayhem,Reaper,1,20
Checkmate,Florida Mayhem,Symmetra,2,20
Checkmate,Florida Mayhem,Tracer,9,20
ChiYo,Dallas Fuel,Ana,1,29
ChiYo,Dallas Fuel,Baptiste,1,29
ChiYo,Dallas Fuel,Brigitte,5,29
ChiYo,Dallas Fuel,Lucio,21,29
ChiYo,Dallas Fuel,Mercy,1,29
Coluge,San Francisco Shock,Doomfist,12,26
Coluge,San Francisco Shock,Reinhardt,2,26
Coluge,San Francisco Shock,Sigma,1,26
Coluge,San Francisco Shock,Winston,9,26
Coluge,San Francisco Shock,Zarya,2,26
Creative,Seoul Dynasty,Ana,17,20
Creative,Seoul Dynasty,Baptiste,1,20
Creative,Seoul Dynasty,Lucio,2,20
Danteh,Houston Outlaws,Doomfist,6,6
Decay,Washington Justice,Tracer,3,3
Edison,Dallas Fuel,Hanzo,4,27
Edison,Dallas Fuel,Reaper,16,27
Edison,Dallas Fuel,Soldier: 76,2,27
Edison,Dallas Fuel,Symmetra,2,27
Edison,Dallas Fuel,Tracer,1,27
Edison,Dallas Fuel,Widowmaker,2,27
FEARLESS,Dallas Fuel,Doomfist,1,7
FEARLESS,Dallas Fuel,Roadhog,2,7
FEARLESS,Dallas Fuel,Winston,4,7
FIXA,Seoul Infernal,Brigitte,3,12
FIXA,Seoul Infernal,Lucio,8,12
FIXA,Seoul Infernal,Mercy,1,12
Fate,Shanghai Dragons,Reinhardt,2,15
Fate,Shanghai Dragons,Winston,8,15
Fate,Shanghai Dragons,Wrecking Ball,3,15
Fate,Shanghai Dragons,Zarya,2,15
FiNN,San Francisco Shock,Ana,14,22
FiNN,San Francisco Shock,Baptiste,2,22
FiNN,San Francisco Shock,Moira,5,22
FiNN,San Francisco Shock,Zenyatta,1,22
Fielder,Dallas Fuel,Ana,21,36
Fielder,Dallas Fuel,Baptiste,1,36
Fielder,Dallas Fuel,Lucio,1,36
Fielder,Dallas Fuel,Mercy,2,36
Fielder,Dallas Fuel,Moira,9,36
Fielder,Dallas Fuel,Zenyatta,2,36
Finale,Toronto Defiant,Genji,1,9
Finale,Toronto Defiant,Mei,1,9
Finale,Toronto Defiant,Pharah,1,9
