player_name,team_name,hero_name,times_played,total_times_played
AimGod,Seoul Infernal,Ana,11,12
AimGod,Seoul Infernal,Baptiste,1,12
Anamo,Florida Mayhem,Brigitte,3,13
Anamo,Florida Mayhem,Lucio,10,13
CH0R0NG,Toronto Defiant,Brigitte,2,10
CH0R0NG,Toronto Defiant,Lucio,6,10
CH0R0NG,Toronto Defiant,Mercy,2,10
ChiYo,Dallas Fuel,Ana,1,29
ChiYo,Dallas Fuel,Baptiste,1,29
ChiYo,Dallas Fuel,Brigitte,5,29
ChiYo,Dallas Fuel,Lucio,21,29
ChiYo,Dallas Fuel,Mercy,1,29
Creative,Seoul Dynasty,Ana,17,20
Creative,Seoul Dynasty,Baptiste,1,20
Creative,Seoul Dynasty,Lucio,2,20
FIXA,Seoul Infernal,Brigitte,3,12
FIXA,Seoul Infernal,Lucio,8,12
FIXA,Seoul Infernal,Mercy,1,12
FiNN,San Francisco Shock,Ana,14,22
FiNN,San Francisco Shock,Baptiste,2,22
FiNN,San Francisco Shock,Moira,5,22
FiNN,San Francisco Shock,Zenyatta,1,22
Fielder,Dallas Fuel,Ana,21,36
Fielder,Dallas Fuel,Baptiste,1,36
Fielder,Dallas Fuel,Lucio,1,36
Fielder,Dallas Fuel,Mercy,2,36
Fielder,Dallas Fuel,Moira,9,36
Fielder,Dallas Fuel,Zenyatta,2,36
FunnyAstro,Los Angeles Gladiators,Lucio,11,11
IZaYaKI,Shanghai Dragons,Ana,13,18
IZaYaKI,Shanghai Dragons,Baptiste,3,18
IZaYaKI,Shanghai Dragons,Mercy,1,18
IZaYaKI,Shanghai Dragons,Moira,1,18
Krillin,Washington Justice,Ana,8,11
Krillin,Washington Justice,Moira,3,11
Lastro,Houston Outlaws,Brigitte,1,13
Lastro,Houston Outlaws,Lucio,11,13
Lastro,Houston Outlaws,Zenyatta,1,13
LeeJaeGon,Shanghai Dragons,Brigitte,3,16
LeeJaeGon,Shanghai Dragons,Lucio,13,16
OPENER,Washington Justice,Brigitte,2,10
OPENER,Washington Justice,Lucio,8,10
Ojee,Atlanta Reign,Baptiste,1,20
Ojee,Atlanta Reign,Brigitte,4,20
Ojee,Atlanta Reign,Lucio,14,20
Ojee,Atlanta Reign,Mercy,1,20
SirMajed,Florida Mayhem,Ana,10,14
SirMajed,Florida Mayhem,Baptiste,3,14
SirMajed,Florida Mayhem,Moira,1,14
Superich,Hangzhou Spark,Brigitte,5,12
Superich,Hangzhou Spark,Lucio,5,12
Superich,Hangzhou Spark,Mercy,2,12
Twilight,Toronto Defiant,Ana,7,10
Twilight,Toronto Defiant,Baptiste,2,10
Twilight,Toronto Defiant,Zenyatta,1,10
UltraViolet,Atlanta Reign,Ana,15,22
UltraViolet,Atlanta Reign,Baptiste,1,22
UltraViolet,Atlanta Reign,Moira,5,22
UltraViolet,Atlanta Reign,Zenyatta,1,22
Vindaim,Seoul Dynasty,Brigitte,6,21
Vindaim,Seoul Dynasty,Lucio,14,21
Vindaim,Seoul Dynasty,Mercy,1,21
Viol2t,San Francisco Shock,Baptiste,1,16
Viol2t,San Francisco Shock,Brigitte,2,16
Viol2t,San Francisco Shock,Lucio,13,16
ir1s,Houston Outlaws,Ana,5,17
ir1s,Houston Outlaws,Baptiste,3,17
ir1s,Houston Outlaws,Moira,8,17
ir1s,Houston Outlaws,Zenyatta,1,17
irony,Hangzhou Spark,Ana,7,7
shu,Los Angeles Gladiators,Ana,12,19
shu,Los Angeles Gladiators,Baptiste,5,19
shu,Los Angeles Gladiators,Moira,2,19
skewed,Los Angeles Gladiators,Brigitte,2,3
skewed,Los Angeles Gladiators,Zenyatta,1,3
