player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Brigitte,1,23
Admiral,London Spitfire,Lucio,22,23
AimGod,Seoul Infernal,Ana,33,37
AimGod,Seoul Infernal,Baptiste,1,37
AimGod,Seoul Infernal,Moira,2,37
AimGod,Seoul Infernal,Zenyatta,1,37
Anamo,Florida Mayhem,Brigitte,7,40
Anamo,Florida Mayhem,Lucio,32,40
Anamo,Florida Mayhem,Mercy,1,40
Aztac,Vancouver Titans,Ana,3,6
Aztac,Vancouver Titans,Moira,2,6
Aztac,Vancouver Titans,Zenyatta,1,6
CH0R0NG,Toronto Defiant,Baptiste,1,36
CH0R0NG,Toronto Defiant,Brigitte,5,36
CH0R0NG,Toronto Defiant,Lucio,27,36
CH0R0NG,Toronto Defiant,Mercy,3,36
ChiYo,Dallas Fuel,Ana,1,53
ChiYo,Dallas Fuel,Baptiste,1,53
ChiYo,Dallas Fuel,Brigitte,10,53
ChiYo,Dallas Fuel,Lucio,39,53
ChiYo,Dallas Fuel,Mercy,2,53
ColdesT,Los Angeles Valiant,Ana,27,35
ColdesT,Los Angeles Valiant,Lucio,2,35
ColdesT,Los Angeles Valiant,Moira,3,35
ColdesT,Los Angeles Valiant,Zenyatta,3,35
Creative,Seoul Dynasty,Ana,38,44
Creative,Seoul Dynasty,Baptiste,2,44
Creative,Seoul Dynasty,Lucio,2,44
Creative,Seoul Dynasty,Zenyatta,2,44
Crimzo,Boston Uprising,Ana,14,18
Crimzo,Boston Uprising,Lucio,1,18
Crimzo,Boston Uprising,Mercy,1,18
Crimzo,Boston Uprising,Moira,2,18
FIXA,Seoul Infernal,Brigitte,15,44
FIXA,Seoul Infernal,Lucio,24,44
FIXA,Seoul Infernal,Mercy,5,44
Faith,Boston Uprising,Baptiste,1,32
Faith,Boston Uprising,Brigitte,6,32
Faith,Boston Uprising,Lucio,20,32
Faith,Boston Uprising,Mercy,3,32
Faith,Boston Uprising,Zenyatta,2,32
Farway1987,Guangzhou Charge,Ana,21,21
FiNN,San Francisco Shock,Ana,34,52
FiNN,San Francisco Shock,Baptiste,2,52
FiNN,San Francisco Shock,Mercy,1,52
FiNN,San Francisco Shock,Moira,12,52
FiNN,San Francisco Shock,Zenyatta,3,52
Fielder,Dallas Fuel,Ana,39,58
Fielder,Dallas Fuel,Baptiste,1,58
Fielder,Dallas Fuel,Lucio,1,58
Fielder,Dallas Fuel,Mercy,2,58
Fielder,Dallas Fuel,Moira,11,58
Fielder,Dallas Fuel,Zenyatta,4,58
FunnyAstro,Los Angeles Gladiators,Lucio,31,31
GangNamJin,New York Excelsior,Brigitte,6,24
GangNamJin,New York Excelsior,Lucio,18,24
IZaYaKI,Shanghai Dragons,Ana,39,48
IZaYaKI,Shanghai Dragons,Baptiste,5,48
IZaYaKI,Shanghai Dragons,Mercy,2,48
IZaYaKI,Shanghai Dragons,Moira,1,48
IZaYaKI,Shanghai Dragons,Zenyatta,1,48
Kaan,Vegas Eternal,Ana,21,26
Kaan,Vegas Eternal,Baptiste,2,26
Kaan,Vegas Eternal,Lucio,1,26
Kaan,Vegas Eternal,Zenyatta,2,26
Krillin,Washington Justice,Ana,28,35
Krillin,Washington Justice,Baptiste,1,35
Krillin,Washington Justice,Moira,3,35
Krillin,Washington Justice,Zenyatta,3,35
Landon,London Spitfire,Ana,9,28
Landon,London Spitfire,Baptiste,17,28
Landon,London Spitfire,Moira,2,28
Lastro,Houston Outlaws,Baptiste,1,40
Lastro,Houston Outlaws,Brigitte,2,40
Lastro,Houston Outlaws,Lucio,35,40
Lastro,Houston Outlaws,Mercy,1,40
Lastro,Houston Outlaws,Zenyatta,1,40
LeeJaeGon,Shanghai Dragons,Brigitte,9,50
LeeJaeGon,Shanghai Dragons,Lucio,38,50
LeeJaeGon,Shanghai Dragons,Mercy,3,50
Lengsa,Los Angeles Valiant,Baptiste,1,47
Lengsa,Los Angeles Valiant,Brigitte,14,47
Lengsa,Los Angeles Valiant,Lucio,27,47
Lengsa,Los Angeles Valiant,Mercy,4,47
Lengsa,Los Angeles Valiant,Zenyatta,1,47
MCD,Boston Uprising,Ana,9,11
MCD,Boston Uprising,Zenyatta,2,11
Masaa,Vancouver Titans,Baptiste,1,27
Masaa,Vancouver Titans,Brigitte,2,27
Masaa,Vancouver Titans,Lucio,21,27
Masaa,Vancouver Titans,Mercy,3,27
Mmonk,Chengdu Hunters,Ana,22,22
Myunb0ng,New York Excelsior,Ana,22,23
Myunb0ng,New York Excelsior,Moira,1,23
Nisha,Chengdu Hunters,Baptiste,1,39
Nisha,Chengdu Hunters,Brigitte,12,39
Nisha,Chengdu Hunters,Lucio,19,39
Nisha,Chengdu Hunters,Mercy,7,39
OPENER,Washington Justice,Brigitte,7,40
OPENER,Washington Justice,Lucio,28,40
OPENER,Washington Justice,Mercy,5,40
Ojee,Atlanta Reign,Baptiste,3,49
Ojee,Atlanta Reign,Brigitte,6,49
Ojee,Atlanta Reign,Lucio,35,49
Ojee,Atlanta Reign,Mercy,5,49
SirMajed,Florida Mayhem,Ana,33,44
SirMajed,Florida Mayhem,Baptiste,5,44
SirMajed,Florida Mayhem,Lucio,1,44
SirMajed,Florida Mayhem,Moira,5,44
Skairipa,Vancouver Titans,Ana,18,28
Skairipa,Vancouver Titans,Baptiste,5,28
Skairipa,Vancouver Titans,Lucio,1,28
Skairipa,Vancouver Titans,Moira,4,28
Superich,Hangzhou Spark,Brigitte,14,56
Superich,Hangzhou Spark,Lucio,28,56
Superich,Hangzhou Spark,Mercy,14,56
Twilight,Toronto Defiant,Ana,29,39
Twilight,Toronto Defiant,Baptiste,2,39
Twilight,Toronto Defiant,Mercy,1,39
Twilight,Toronto Defiant,Moira,5,39
Twilight,Toronto Defiant,Zenyatta,2,39
UltraViolet,Atlanta Reign,Ana,34,47
UltraViolet,Atlanta Reign,Baptiste,4,47
UltraViolet,Atlanta Reign,Moira,6,47
UltraViolet,Atlanta Reign,Zenyatta,3,47
Unique,Guangzhou Charge,Brigitte,13,39
Unique,Guangzhou Charge,Lucio,19,39
Unique,Guangzhou Charge,Mercy,7,39
Vindaim,Seoul Dynasty,Baptiste,1,56
Vindaim,Seoul Dynasty,Brigitte,15,56
Vindaim,Seoul Dynasty,Lucio,33,56
Vindaim,Seoul Dynasty,Mercy,6,56
Vindaim,Seoul Dynasty,Moira,1,56
Viol2t,San Francisco Shock,Baptiste,3,43
Viol2t,San Francisco Shock,Brigitte,6,43
Viol2t,San Francisco Shock,Lucio,34,43
dridro,Vegas Eternal,Baptiste,1,26
dridro,Vegas Eternal,Brigitte,3,26
dridro,Vegas Eternal,Lucio,21,26
dridro,Vegas Eternal,Mercy,1,26
ir1s,Houston Outlaws,Ana,28,46
ir1s,Houston Outlaws,Baptiste,5,46
ir1s,Houston Outlaws,Moira,10,46
ir1s,Houston Outlaws,Zenyatta,3,46
irony,Hangzhou Spark,Ana,33,34
irony,Hangzhou Spark,Baptiste,1,34
shu,Los Angeles Gladiators,Ana,33,47
shu,Los Angeles Gladiators,Baptiste,9,47
shu,Los Angeles Gladiators,Lucio,1,47
shu,Los Angeles Gladiators,Moira,4,47
skewed,Los Angeles Gladiators,Brigitte,5,9
skewed,Los Angeles Gladiators,Lucio,1,9
skewed,Los Angeles Gladiators,Zenyatta,3,9
