player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Soldier: 76,7,14
ANS,Los Angeles Gladiators,Symmetra,1,14
ANS,Los Angeles Gladiators,Tracer,1,14
ANS,Los Angeles Gladiators,Widowmaker,5,14
Admiral,London Spitfire,Brigitte,1,23
Admiral,London Spitfire,Lucio,22,23
AimGod,Seoul Infernal,Ana,22,25
AimGod,Seoul Infernal,Moira,2,25
AimGod,Seoul Infernal,Zenyatta,1,25
AlphaYi,Hangzhou Spark,Echo,12,65
AlphaYi,Hangzhou Spark,Genji,15,65
AlphaYi,Hangzhou Spark,Hanzo,2,65
AlphaYi,Hangzhou Spark,Mei,1,65
AlphaYi,Hangzhou Spark,Pharah,5,65
AlphaYi,Hangzhou Spark,Reaper,11,65
AlphaYi,Hangzhou Spark,Symmetra,7,65
AlphaYi,Hangzhou Spark,Torbjorn,2,65
AlphaYi,Hangzhou Spark,Tracer,10,65
Although,Toronto Defiant,Genji,4,19
Although,Toronto Defiant,Mei,1,19
Although,Toronto Defiant,Reaper,5,19
Although,Toronto Defiant,Soldier: 76,3,19
Although,Toronto Defiant,Symmetra,2,19
Although,Toronto Defiant,Tracer,4,19
Anamo,Florida Mayhem,Brigitte,4,27
Anamo,Florida Mayhem,Lucio,22,27
Anamo,Florida Mayhem,Mercy,1,27
Aspire,Vancouver Titans,Genji,3,35
Aspire,Vancouver Titans,Hanzo,2,35
Aspire,Vancouver Titans,Reaper,3,35
Aspire,Vancouver Titans,Sojourn,1,35
Aspire,Vancouver Titans,Soldier: 76,6,35
Aspire,Vancouver Titans,Symmetra,2,35
Aspire,Vancouver Titans,Tracer,10,35
Aspire,Vancouver Titans,Widowmaker,8,35
Aztac,Vancouver Titans,Ana,3,6
Aztac,Vancouver Titans,Moira,2,6
Aztac,Vancouver Titans,Zenyatta,1,6
BERNAR,Hangzhou Spark,D.Va,5,31
BERNAR,Hangzhou Spark,Doomfist,5,31
BERNAR,Hangzhou Spark,Reinhardt,2,31
BERNAR,Hangzhou Spark,Winston,1,31
BERNAR,Hangzhou Spark,Zarya,18,31
Backbone,London Spitfire,Genji,2,33
Backbone,London Spitfire,Hanzo,1,33
Backbone,London Spitfire,Mei,16,33
Backbone,London Spitfire,Reaper,1,33
Backbone,London Spitfire,Sombra,7,33
