player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Brigitte,1,23
Admiral,London Spitfire,Lucio,22,23
AimGod,Seoul Infernal,Ana,22,25
AimGod,Seoul Infernal,Moira,2,25
AimGod,Seoul Infernal,Zenyatta,1,25
Anamo,Florida Mayhem,Brigitte,4,27
Anamo,Florida Mayhem,Lucio,22,27
Anamo,Florida Mayhem,Mercy,1,27
Aztac,Vancouver Titans,Ana,3,6
Aztac,Vancouver Titans,Moira,2,6
Aztac,Vancouver Titans,Zenyatta,1,6
CH0R0NG,Toronto Defiant,Baptiste,1,26
CH0R0NG,Toronto Defiant,Brigitte,3,26
CH0R0NG,Toronto Defiant,Lucio,21,26
CH0R0NG,Toronto Defiant,Mercy,1,26
ChiYo,Dallas Fuel,Brigitte,5,24
ChiYo,Dallas Fuel,Lucio,18,24
ChiYo,Dallas Fuel,Mercy,1,24
ColdesT,Los Angeles Valiant,Ana,27,35
ColdesT,Los Angeles Valiant,Lucio,2,35
ColdesT,Los Angeles Valiant,Moira,3,35
ColdesT,Los Angeles Valiant,Zenyatta,3,35
Creative,Seoul Dynasty,Ana,21,24
Creative,Seoul Dynasty,Baptiste,1,24
Creative,Seoul Dynasty,Zenyatta,2,24
Crimzo,Boston Uprising,Ana,14,18
Crimzo,Boston Uprising,Lucio,1,18
Crimzo,Boston Uprising,Mercy,1,18
Crimzo,Boston Uprising,Moira,2,18
FIXA,Seoul Infernal,Brigitte,12,32
FIXA,Seoul Infernal,Lucio,16,32
FIXA,Seoul Infernal,Mercy,4,32
Faith,Boston Uprising,Baptiste,1,32
Faith,Boston Uprising,Brigitte,6,32
Faith,Boston Uprising,Lucio,20,32
Faith,Boston Uprising,Mercy,3,32
Faith,Boston Uprising,Zenyatta,2,32
Farway1987,Guangzhou Charge,Ana,21,21
FiNN,San Francisco Shock,Ana,20,30
FiNN,San Francisco Shock,Mercy,1,30
FiNN,San Francisco Shock,Moira,7,30
FiNN,San Francisco Shock,Zenyatta,2,30
Fielder,Dallas Fuel,Ana,18,22
Fielder,Dallas Fuel,Moira,2,22
Fielder,Dallas Fuel,Zenyatta,2,22
FunnyAstro,Los Angeles Gladiators,Lucio,20,20
GangNamJin,New York Excelsior,Brigitte,6,24
GangNamJin,New York Excelsior,Lucio,18,24
IZaYaKI,Shanghai Dragons,Ana,26,30
IZaYaKI,Shanghai Dragons,Baptiste,2,30
IZaYaKI,Shanghai Dragons,Mercy,1,30
IZaYaKI,Shanghai Dragons,Zenyatta,1,30
Kaan,Vegas Eternal,Ana,21,26
Kaan,Vegas Eternal,Baptiste,2,26
Kaan,Vegas Eternal,Lucio,1,26
Kaan,Vegas Eternal,Zenyatta,2,26
Krillin,Washington Justice,Ana,20,24
Krillin,Washington Justice,Baptiste,1,24
Krillin,Washington Justice,Zenyatta,3,24
Landon,London Spitfire,Ana,9,28
Landon,London Spitfire,Baptiste,17,28
Landon,London Spitfire,Moira,2,28
Lastro,Houston Outlaws,Baptiste,1,27
Lastro,Houston Outlaws,Brigitte,1,27
Lastro,Houston Outlaws,Lucio,24,27
Lastro,Houston Outlaws,Mercy,1,27
LeeJaeGon,Shanghai Dragons,Brigitte,6,34
LeeJaeGon,Shanghai Dragons,Lucio,25,34
LeeJaeGon,Shanghai Dragons,Mercy,3,34
Lengsa,Los Angeles Valiant,Baptiste,1,47
Lengsa,Los Angeles Valiant,Brigitte,14,47
Lengsa,Los Angeles Valiant,Lucio,27,47
Lengsa,Los Angeles Valiant,Mercy,4,47
Lengsa,Los Angeles Valiant,Zenyatta,1,47
MCD,Boston Uprising,Ana,9,11
MCD,Boston Uprising,Zenyatta,2,11
Masaa,Vancouver Titans,Baptiste,1,27
Masaa,Vancouver Titans,Brigitte,2,27
Masaa,Vancouver Titans,Lucio,21,27
Masaa,Vancouver Titans,Mercy,3,27
Mmonk,Chengdu Hunters,Ana,22,22
Myunb0ng,New York Excelsior,Ana,22,23
Myunb0ng,New York Excelsior,Moira,1,23
Nisha,Chengdu Hunters,Baptiste,1,39
Nisha,Chengdu Hunters,Brigitte,12,39
Nisha,Chengdu Hunters,Lucio,19,39
Nisha,Chengdu Hunters,Mercy,7,39
OPENER,Washington Justice,Brigitte,5,30
OPENER,Washington Justice,Lucio,20,30
OPENER,Washington Justice,Mercy,5,30
Ojee,Atlanta Reign,Baptiste,2,29
Ojee,Atlanta Reign,Brigitte,2,29
Ojee,Atlanta Reign,Lucio,21,29
Ojee,Atlanta Reign,Mercy,4,29
SirMajed,Florida Mayhem,Ana,23,30
SirMajed,Florida Mayhem,Baptiste,2,30
SirMajed,Florida Mayhem,Lucio,1,30
SirMajed,Florida Mayhem,Moira,4,30
Skairipa,Vancouver Titans,Ana,18,28
Skairipa,Vancouver Titans,Baptiste,5,28
Skairipa,Vancouver Titans,Lucio,1,28
Skairipa,Vancouver Titans,Moira,4,28
Superich,Hangzhou Spark,Brigitte,9,44
Superich,Hangzhou Spark,Lucio,23,44
Superich,Hangzhou Spark,Mercy,12,44
Twilight,Toronto Defiant,Ana,22,29
Twilight,Toronto Defiant,Mercy,1,29
Twilight,Toronto Defiant,Moira,5,29
Twilight,Toronto Defiant,Zenyatta,1,29
UltraViolet,Atlanta Reign,Ana,19,25
UltraViolet,Atlanta Reign,Baptiste,3,25
UltraViolet,Atlanta Reign,Moira,1,25
UltraViolet,Atlanta Reign,Zenyatta,2,25
Unique,Guangzhou Charge,Brigitte,13,39
Unique,Guangzhou Charge,Lucio,19,39
Unique,Guangzhou Charge,Mercy,7,39
Vindaim,Seoul Dynasty,Baptiste,1,35
Vindaim,Seoul Dynasty,Brigitte,9,35
Vindaim,Seoul Dynasty,Lucio,19,35
Vindaim,Seoul Dynasty,Mercy,5,35
Vindaim,Seoul Dynasty,Moira,1,35
Viol2t,San Francisco Shock,Baptiste,2,27
Viol2t,San Francisco Shock,Brigitte,4,27
Viol2t,San Francisco Shock,Lucio,21,27
dridro,Vegas Eternal,Baptiste,1,26
dridro,Vegas Eternal,Brigitte,3,26
dridro,Vegas Eternal,Lucio,21,26
dridro,Vegas Eternal,Mercy,1,26
ir1s,Houston Outlaws,Ana,23,29
ir1s,Houston Outlaws,Baptiste,2,29
ir1s,Houston Outlaws,Moira,2,29
ir1s,Houston Outlaws,Zenyatta,2,29
irony,Hangzhou Spark,Ana,26,27
irony,Hangzhou Spark,Baptiste,1,27
shu,Los Angeles Gladiators,Ana,21,28
shu,Los Angeles Gladiators,Baptiste,4,28
shu,Los Angeles Gladiators,Lucio,1,28
shu,Los Angeles Gladiators,Moira,2,28
skewed,Los Angeles Gladiators,Brigitte,3,6
skewed,Los Angeles Gladiators,Lucio,1,6
skewed,Los Angeles Gladiators,Zenyatta,2,6
