player_name,team_name,hero_name,times_played,total_times_played
BERNAR,Hangzhou Spark,Doomfist,7,35
BERNAR,Hangzhou Spark,Reinhardt,2,35
BERNAR,Hangzhou Spark,Winston,2,35
BERNAR,Hangzhou Spark,Wrecking Ball,1,35
BERNAR,Hangzhou Spark,Zarya,23,35
Belosrea,Seoul Infernal,Doomfist,7,34
Belosrea,Seoul Infernal,Reinhardt,1,34
Belosrea,Seoul Infernal,Roadhog,2,34
Belosrea,Seoul Infernal,Winston,22,34
Belosrea,Seoul Infernal,Wrecking Ball,2,34
Coluge,San Francisco Shock,Doomfist,16,56
Coluge,San Francisco Shock,Reinhardt,3,56
Coluge,San Francisco Shock,Sigma,3,56
Coluge,San Francisco Shock,Winston,30,56
Coluge,San Francisco Shock,Zarya,4,56
Cr0ng,Guangzhou Charge,Doomfist,6,18
Cr0ng,Guangzhou Charge,Zarya,12,18
Daan,Vegas Eternal,Doomfist,2,15
Daan,Vegas Eternal,Reinhardt,2,15
Daan,Vegas Eternal,Winston,11,15
Daizi,Chengdu Hunters,Zarya,10,10
Danteh,Houston Outlaws,Doomfist,24,24
FEARLESS,Dallas Fuel,Doomfist,3,15
FEARLESS,Dallas Fuel,Roadhog,2,15
FEARLESS,Dallas Fuel,Winston,9,15
FEARLESS,Dallas Fuel,Wrecking Ball,1,15
False,Vancouver Titans,Doomfist,7,40
False,Vancouver Titans,Reinhardt,5,40
False,Vancouver Titans,Roadhog,1,40
False,Vancouver Titans,Sigma,1,40
False,Vancouver Titans,Winston,16,40
False,Vancouver Titans,Zarya,10,40
Fate,Shanghai Dragons,Doomfist,1,38
Fate,Shanghai Dragons,Reinhardt,4,38
Fate,Shanghai Dragons,Winston,25,38
Fate,Shanghai Dragons,Wrecking Ball,3,38
Fate,Shanghai Dragons,Zarya,5,38
Fury,Seoul Infernal,Doomfist,1,11
Fury,Seoul Infernal,Zarya,10,11
GA9A,Chengdu Hunters,Doomfist,6,23
GA9A,Chengdu Hunters,Roadhog,1,23
GA9A,Chengdu Hunters,Winston,8,23
GA9A,Chengdu Hunters,Zarya,8,23
Gator,Atlanta Reign,Doomfist,4,18
Gator,Atlanta Reign,Reinhardt,2,18
Gator,Atlanta Reign,Winston,11,18
Gator,Atlanta Reign,Zarya,1,18
Guxue,Hangzhou Spark,Doomfist,1,14
Guxue,Hangzhou Spark,Reinhardt,3,14
Guxue,Hangzhou Spark,Winston,10,14
HOTBA,Toronto Defiant,Doomfist,3,19
HOTBA,Toronto Defiant,Sigma,2,19
HOTBA,Toronto Defiant,Winston,3,19
HOTBA,Toronto Defiant,Zarya,11,19
Hadi,London Spitfire,Reinhardt,17,26
Hadi,London Spitfire,Winston,8,26
Hadi,London Spitfire,Wrecking Ball,1,26
Hanbin,Dallas Fuel,Doomfist,12,50
Hanbin,Dallas Fuel,Reinhardt,2,50
Hanbin,Dallas Fuel,Sigma,4,50
Hanbin,Dallas Fuel,Winston,2,50
Hanbin,Dallas Fuel,Zarya,30,50
Hawk,Atlanta Reign,Doomfist,22,37
Hawk,Atlanta Reign,Reinhardt,1,37
Hawk,Atlanta Reign,Sigma,3,37
Hawk,Atlanta Reign,Zarya,11,37
ITSAL,Boston Uprising,Winston,4,5
ITSAL,Boston Uprising,Zarya,1,5
Kalios,Washington Justice,Doomfist,1,5
Kalios,Washington Justice,Sigma,2,5
Kalios,Washington Justice,Zarya,2,5
Kellan,New York Excelsior,Doomfist,1,31
Kellan,New York Excelsior,Winston,22,31
Kellan,New York Excelsior,Wrecking Ball,2,31
Kellan,New York Excelsior,Zarya,6,31
MAG,Washington Justice,Doomfist,4,33
MAG,Washington Justice,Orisa,1,33
MAG,Washington Justice,Reinhardt,3,33
MAG,Washington Justice,Winston,25,33
Marve1,Boston Uprising,Doomfist,4,4
MuZe,Toronto Defiant,Doomfist,2,22
MuZe,Toronto Defiant,Reinhardt,1,22
MuZe,Toronto Defiant,Roadhog,2,22
MuZe,Toronto Defiant,Winston,16,22
MuZe,Toronto Defiant,Zarya,1,22
Piggy,Houston Outlaws,Doomfist,3,18
Piggy,Houston Outlaws,Reinhardt,5,18
Piggy,Houston Outlaws,Sigma,3,18
Piggy,Houston Outlaws,Winston,1,18
Piggy,Houston Outlaws,Zarya,6,18
Poko,London Spitfire,Zarya,1,1
Reiner,Los Angeles Gladiators,Doomfist,24,59
Reiner,Los Angeles Gladiators,Reinhardt,8,59
Reiner,Los Angeles Gladiators,Roadhog,1,59
Reiner,Los Angeles Gladiators,Winston,26,59
Rio,Guangzhou Charge,Winston,9,9
SASIN,Los Angeles Valiant,Doomfist,5,37
SASIN,Los Angeles Valiant,Orisa,2,37
SASIN,Los Angeles Valiant,Winston,4,37
SASIN,Los Angeles Valiant,Zarya,26,37
SPACE,Los Angeles Gladiators,Sigma,3,4
SPACE,Los Angeles Gladiators,Zarya,1,4
Seicoe,Vancouver Titans,Doomfist,1,1
Someone,Florida Mayhem,Doomfist,8,52
Someone,Florida Mayhem,Reinhardt,6,52
Someone,Florida Mayhem,Roadhog,3,52
Someone,Florida Mayhem,Winston,31,52
Someone,Florida Mayhem,Zarya,4,52
Vestola,Vegas Eternal,Doomfist,5,16
Vestola,Vegas Eternal,Sigma,2,16
Vestola,Vegas Eternal,Zarya,9,16
Void,Shanghai Dragons,Doomfist,1,15
Void,Shanghai Dragons,Reinhardt,1,15
Void,Shanghai Dragons,Zarya,13,15
punk,Boston Uprising,Doomfist,5,23
punk,Boston Uprising,Sigma,2,23
punk,Boston Uprising,Winston,2,23
punk,Boston Uprising,Zarya,14,23
smurf,Seoul Dynasty,Doomfist,10,66
smurf,Seoul Dynasty,Reinhardt,7,66
smurf,Seoul Dynasty,Sigma,2,66
smurf,Seoul Dynasty,Winston,27,66
smurf,Seoul Dynasty,Wrecking Ball,2,66
smurf,Seoul Dynasty,Zarya,18,66
