,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
16,38971,Lijiang Tower,control,FunnyAstro,Los Angeles Gladiators,Lucio,Kickoff Clash: Qualifiers
51,38971,Lijiang Tower,control,Patiphan,Los Angeles Gladiators,Genji,Kickoff Clash: Qualifiers
70,38971,Lijiang Tower,control,Patiphan,Los Angeles Gladiators,Tracer,Kickoff Clash: Qualifiers
93,38971,Lijiang Tower,control,Reiner,Los Angeles Gladiators,Doomfist,Kickoff Clash: Qualifiers
109,38971,Lijiang Tower,control,Reiner,Los Angeles Gladiators,Winston,Kickoff Clash: Qualifiers
143,38971,Lijiang Tower,control,kevster,Los Angeles Gladiators,Reaper,Kickoff Clash: Qualifiers
163,38971,Lijiang Tower,control,kevster,Los Angeles Gladiators,Soldier: 76,Kickoff Clash: Qualifiers
190,38971,Lijiang Tower,control,shu,Los Angeles Gladiators,Ana,Kickoff Clash: Qualifiers
231,38971,Lijiang Tower,control,Flora,New York Excelsior,Reaper,Kickoff Clash: Qualifiers
247,38971,Lijiang Tower,control,Flora,New York Excelsior,Soldier: 76,Kickoff Clash: Qualifiers
285,38971,Lijiang Tower,control,GangNamJin,New York Excelsior,Lucio,Kickoff Clash: Qualifiers
331,38971,Lijiang Tower,control,Kellan,New York Excelsior,Winston,Kickoff Clash: Qualifiers
354,38971,Lijiang Tower,control,Kellan,New York Excelsior,Zarya,Kickoff Clash: Qualifiers
389,38971,Lijiang Tower,control,Myunb0ng,New York Excelsior,Ana,Kickoff Clash: Qualifiers
432,38971,Lijiang Tower,control,Yaki,New York Excelsior,Echo,Kickoff Clash: Qualifiers
468,38971,Midtown,hybrid,FunnyAstro,Los Angeles Gladiators,Lucio,Kickoff Clash: Qualifiers
506,38971,Midtown,hybrid,Patiphan,Los Angeles Gladiators,Genji,Kickoff Clash: Qualifiers
524,38971,Midtown,hybrid,Patiphan,Los Angeles Gladiators,Tracer,Kickoff Clash: Qualifiers
543,38971,Midtown,hybrid,Patiphan,Los Angeles Gladiators,Widowmaker,Kickoff Clash: Qualifiers
567,38971,Midtown,hybrid,Reiner,Los Angeles Gladiators,Doomfist,Kickoff Clash: Qualifiers
580,38971,Midtown,hybrid,Reiner,Los Angeles Gladiators,Winston,Kickoff Clash: Qualifiers
