,map_name,map_type,tournament_title
0,Lijiang Tower,control,Kickoff Clash: Qualifiers
455,Midtown,hybrid,Kickoff Clash: Qualifiers
936,Circuit royal,payload,Kickoff Clash: Qualifiers
1438,New Queen Street,push,Kickoff Clash: Qualifiers
1862,Ilios,control,Kickoff Clash: Qualifiers
2326,King's Row,hybrid,Kickoff Clash: Qualifiers
2717,Dorado,payload,Kickoff Clash: Qualifiers
3659,Eichenwalde,hybrid,Kickoff Clash: Qualifiers
4228,Watchpoint: Gibraltar,payload,Kickoff Clash: Qualifiers
4634,Colosseo,push,Kickoff Clash: Qualifiers
8107,Oasis,control,Kickoff Clash: Qualifiers
12503,Route 66,payload,Kickoff Clash: Qualifiers
