team_name,control,hybrid,payload,push,total_map_played
Atlanta Reign,3,3,4,2,12
Boston Uprising,3,3,4,2,12
Chengdu Hunters,3,3,4,2,12
Dallas Fuel,3,3,4,2,12
Florida Mayhem,3,3,4,2,12
Guangzhou Charge,3,3,4,1,11
Hangzhou Spark,3,3,4,2,12
Houston Outlaws,3,3,4,2,12
London Spitfire,3,3,4,2,12
Los Angeles Gladiators,3,3,4,2,12
Los Angeles Valiant,3,3,4,2,12
New York Excelsior,3,3,4,2,12
San Francisco Shock,3,3,4,2,12
Seoul Dynasty,3,3,4,2,12
Seoul Infernal,3,3,4,2,12
Shanghai Dragons,3,3,4,2,12
Toronto Defiant,3,3,4,2,12
Vancouver Titans,3,3,4,2,12
Vegas Eternal,3,3,4,2,12
Washington Justice,3,3,4,2,12
