hero_name,stat_name,amount
Ana,Time Played,286618.32823374
Ashe,Time Played,16516.06181825
Baptiste,Time Played,23004.6994391
Bastion,Time Played,605.4249261
Brigitte,Time Played,63714.04735279
Cassidy,Time Played,1728.63090521
D.Va,Time Played,8525.53094642
Doomfist,Time Played,34149.12728195
Echo,Time Played,45146.96475074
Genji,Time Played,120245.18525172
Hanzo,Time Played,5137.7937532
Junkrat,Time Played,154.71462911999998
Lucio,Time Played,236855.7296847
Mei,Time Played,23073.97817735
Mercy,Time Played,16221.00421065
Moira,Time Played,5532.4340047900005
Orisa,Time Played,4.86521488
Pharah,Time Played,3019.09123312
Reaper,Time Played,61059.88956818
Reinhardt,Time Played,20186.93623012
Roadhog,Time Played,396.13990349
Sigma,Time Played,10774.53245287
Sojourn,Time Played,194.67296965
Soldier: 76,Time Played,214537.0867813
Sombra,Time Played,6382.7007492
Symmetra,Time Played,2907.22374602
Torbjorn,Time Played,661.88161481
Tracer,Time Played,90588.82769494
Widowmaker,Time Played,51990.98593874
Winston,Time Played,145001.21694712
Wrecking Ball,Time Played,362.0328731
Zarya,Time Played,102575.17540383
Zenyatta,Time Played,12004.87158186
