player_name,team_name,hero_name,stat_name,amount
ANS,Los Angeles Gladiators,All Heroes,Time Played,6570.79308347
ANS,Los Angeles Gladiators,Soldier: 76,Time Played,3562.37234098
ANS,Los Angeles Gladiators,Symmetra,Time Played,8.76023853
ANS,Los Angeles Gladiators,Tracer,Time Played,5.82993984
ANS,Los Angeles Gladiators,Widowmaker,Time Played,2993.83056414
Admiral,London Spitfire,All Heroes,Time Played,16343.48194594
Admiral,London Spitfire,Brigitte,Time Played,207.3425144
Admiral,London Spitfire,Lucio,Time Played,16136.13943155
AimGod,Seoul Infernal,All Heroes,Time Played,16279.34769242
AimGod,Seoul Infernal,Ana,Time Played,15973.77067971
AimGod,Seoul Infernal,Moira,Time Played,44.755429750000005
AimGod,Seoul Infernal,Zenyatta,Time Played,260.82158297
AlphaYi,Hangzhou Spark,All Heroes,Time Played,19272.41011321
AlphaYi,Hangzhou Spark,Echo,Time Played,3941.8295331199997
AlphaYi,Hangzhou Spark,Genji,Time Played,7098.24215466
AlphaYi,Hangzhou Spark,Hanzo,Time Played,13.62725794
AlphaYi,Hangzhou Spark,Mei,Time Played,580.06055117
AlphaYi,Hangzhou Spark,Pharah,Time Played,1026.84417652
AlphaYi,Hangzhou Spark,Reaper,Time Played,3893.22921252
AlphaYi,Hangzhou Spark,Symmetra,Time Played,23.34661008
AlphaYi,Hangzhou Spark,Torbjorn,Time Played,432.15191883
AlphaYi,Hangzhou Spark,Tracer,Time Played,2263.0786984
Although,Toronto Defiant,All Heroes,Time Played,7393.95752413
Although,Toronto Defiant,Genji,Time Played,2321.16279877
Although,Toronto Defiant,Mei,Time Played,249.16745532
Although,Toronto Defiant,Reaper,Time Played,1730.47232008
Although,Toronto Defiant,Soldier: 76,Time Played,2072.13427335
Although,Toronto Defiant,Symmetra,Time Played,24.34635317
Although,Toronto Defiant,Tracer,Time Played,996.6743234400001
Anamo,Florida Mayhem,All Heroes,Time Played,16363.89413493
Anamo,Florida Mayhem,Brigitte,Time Played,2005.94327276
Anamo,Florida Mayhem,Lucio,Time Played,14344.32958663
Anamo,Florida Mayhem,Mercy,Time Played,13.62127554
Aspire,Vancouver Titans,All Heroes,Time Played,10838.00087349
Aspire,Vancouver Titans,Genji,Time Played,433.0964514
Aspire,Vancouver Titans,Hanzo,Time Played,511.88621705
Aspire,Vancouver Titans,Reaper,Time Played,736.8051333999999
Aspire,Vancouver Titans,Sojourn,Time Played,58.39371413
Aspire,Vancouver Titans,Soldier: 76,Time Played,1728.6434896
Aspire,Vancouver Titans,Symmetra,Time Played,3.8950911699999997
Aspire,Vancouver Titans,Tracer,Time Played,5762.22328603
Aspire,Vancouver Titans,Widowmaker,Time Played,1603.05749071
Aztac,Vancouver Titans,All Heroes,Time Played,2325.32766383
Aztac,Vancouver Titans,Ana,Time Played,1555.3848503299998
Aztac,Vancouver Titans,Moira,Time Played,213.24786043
Aztac,Vancouver Titans,Zenyatta,Time Played,556.69495308
BERNAR,Hangzhou Spark,All Heroes,Time Played,12887.41928761
BERNAR,Hangzhou Spark,D.Va,Time Played,1039.55423319
BERNAR,Hangzhou Spark,Doomfist,Time Played,331.91307271000005
BERNAR,Hangzhou Spark,Reinhardt,Time Played,468.14664322
BERNAR,Hangzhou Spark,Winston,Time Played,21.40790433
BERNAR,Hangzhou Spark,Zarya,Time Played,11026.39743415
Backbone,London Spitfire,All Heroes,Time Played,13133.572545949999
Backbone,London Spitfire,Genji,Time Played,1682.8211107900001
Backbone,London Spitfire,Mei,Time Played,9470.161580330001
Backbone,London Spitfire,Reaper,Time Played,210.2009778
Backbone,London Spitfire,Sombra,Time Played,1397.62691755
Backbone,London Spitfire,Tracer,Time Played,349.40704215
Backbone,London Spitfire,Widowmaker,Time Played,23.35491735
Becky,Los Angeles Valiant,All Heroes,Time Played,12704.46586547
Becky,Los Angeles Valiant,Echo,Time Played,3888.4187862999997
Becky,Los Angeles Valiant,Genji,Time Played,4198.73107601
Becky,Los Angeles Valiant,Junkrat,Time Played,6.81872976
Becky,Los Angeles Valiant,Mei,Time Played,342.59960103000003
Becky,Los Angeles Valiant,Pharah,Time Played,21.41845137
Becky,Los Angeles Valiant,Reaper,Time Played,3039.52028304
Becky,Los Angeles Valiant,Sombra,Time Played,90.53749734
Becky,Los Angeles Valiant,Symmetra,Time Played,31.1496972
Becky,Los Angeles Valiant,Tracer,Time Played,1085.27174347
Belosrea,Seoul Infernal,All Heroes,Time Played,8538.84035962
Belosrea,Seoul Infernal,Doomfist,Time Played,650.2194543400001
Belosrea,Seoul Infernal,Roadhog,Time Played,14.60056717
Belosrea,Seoul Infernal,Winston,Time Played,7562.58015489
Belosrea,Seoul Infernal,Wrecking Ball,Time Played,311.44018322
CH0R0NG,Toronto Defiant,All Heroes,Time Played,14978.23494095
CH0R0NG,Toronto Defiant,Baptiste,Time Played,442.84576249
CH0R0NG,Toronto Defiant,Brigitte,Time Played,2089.55185658
CH0R0NG,Toronto Defiant,Lucio,Time Played,12444.86439259
CH0R0NG,Toronto Defiant,Mercy,Time Played,0.9729293
Checkmate,Florida Mayhem,All Heroes,Time Played,16363.89413493
Checkmate,Florida Mayhem,Echo,Time Played,833.18255949
Checkmate,Florida Mayhem,Genji,Time Played,5765.6252089
Checkmate,Florida Mayhem,Mei,Time Played,1683.93750083
Checkmate,Florida Mayhem,Soldier: 76,Time Played,13.63602495
Checkmate,Florida Mayhem,Sombra,Time Played,1462.78882671
Checkmate,Florida Mayhem,Symmetra,Time Played,3.8964951
Checkmate,Florida Mayhem,Tracer,Time Played,6599.85547203
Checkmate,Florida Mayhem,Widowmaker,Time Played,0.97204691
ChiYo,Dallas Fuel,All Heroes,Time Played,13260.52278226
ChiYo,Dallas Fuel,Brigitte,Time Played,3725.97506958
ChiYo,Dallas Fuel,Lucio,Time Played,9490.74437928
ChiYo,Dallas Fuel,Mercy,Time Played,43.8033334
ChoiSehwan,Guangzhou Charge,All Heroes,Time Played,14927.32944608
ChoiSehwan,Guangzhou Charge,Echo,Time Played,4658.27091253
ChoiSehwan,Guangzhou Charge,Genji,Time Played,7879.578866960001
ChoiSehwan,Guangzhou Charge,Hanzo,Time Played,9.72965759
ChoiSehwan,Guangzhou Charge,Reaper,Time Played,506.12597054
ChoiSehwan,Guangzhou Charge,Soldier: 76,Time Played,0.97097176
ChoiSehwan,Guangzhou Charge,Symmetra,Time Played,19.46949017
ChoiSehwan,Guangzhou Charge,Tracer,Time Played,1836.64202504
ChoiSehwan,Guangzhou Charge,Widowmaker,Time Played,16.54155147
ColdesT,Los Angeles Valiant,All Heroes,Time Played,17077.58906307
ColdesT,Los Angeles Valiant,Ana,Time Played,15970.97317836
ColdesT,Los Angeles Valiant,Lucio,Time Played,19.46021557
ColdesT,Los Angeles Valiant,Moira,Time Played,242.37700946
ColdesT,Los Angeles Valiant,Zenyatta,Time Played,844.77865971
Coluge,San Francisco Shock,All Heroes,Time Played,16046.52973491
Coluge,San Francisco Shock,Doomfist,Time Played,593.75962925
Coluge,San Francisco Shock,Reinhardt,Time Played,40.89614153
Coluge,San Francisco Shock,Sigma,Time Played,995.7387539199999
Coluge,San Francisco Shock,Winston,Time Played,13654.0837117
Coluge,San Francisco Shock,Zarya,Time Played,762.0514985299999
Cr0ng,Guangzhou Charge,All Heroes,Time Played,9360.14965314
Cr0ng,Guangzhou Charge,D.Va,Time Played,901.33033955
Cr0ng,Guangzhou Charge,Doomfist,Time Played,169.30957525999997
Cr0ng,Guangzhou Charge,Zarya,Time Played,8289.509738319999
Creative,Seoul Dynasty,All Heroes,Time Played,15701.3110703
Creative,Seoul Dynasty,Ana,Time Played,14565.4512041
Creative,Seoul Dynasty,Baptiste,Time Played,53.52671599
Creative,Seoul Dynasty,Zenyatta,Time Played,1082.33315021
Crimzo,Boston Uprising,All Heroes,Time Played,8720.7986011
Crimzo,Boston Uprising,Ana,Time Played,8353.81157232
Crimzo,Boston Uprising,Lucio,Time Played,18.50614476
Crimzo,Boston Uprising,Mercy,Time Played,3.89679044
Crimzo,Boston Uprising,Moira,Time Played,344.58409358
Daan,Vegas Eternal,All Heroes,Time Played,8595.99072991
Daan,Vegas Eternal,Doomfist,Time Played,500.25176102
Daan,Vegas Eternal,Reinhardt,Time Played,604.40327889
Daan,Vegas Eternal,Winston,Time Played,7491.33569001
Daizi,Chengdu Hunters,All Heroes,Time Played,7996.54172242
Daizi,Chengdu Hunters,Zarya,Time Played,7996.54172242
Danteh,Houston Outlaws,All Heroes,Time Played,11184.2734907
Danteh,Houston Outlaws,Doomfist,Time Played,11184.2734907
Decay,Washington Justice,All Heroes,Time Played,14371.95710218
Decay,Washington Justice,Genji,Time Played,4058.83239745
Decay,Washington Justice,Hanzo,Time Played,4.86686826
Decay,Washington Justice,Junkrat,Time Played,147.89589936
Decay,Washington Justice,Reaper,Time Played,278.3204248
Decay,Washington Justice,Soldier: 76,Time Played,484.71588945
Decay,Washington Justice,Symmetra,Time Played,9.734593030000001
Decay,Washington Justice,Tracer,Time Played,9387.59102983
Develop,Guangzhou Charge,All Heroes,Time Played,14927.329446079999
Develop,Guangzhou Charge,Ashe,Time Played,2681.33773005
Develop,Guangzhou Charge,Hanzo,Time Played,856.4971543500001
Develop,Guangzhou Charge,Reaper,Time Played,530.41853482
Develop,Guangzhou Charge,Soldier: 76,Time Played,5379.31017656
Develop,Guangzhou Charge,Sombra,Time Played,927.5105291699999
Develop,Guangzhou Charge,Symmetra,Time Played,33.09381789
Develop,Guangzhou Charge,Tracer,Time Played,225.7884252
Develop,Guangzhou Charge,Widowmaker,Time Played,4293.37307804
Diya,Los Angeles Valiant,All Heroes,Time Played,17077.58906307
Diya,Los Angeles Valiant,Ashe,Time Played,1456.13684267
Diya,Los Angeles Valiant,Hanzo,Time Played,25.30851513
Diya,Los Angeles Valiant,Pharah,Time Played,0.97252285
Diya,Los Angeles Valiant,Reaper,Time Played,3522.5400567
Diya,Los Angeles Valiant,Soldier: 76,Time Played,9426.27930664
Diya,Los Angeles Valiant,Symmetra,Time Played,21.40037365
Diya,Los Angeles Valiant,Tracer,Time Played,52.57895159
Diya,Los Angeles Valiant,Widowmaker,Time Played,2572.37249385
Doha,Dallas Fuel,All Heroes,Time Played,3534.2255207300004
Doha,Dallas Fuel,Echo,Time Played,141.16749132
Doha,Dallas Fuel,Soldier: 76,Time Played,3386.2362813299997
Doha,Dallas Fuel,Symmetra,Time Played,4.87210834
Doha,Dallas Fuel,Widowmaker,Time Played,1.94963974
Edison,Dallas Fuel,All Heroes,Time Played,12395.173613070001
Edison,Dallas Fuel,Reaper,Time Played,5900.29564524
Edison,Dallas Fuel,Soldier: 76,Time Played,3646.87855928
Edison,Dallas Fuel,Symmetra,Time Played,3.8899892
Edison,Dallas Fuel,Tracer,Time Played,2475.20710528
Edison,Dallas Fuel,Widowmaker,Time Played,368.90231406
Ezhan,Los Angeles Valiant,All Heroes,Time Played,1252.6964951700002
Ezhan,Los Angeles Valiant,Cassidy,Time Played,42.84553814
Ezhan,Los Angeles Valiant,Reaper,Time Played,461.35546356
Ezhan,Los Angeles Valiant,Sojourn,Time Played,2.9226042
Ezhan,Los Angeles Valiant,Soldier: 76,Time Played,219.02779943
Ezhan,Los Angeles Valiant,Tracer,Time Played,76.90082085
Ezhan,Los Angeles Valiant,Widowmaker,Time Played,449.64426899
FEARLESS,Dallas Fuel,All Heroes,Time Played,3702.47518933
FEARLESS,Dallas Fuel,Doomfist,Time Played,573.14706272
FEARLESS,Dallas Fuel,Winston,Time Played,3123.49488049
FEARLESS,Dallas Fuel,Wrecking Ball,Time Played,5.83324611
FIXA,Seoul Infernal,All Heroes,Time Played,16279.34769242
FIXA,Seoul Infernal,Brigitte,Time Played,7734.61715741
FIXA,Seoul Infernal,Lucio,Time Played,7223.92875789
FIXA,Seoul Infernal,Mercy,Time Played,1320.80177712
Faith,Boston Uprising,All Heroes,Time Played,16334.79549503
Faith,Boston Uprising,Baptiste,Time Played,360.11560273
Faith,Boston Uprising,Brigitte,Time Played,3414.29622965
Faith,Boston Uprising,Lucio,Time Played,12266.40920918
Faith,Boston Uprising,Mercy,Time Played,273.52696217
Faith,Boston Uprising,Zenyatta,Time Played,20.447491290000002
False,Vancouver Titans,All Heroes,Time Played,13691.66372416
False,Vancouver Titans,D.Va,Time Played,1604.21203376
False,Vancouver Titans,Doomfist,Time Played,727.11279785
False,Vancouver Titans,Reinhardt,Time Played,1065.65322679
False,Vancouver Titans,Roadhog,Time Played,143.08149832
False,Vancouver Titans,Sigma,Time Played,545.98987103
False,Vancouver Titans,Winston,Time Played,6875.58346337
False,Vancouver Titans,Zarya,Time Played,2730.03083307
Farway1987,Guangzhou Charge,All Heroes,Time Played,14927.329446079999
Farway1987,Guangzhou Charge,Ana,Time Played,14927.32944608
Fate,Shanghai Dragons,All Heroes,Time Played,11973.92314242
Fate,Shanghai Dragons,Doomfist,Time Played,35.06033921
Fate,Shanghai Dragons,Reinhardt,Time Played,293.94764763
Fate,Shanghai Dragons,Winston,Time Played,11490.19191944
Fate,Shanghai Dragons,Zarya,Time Played,154.72323615
FiNN,San Francisco Shock,All Heroes,Time Played,16046.52973491
FiNN,San Francisco Shock,Ana,Time Played,13124.52459026
FiNN,San Francisco Shock,Moira,Time Played,1905.81273424
FiNN,San Francisco Shock,Zenyatta,Time Played,1016.1924104100001
Fielder,Dallas Fuel,All Heroes,Time Played,13260.52278226
Fielder,Dallas Fuel,Ana,Time Played,11641.88839751
Fielder,Dallas Fuel,Moira,Time Played,18.484493559999997
Fielder,Dallas Fuel,Zenyatta,Time Played,1600.1498912
Finale,Toronto Defiant,All Heroes,Time Played,8199.29715102
Finale,Toronto Defiant,Bastion,Time Played,11.69059926
Finale,Toronto Defiant,Echo,Time Played,1385.04126739
Finale,Toronto Defiant,Genji,Time Played,3446.81286954
Finale,Toronto Defiant,Hanzo,Time Played,2.9214406
Finale,Toronto Defiant,Reaper,Time Played,31.14223808
Finale,Toronto Defiant,Symmetra,Time Played,6.80982232
Finale,Toronto Defiant,Tracer,Time Played,3314.8789138300003
Fits,Seoul Dynasty,All Heroes,Time Played,14935.3961545
Fits,Seoul Dynasty,Ashe,Time Played,383.49130749999995
Fits,Seoul Dynasty,Bastion,Time Played,6.8060636599999995
Fits,Seoul Dynasty,Cassidy,Time Played,14.5953173
Fits,Seoul Dynasty,Echo,Time Played,4.86392063
Fits,Seoul Dynasty,Genji,Time Played,3.89222777
Fits,Seoul Dynasty,Soldier: 76,Time Played,10569.19715232
Fits,Seoul Dynasty,Sombra,Time Played,1017.0354265000001
