hero_name,stat_name,amount
Ana,Time Played,87781.5481562
Ashe,Time Played,2009.70546287
Baptiste,Time Played,7496.28346365
Bastion,Time Played,19.46932083
Brigitte,Time Played,23903.59493498
Cassidy,Time Played,1299.24909902
D.Va,Time Played,1282.93131382
Doomfist,Time Played,17781.4391435
Echo,Time Played,4221.2131371899995
Genji,Time Played,27800.02583653
Hanzo,Time Played,5195.69652412
Lucio,Time Played,81170.61403413
Mei,Time Played,7767.59650768
Mercy,Time Played,1191.34182407
Moira,Time Played,10287.08171799
Orisa,Time Played,52.54209149
Pharah,Time Played,533.3163067099999
Reaper,Time Played,28275.67575471
Reinhardt,Time Played,7793.9050512799995
Roadhog,Time Played,23.36121249
Sigma,Time Played,3992.61226147
Sojourn,Time Played,3.89225018
Soldier: 76,Time Played,64830.79445925
Sombra,Time Played,519.79206889
Symmetra,Time Played,1216.5984258800001
Torbjorn,Time Played,400.97283417
Tracer,Time Played,52685.80175976
Widowmaker,Time Played,19237.92537823
Winston,Time Played,52018.4413211
Wrecking Ball,Time Played,229.6880924
Zarya,Time Played,24833.94207549
Zenyatta,Time Played,4187.26099508
