player_name,team_name,hero_name,stat_name,amount
ANS,Los Angeles Gladiators,All Heroes,Time Played,2060.53755646
ANS,Los Angeles Gladiators,Soldier: 76,Time Played,149.88696098
ANS,Los Angeles Gladiators,Symmetra,Time Played,14.597056030000001
ANS,Los Angeles Gladiators,Widowmaker,Time Played,1896.05353945
AimGod,Seoul Infernal,All Heroes,Time Played,7196.50226903
AimGod,Seoul Infernal,Ana,Time Played,6739.02089304
AimGod,Seoul Infernal,Baptiste,Time Played,457.48137599
AlphaYi,Hangzhou Spark,All Heroes,Time Played,4542.33177574
AlphaYi,Hangzhou Spark,Echo,Time Played,344.54925412
AlphaYi,Hangzhou Spark,Genji,Time Played,1321.78471559
AlphaYi,Hangzhou Spark,Reaper,Time Played,899.29689723
AlphaYi,Hangzhou Spark,Symmetra,Time Played,6.81183064
AlphaYi,Hangzhou Spark,Torbjorn,Time Played,400.97283417
AlphaYi,Hangzhou Spark,Tracer,Time Played,1561.12969268
AlphaYi,Hangzhou Spark,Widowmaker,Time Played,7.7865513
Although,Toronto Defiant,All Heroes,Time Played,5381.45998442
Although,Toronto Defiant,Ashe,Time Played,115.78894448
Although,Toronto Defiant,Genji,Time Played,1654.55495173
Although,Toronto Defiant,Pharah,Time Played,204.3464089
Although,Toronto Defiant,Soldier: 76,Time Played,2942.46213604
Although,Toronto Defiant,Symmetra,Time Played,1.94193107
Although,Toronto Defiant,Tracer,Time Played,451.66002822
Although,Toronto Defiant,Widowmaker,Time Played,10.70558399
Anamo,Florida Mayhem,All Heroes,Time Played,8558.99110852
Anamo,Florida Mayhem,Brigitte,Time Played,2777.72325903
Anamo,Florida Mayhem,Lucio,Time Played,5781.26784948
Assassin,Washington Justice,All Heroes,Time Played,5078.9001472
Assassin,Washington Justice,Echo,Time Played,608.35898286
Assassin,Washington Justice,Genji,Time Played,566.47978282
Assassin,Washington Justice,Tracer,Time Played,3904.06138152
BERNAR,Hangzhou Spark,All Heroes,Time Played,3332.63035436
BERNAR,Hangzhou Spark,D.Va,Time Played,712.51748592
BERNAR,Hangzhou Spark,Doomfist,Time Played,50.62462181
BERNAR,Hangzhou Spark,Winston,Time Played,128.46696121
BERNAR,Hangzhou Spark,Wrecking Ball,Time Played,35.02378315
BERNAR,Hangzhou Spark,Zarya,Time Played,2405.99750226
Belosrea,Seoul Infernal,All Heroes,Time Played,7196.50226903
Belosrea,Seoul Infernal,Doomfist,Time Played,689.07975286
Belosrea,Seoul Infernal,Reinhardt,Time Played,552.83391154
Belosrea,Seoul Infernal,Winston,Time Played,5809.57601641
Belosrea,Seoul Infernal,Wrecking Ball,Time Played,145.0125882
CH0R0NG,Toronto Defiant,All Heroes,Time Played,5381.45998442
CH0R0NG,Toronto Defiant,Brigitte,Time Played,1345.0551995
CH0R0NG,Toronto Defiant,Lucio,Time Played,3684.1021857799997
CH0R0NG,Toronto Defiant,Mercy,Time Played,352.30259914
Checkmate,Florida Mayhem,All Heroes,Time Played,8558.99110852
Checkmate,Florida Mayhem,Echo,Time Played,825.35880076
Checkmate,Florida Mayhem,Genji,Time Played,1497.79856479
Checkmate,Florida Mayhem,Mei,Time Played,1025.80450141
Checkmate,Florida Mayhem,Reaper,Time Played,487.61170524
Checkmate,Florida Mayhem,Symmetra,Time Played,12.65835762
Checkmate,Florida Mayhem,Tracer,Time Played,4709.7591787
ChiYo,Dallas Fuel,All Heroes,Time Played,15459.84278607
ChiYo,Dallas Fuel,Ana,Time Played,269.57047141
ChiYo,Dallas Fuel,Baptiste,Time Played,2.9209578
ChiYo,Dallas Fuel,Brigitte,Time Played,3888.2859270500003
ChiYo,Dallas Fuel,Lucio,Time Played,11298.09439051
ChiYo,Dallas Fuel,Mercy,Time Played,0.9710393
Coluge,San Francisco Shock,All Heroes,Time Played,10538.13656403
Coluge,San Francisco Shock,Doomfist,Time Played,4075.33963443
Coluge,San Francisco Shock,Reinhardt,Time Played,187.81290775
Coluge,San Francisco Shock,Sigma,Time Played,849.71963793
Coluge,San Francisco Shock,Winston,Time Played,4640.82607055
Coluge,San Francisco Shock,Zarya,Time Played,784.4383133700001
Creative,Seoul Dynasty,All Heroes,Time Played,12193.35722746
Creative,Seoul Dynasty,Ana,Time Played,12167.07037331
Creative,Seoul Dynasty,Baptiste,Time Played,11.67726046
Creative,Seoul Dynasty,Lucio,Time Played,14.60959369
Danteh,Houston Outlaws,All Heroes,Time Played,4015.75331819
Danteh,Houston Outlaws,Doomfist,Time Played,4015.75331819
Decay,Washington Justice,All Heroes,Time Played,2041.93271422
Decay,Washington Justice,Tracer,Time Played,2041.93271422
Edison,Dallas Fuel,All Heroes,Time Played,11064.51768726
Edison,Dallas Fuel,Hanzo,Time Played,680.31601476
Edison,Dallas Fuel,Reaper,Time Played,9606.53917895
Edison,Dallas Fuel,Soldier: 76,Time Played,613.16268486
Edison,Dallas Fuel,Symmetra,Time Played,9.74126309
Edison,Dallas Fuel,Tracer,Time Played,154.75854558
FEARLESS,Dallas Fuel,All Heroes,Time Played,3394.83188766
FEARLESS,Dallas Fuel,Doomfist,Time Played,271.52689469
FEARLESS,Dallas Fuel,Roadhog,Time Played,9.72946501
FEARLESS,Dallas Fuel,Winston,Time Played,3113.57552797
FIXA,Seoul Infernal,All Heroes,Time Played,7196.50226903
FIXA,Seoul Infernal,Brigitte,Time Played,2039.84621477
FIXA,Seoul Infernal,Lucio,Time Played,5011.64346606
FIXA,Seoul Infernal,Mercy,Time Played,145.0125882
Fate,Shanghai Dragons,All Heroes,Time Played,6851.96251024
Fate,Shanghai Dragons,Reinhardt,Time Played,643.35654611
Fate,Shanghai Dragons,Winston,Time Played,5942.8448362399995
