player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Soldier: 76,8,20
ANS,Los Angeles Gladiators,Symmetra,3,20
ANS,Los Angeles Gladiators,Tracer,1,20
ANS,Los Angeles Gladiators,Widowmaker,8,20
AlphaYi,Hangzhou Spark,Echo,14,85
AlphaYi,Hangzhou Spark,Genji,20,85
AlphaYi,Hangzhou Spark,Hanzo,2,85
AlphaYi,Hangzhou Spark,Mei,1,85
AlphaYi,Hangzhou Spark,Pharah,5,85
AlphaYi,Hangzhou Spark,Reaper,14,85
AlphaYi,Hangzhou Spark,Symmetra,9,85
AlphaYi,Hangzhou Spark,Torbjorn,4,85
AlphaYi,Hangzhou Spark,Tracer,15,85
AlphaYi,Hangzhou Spark,Widowmaker,1,85
Although,Toronto Defiant,Ashe,1,34
Although,Toronto Defiant,Genji,7,34
Although,Toronto Defiant,Mei,1,34
Although,Toronto Defiant,Pharah,1,34
Although,Toronto Defiant,Reaper,5,34
Although,Toronto Defiant,Soldier: 76,8,34
Although,Toronto Defiant,Symmetra,3,34
Although,Toronto Defiant,Tracer,7,34
Although,Toronto Defiant,Widowmaker,1,34
Aspire,Vancouver Titans,Genji,3,35
Aspire,Vancouver Titans,Hanzo,2,35
Aspire,Vancouver Titans,Reaper,3,35
Aspire,Vancouver Titans,Sojourn,1,35
Aspire,Vancouver Titans,Soldier: 76,6,35
Aspire,Vancouver Titans,Symmetra,2,35
Aspire,Vancouver Titans,Tracer,10,35
Aspire,Vancouver Titans,Widowmaker,8,35
Assassin,Washington Justice,Echo,1,8
Assassin,Washington Justice,Genji,1,8
Assassin,Washington Justice,Tracer,6,8
Backbone,London Spitfire,Genji,2,33
Backbone,London Spitfire,Hanzo,1,33
Backbone,London Spitfire,Mei,16,33
Backbone,London Spitfire,Reaper,1,33
Backbone,London Spitfire,Sombra,7,33
Backbone,London Spitfire,Tracer,5,33
Backbone,London Spitfire,Widowmaker,1,33
Becky,Los Angeles Valiant,Echo,12,54
Becky,Los Angeles Valiant,Genji,12,54
Becky,Los Angeles Valiant,Junkrat,1,54
Becky,Los Angeles Valiant,Mei,2,54
Becky,Los Angeles Valiant,Pharah,1,54
Becky,Los Angeles Valiant,Reaper,8,54
Becky,Los Angeles Valiant,Sombra,2,54
Becky,Los Angeles Valiant,Symmetra,7,54
Becky,Los Angeles Valiant,Tracer,9,54
Checkmate,Florida Mayhem,Echo,5,54
Checkmate,Florida Mayhem,Genji,13,54
Checkmate,Florida Mayhem,Mei,6,54
Checkmate,Florida Mayhem,Reaper,1,54
Checkmate,Florida Mayhem,Soldier: 76,1,54
Checkmate,Florida Mayhem,Sombra,3,54
Checkmate,Florida Mayhem,Symmetra,3,54
Checkmate,Florida Mayhem,Tracer,21,54
Checkmate,Florida Mayhem,Widowmaker,1,54
ChoiSehwan,Guangzhou Charge,Echo,10,48
ChoiSehwan,Guangzhou Charge,Genji,17,48
ChoiSehwan,Guangzhou Charge,Hanzo,3,48
ChoiSehwan,Guangzhou Charge,Reaper,1,48
ChoiSehwan,Guangzhou Charge,Soldier: 76,1,48
ChoiSehwan,Guangzhou Charge,Symmetra,2,48
ChoiSehwan,Guangzhou Charge,Tracer,10,48
ChoiSehwan,Guangzhou Charge,Widowmaker,4,48
Decay,Washington Justice,Genji,7,34
Decay,Washington Justice,Hanzo,1,34
Decay,Washington Justice,Junkrat,1,34
Decay,Washington Justice,Reaper,2,34
Decay,Washington Justice,Soldier: 76,1,34
Decay,Washington Justice,Symmetra,3,34
Decay,Washington Justice,Tracer,19,34
Develop,Guangzhou Charge,Ashe,8,55
Develop,Guangzhou Charge,Hanzo,2,55
Develop,Guangzhou Charge,Reaper,4,55
Develop,Guangzhou Charge,Soldier: 76,13,55
Develop,Guangzhou Charge,Sombra,3,55
Develop,Guangzhou Charge,Symmetra,6,55
Develop,Guangzhou Charge,Tracer,8,55
Develop,Guangzhou Charge,Widowmaker,11,55
Diya,Los Angeles Valiant,Ashe,5,62
Diya,Los Angeles Valiant,Hanzo,8,62
Diya,Los Angeles Valiant,Pharah,1,62
Diya,Los Angeles Valiant,Reaper,10,62
Diya,Los Angeles Valiant,Soldier: 76,21,62
Diya,Los Angeles Valiant,Symmetra,4,62
Diya,Los Angeles Valiant,Tracer,3,62
Diya,Los Angeles Valiant,Widowmaker,10,62
Doha,Dallas Fuel,Echo,2,10
Doha,Dallas Fuel,Soldier: 76,6,10
Doha,Dallas Fuel,Symmetra,1,10
Doha,Dallas Fuel,Widowmaker,1,10
Edison,Dallas Fuel,Hanzo,4,58
Edison,Dallas Fuel,Reaper,28,58
Edison,Dallas Fuel,Soldier: 76,11,58
Edison,Dallas Fuel,Symmetra,3,58
Edison,Dallas Fuel,Tracer,6,58
Edison,Dallas Fuel,Widowmaker,6,58
Ezhan,Los Angeles Valiant,Cassidy,1,6
Ezhan,Los Angeles Valiant,Reaper,1,6
Ezhan,Los Angeles Valiant,Sojourn,1,6
Ezhan,Los Angeles Valiant,Soldier: 76,1,6
Ezhan,Los Angeles Valiant,Tracer,1,6
Ezhan,Los Angeles Valiant,Widowmaker,1,6
Finale,Toronto Defiant,Bastion,2,35
Finale,Toronto Defiant,Echo,2,35
Finale,Toronto Defiant,Genji,9,35
Finale,Toronto Defiant,Hanzo,1,35
Finale,Toronto Defiant,Mei,1,35
Finale,Toronto Defiant,Pharah,1,35
Finale,Toronto Defiant,Reaper,2,35
Finale,Toronto Defiant,Symmetra,3,35
Finale,Toronto Defiant,Tracer,13,35
Finale,Toronto Defiant,Widowmaker,1,35
Fits,Seoul Dynasty,Ashe,3,73
Fits,Seoul Dynasty,Bastion,2,73
Fits,Seoul Dynasty,Cassidy,1,73
Fits,Seoul Dynasty,Echo,1,73
Fits,Seoul Dynasty,Genji,1,73
Fits,Seoul Dynasty,Hanzo,1,73
Fits,Seoul Dynasty,Soldier: 76,33,73
Fits,Seoul Dynasty,Sombra,4,73
Fits,Seoul Dynasty,Symmetra,7,73
