,map_name,player_name,team_name,hero_name
16,Lijiang Tower,FunnyAstro,Los Angeles Gladiators,Lucio
51,Lijiang Tower,Patiphan,Los Angeles Gladiators,Genji
70,Lijiang Tower,Patiphan,Los Angeles Gladiators,Tracer
93,Lijiang Tower,Reiner,Los Angeles Gladiators,Doomfist
109,Lijiang Tower,Reiner,Los Angeles Gladiators,Winston
143,Lijiang Tower,kevster,Los Angeles Gladiators,Reaper
163,Lijiang Tower,kevster,Los Angeles Gladiators,Soldier: 76
190,Lijiang Tower,shu,Los Angeles Gladiators,Ana
231,Lijiang Tower,Flora,New York Excelsior,Reaper
247,Lijiang Tower,Flora,New York Excelsior,Soldier: 76
285,Lijiang Tower,GangNamJin,New York Excelsior,Lucio
331,Lijiang Tower,Kellan,New York Excelsior,Winston
354,Lijiang Tower,Kellan,New York Excelsior,Zarya
389,Lijiang Tower,Myunb0ng,New York Excelsior,Ana
432,Lijiang Tower,Yaki,New York Excelsior,Echo
468,Midtown,FunnyAstro,Los Angeles Gladiators,Lucio
506,Midtown,Patiphan,Los Angeles Gladiators,Genji
524,Midtown,Patiphan,Los Angeles Gladiators,Tracer
543,Midtown,Patiphan,Los Angeles Gladiators,Widowmaker
567,Midtown,Reiner,Los Angeles Gladiators,Doomfist
580,Midtown,Reiner,Los Angeles Gladiators,Winston
615,Midtown,kevster,Los Angeles Gladiators,Soldier: 76
647,Midtown,shu,Los Angeles Gladiators,Ana
691,Midtown,Flora,New York Excelsior,Ashe
722,Midtown,Flora,New York Excelsior,Reaper
731,Midtown,Flora,New York Excelsior,Soldier: 76
761,Midtown,GangNamJin,New York Excelsior,Lucio
796,Midtown,Kellan,New York Excelsior,D.Va
818,Midtown,Kellan,New York Excelsior,Winston
847,Midtown,Kellan,New York Excelsior,Zarya
870,Midtown,Myunb0ng,New York Excelsior,Ana
907,Midtown,Yaki,New York Excelsior,Echo
949,Circuit royal,ANS,Los Angeles Gladiators,Soldier: 76
965,Circuit royal,ANS,Los Angeles Gladiators,Widowmaker
1000,Circuit royal,SPACE,Los Angeles Gladiators,D.Va
1019,Circuit royal,SPACE,Los Angeles Gladiators,Sigma
1041,Circuit royal,SPACE,Los Angeles Gladiators,Zarya
1070,Circuit royal,kevster,Los Angeles Gladiators,Tracer
1107,Circuit royal,shu,Los Angeles Gladiators,Baptiste
1128,Circuit royal,shu,Los Angeles Gladiators,Lucio
1151,Circuit royal,skewed,Los Angeles Gladiators,Lucio
1159,Circuit royal,skewed,Los Angeles Gladiators,Zenyatta
1190,Circuit royal,Flora,New York Excelsior,Reaper
1205,Circuit royal,Flora,New York Excelsior,Tracer
1223,Circuit royal,Flora,New York Excelsior,Widowmaker
1263,Circuit royal,GangNamJin,New York Excelsior,Lucio
1308,Circuit royal,Kellan,New York Excelsior,Doomfist
1325,Circuit royal,Kellan,New York Excelsior,Winston
1330,Circuit royal,Kellan,New York Excelsior,Zarya
1370,Circuit royal,Myunb0ng,New York Excelsior,Ana
1411,Circuit royal,Yaki,New York Excelsior,Echo
1451,New Queen Street,FunnyAstro,Los Angeles Gladiators,Lucio
1492,New Queen Street,Patiphan,Los Angeles Gladiators,Genji
1516,New Queen Street,Patiphan,Los Angeles Gladiators,Tracer
1547,New Queen Street,Reiner,Los Angeles Gladiators,Winston
1586,New Queen Street,kevster,Los Angeles Gladiators,Soldier: 76
1630,New Queen Street,shu,Los Angeles Gladiators,Ana
1671,New Queen Street,Flora,New York Excelsior,Soldier: 76
1690,New Queen Street,Flora,New York Excelsior,Tracer
1728,New Queen Street,GangNamJin,New York Excelsior,Lucio
1761,New Queen Street,Kellan,New York Excelsior,Winston
1805,New Queen Street,Myunb0ng,New York Excelsior,Ana
1837,New Queen Street,Yaki,New York Excelsior,Echo
1870,Ilios,Coluge,San Francisco Shock,Winston
1914,Ilios,FiNN,San Francisco Shock,Ana
1936,Ilios,FiNN,San Francisco Shock,Moira
1975,Ilios,Proper,San Francisco Shock,Reaper
1995,Ilios,Proper,San Francisco Shock,Tracer
2029,Ilios,Viol2t,San Francisco Shock,Lucio
2062,Ilios,s9mm,San Francisco Shock,Genji
2097,Ilios,Glister,Vegas Eternal,Reaper
2102,Ilios,Glister,Vegas Eternal,Soldier: 76
2124,Ilios,Glister,Vegas Eternal,Symmetra
2131,Ilios,Glister,Vegas Eternal,Tracer
2144,Ilios,Glister,Vegas Eternal,Widowmaker
2173,Ilios,Kaan,Vegas Eternal,Ana
2210,Ilios,Naga,Vegas Eternal,Genji
2238,Ilios,Vestola,Vegas Eternal,D.Va
2258,Ilios,Vestola,Vegas Eternal,Doomfist
2260,Ilios,Vestola,Vegas Eternal,Zarya
2297,Ilios,dridro,Vegas Eternal,Lucio
2336,King's Row,Coluge,San Francisco Shock,Winston
2383,King's Row,FiNN,San Francisco Shock,Ana
2423,King's Row,Proper,San Francisco Shock,Soldier: 76
2447,King's Row,Proper,San Francisco Shock,Widowmaker
2470,King's Row,Viol2t,San Francisco Shock,Lucio
2508,King's Row,s9mm,San Francisco Shock,Genji
2548,King's Row,Daan,Vegas Eternal,Winston
2583,King's Row,Glister,Vegas Eternal,Pharah
2585,King's Row,Glister,Vegas Eternal,Soldier: 76
2623,King's Row,Kaan,Vegas Eternal,Ana
2662,King's Row,Naga,Vegas Eternal,Genji
2693,King's Row,dridro,Vegas Eternal,Lucio
2732,Dorado,Coluge,San Francisco Shock,Winston
2768,Dorado,FiNN,San Francisco Shock,Ana
