,esports_match_id,map_name,map_type,player_name,team_name,hero_name
16,38971,Lijiang Tower,control,FunnyAstro,Los Angeles Gladiators,Lucio
51,38971,Lijiang Tower,control,Patiphan,Los Angeles Gladiators,Genji
70,38971,Lijiang Tower,control,Patiphan,Los Angeles Gladiators,Tracer
93,38971,Lijiang Tower,control,Reiner,Los Angeles Gladiators,Doomfist
109,38971,Lijiang Tower,control,Reiner,Los Angeles Gladiators,Winston
143,38971,Lijiang Tower,control,kevster,Los Angeles Gladiators,Reaper
163,38971,Lijiang Tower,control,kevster,Los Angeles Gladiators,Soldier: 76
190,38971,Lijiang Tower,control,shu,Los Angeles Gladiators,Ana
231,38971,Lijiang Tower,control,Flora,New York Excelsior,Reaper
247,38971,Lijiang Tower,control,Flora,New York Excelsior,Soldier: 76
285,38971,Lijiang Tower,control,GangNamJin,New York Excelsior,Lucio
331,38971,Lijiang Tower,control,Kellan,New York Excelsior,Winston
354,38971,Lijiang Tower,control,Kellan,New York Excelsior,Zarya
389,38971,Lijiang Tower,control,Myunb0ng,New York Excelsior,Ana
432,38971,Lijiang Tower,control,Yaki,New York Excelsior,Echo
468,38971,Midtown,hybrid,FunnyAstro,Los Angeles Gladiators,Lucio
506,38971,Midtown,hybrid,Patiphan,Los Angeles Gladiators,Genji
524,38971,Midtown,hybrid,Patiphan,Los Angeles Gladiators,Tracer
543,38971,Midtown,hybrid,Patiphan,Los Angeles Gladiators,Widowmaker
567,38971,Midtown,hybrid,Reiner,Los Angeles Gladiators,Doomfist
580,38971,Midtown,hybrid,Reiner,Los Angeles Gladiators,Winston
615,38971,Midtown,hybrid,kevster,Los Angeles Gladiators,Soldier: 76
647,38971,Midtown,hybrid,shu,Los Angeles Gladiators,Ana
691,38971,Midtown,hybrid,Flora,New York Excelsior,Ashe
722,38971,Midtown,hybrid,Flora,New York Excelsior,Reaper
731,38971,Midtown,hybrid,Flora,New York Excelsior,Soldier: 76
761,38971,Midtown,hybrid,GangNamJin,New York Excelsior,Lucio
796,38971,Midtown,hybrid,Kellan,New York Excelsior,D.Va
818,38971,Midtown,hybrid,Kellan,New York Excelsior,Winston
847,38971,Midtown,hybrid,Kellan,New York Excelsior,Zarya
870,38971,Midtown,hybrid,Myunb0ng,New York Excelsior,Ana
907,38971,Midtown,hybrid,Yaki,New York Excelsior,Echo
949,38971,Circuit royal,payload,ANS,Los Angeles Gladiators,Soldier: 76
965,38971,Circuit royal,payload,ANS,Los Angeles Gladiators,Widowmaker
1000,38971,Circuit royal,payload,SPACE,Los Angeles Gladiators,D.Va
1019,38971,Circuit royal,payload,SPACE,Los Angeles Gladiators,Sigma
1041,38971,Circuit royal,payload,SPACE,Los Angeles Gladiators,Zarya
1070,38971,Circuit royal,payload,kevster,Los Angeles Gladiators,Tracer
1107,38971,Circuit royal,payload,shu,Los Angeles Gladiators,Baptiste
1128,38971,Circuit royal,payload,shu,Los Angeles Gladiators,Lucio
1151,38971,Circuit royal,payload,skewed,Los Angeles Gladiators,Lucio
1159,38971,Circuit royal,payload,skewed,Los Angeles Gladiators,Zenyatta
1190,38971,Circuit royal,payload,Flora,New York Excelsior,Reaper
1205,38971,Circuit royal,payload,Flora,New York Excelsior,Tracer
1223,38971,Circuit royal,payload,Flora,New York Excelsior,Widowmaker
1263,38971,Circuit royal,payload,GangNamJin,New York Excelsior,Lucio
1308,38971,Circuit royal,payload,Kellan,New York Excelsior,Doomfist
1325,38971,Circuit royal,payload,Kellan,New York Excelsior,Winston
1330,38971,Circuit royal,payload,Kellan,New York Excelsior,Zarya
1370,38971,Circuit royal,payload,Myunb0ng,New York Excelsior,Ana
1411,38971,Circuit royal,payload,Yaki,New York Excelsior,Echo
1451,38971,New Queen Street,push,FunnyAstro,Los Angeles Gladiators,Lucio
1492,38971,New Queen Street,push,Patiphan,Los Angeles Gladiators,Genji
1516,38971,New Queen Street,push,Patiphan,Los Angeles Gladiators,Tracer
1547,38971,New Queen Street,push,Reiner,Los Angeles Gladiators,Winston
1586,38971,New Queen Street,push,kevster,Los Angeles Gladiators,Soldier: 76
1630,38971,New Queen Street,push,shu,Los Angeles Gladiators,Ana
1671,38971,New Queen Street,push,Flora,New York Excelsior,Soldier: 76
1690,38971,New Queen Street,push,Flora,New York Excelsior,Tracer
1728,38971,New Queen Street,push,GangNamJin,New York Excelsior,Lucio
1761,38971,New Queen Street,push,Kellan,New York Excelsior,Winston
1805,38971,New Queen Street,push,Myunb0ng,New York Excelsior,Ana
1837,38971,New Queen Street,push,Yaki,New York Excelsior,Echo
1870,38972,Ilios,control,Coluge,San Francisco Shock,Winston
1914,38972,Ilios,control,FiNN,San Francisco Shock,Ana
1936,38972,Ilios,control,FiNN,San Francisco Shock,Moira
1975,38972,Ilios,control,Proper,San Francisco Shock,Reaper
1995,38972,Ilios,control,Proper,San Francisco Shock,Tracer
2029,38972,Ilios,control,Viol2t,San Francisco Shock,Lucio
2062,38972,Ilios,control,s9mm,San Francisco Shock,Genji
2097,38972,Ilios,control,Glister,Vegas Eternal,Reaper
2102,38972,Ilios,control,Glister,Vegas Eternal,Soldier: 76
2124,38972,Ilios,control,Glister,Vegas Eternal,Symmetra
2131,38972,Ilios,control,Glister,Vegas Eternal,Tracer
2144,38972,Ilios,control,Glister,Vegas Eternal,Widowmaker
2173,38972,Ilios,control,Kaan,Vegas Eternal,Ana
2210,38972,Ilios,control,Naga,Vegas Eternal,Genji
2238,38972,Ilios,control,Vestola,Vegas Eternal,D.Va
2258,38972,Ilios,control,Vestola,Vegas Eternal,Doomfist
2260,38972,Ilios,control,Vestola,Vegas Eternal,Zarya
2297,38972,Ilios,control,dridro,Vegas Eternal,Lucio
2336,38972,King's Row,hybrid,Coluge,San Francisco Shock,Winston
2383,38972,King's Row,hybrid,FiNN,San Francisco Shock,Ana
2423,38972,King's Row,hybrid,Proper,San Francisco Shock,Soldier: 76
2447,38972,King's Row,hybrid,Proper,San Francisco Shock,Widowmaker
2470,38972,King's Row,hybrid,Viol2t,San Francisco Shock,Lucio
2508,38972,King's Row,hybrid,s9mm,San Francisco Shock,Genji
2548,38972,King's Row,hybrid,Daan,Vegas Eternal,Winston
2583,38972,King's Row,hybrid,Glister,Vegas Eternal,Pharah
2585,38972,King's Row,hybrid,Glister,Vegas Eternal,Soldier: 76
2623,38972,King's Row,hybrid,Kaan,Vegas Eternal,Ana
2662,38972,King's Row,hybrid,Naga,Vegas Eternal,Genji
2693,38972,King's Row,hybrid,dridro,Vegas Eternal,Lucio
2732,38972,Dorado,payload,Coluge,San Francisco Shock,Winston
2768,38972,Dorado,payload,FiNN,San Francisco Shock,Ana
2805,38972,Dorado,payload,FiNN,San Francisco Shock,Moira
2825,38972,Dorado,payload,Kilo,San Francisco Shock,Reaper
2841,38972,Dorado,payload,Kilo,San Francisco Shock,Soldier: 76
2863,38972,Dorado,payload,Kilo,San Francisco Shock,Widowmaker
2903,38972,Dorado,payload,Proper,San Francisco Shock,Genji
2923,38972,Dorado,payload,Proper,San Francisco Shock,Symmetra
2930,38972,Dorado,payload,Proper,San Francisco Shock,Tracer
2944,38972,Dorado,payload,Viol2t,San Francisco Shock,Brigitte
2962,38972,Dorado,payload,Viol2t,San Francisco Shock,Lucio
2995,38972,Dorado,payload,Daan,Vegas Eternal,Winston
3039,38972,Dorado,payload,Glister,Vegas Eternal,Soldier: 76
3060,38972,Dorado,payload,Glister,Vegas Eternal,Sombra
3089,38972,Dorado,payload,Kaan,Vegas Eternal,Ana
3129,38972,Dorado,payload,Naga,Vegas Eternal,Genji
3150,38972,Dorado,payload,Naga,Vegas Eternal,Reaper
3183,38972,Dorado,payload,dridro,Vegas Eternal,Lucio
3226,38973,Lijiang Tower,control,Hawk,Atlanta Reign,Doomfist
3262,38973,Lijiang Tower,control,Kai,Atlanta Reign,Reaper
3286,38973,Lijiang Tower,control,Kai,Atlanta Reign,Soldier: 76
3306,38973,Lijiang Tower,control,Kai,Atlanta Reign,Symmetra
3328,38973,Lijiang Tower,control,Ojee,Atlanta Reign,Lucio
3370,38973,Lijiang Tower,control,UltraViolet,Atlanta Reign,Ana
3412,38973,Lijiang Tower,control,nero,Atlanta Reign,Genji
3431,38973,Lijiang Tower,control,nero,Atlanta Reign,Tracer
3460,38973,Lijiang Tower,control,Anamo,Florida Mayhem,Lucio
3501,38973,Lijiang Tower,control,Checkmate,Florida Mayhem,Genji
3518,38973,Lijiang Tower,control,Checkmate,Florida Mayhem,Soldier: 76
3537,38973,Lijiang Tower,control,Hydron,Florida Mayhem,Reaper
3555,38973,Lijiang Tower,control,Hydron,Florida Mayhem,Soldier: 76
3587,38973,Lijiang Tower,control,SirMajed,Florida Mayhem,Ana
3632,38973,Lijiang Tower,control,Someone,Florida Mayhem,Winston
3677,38973,Eichenwalde,hybrid,Hawk,Atlanta Reign,Doomfist
3709,38973,Eichenwalde,hybrid,Kai,Atlanta Reign,Reaper
3728,38973,Eichenwalde,hybrid,Kai,Atlanta Reign,Soldier: 76
3766,38973,Eichenwalde,hybrid,Ojee,Atlanta Reign,Lucio
3797,38973,Eichenwalde,hybrid,Ojee,Atlanta Reign,Mercy
3818,38973,Eichenwalde,hybrid,UltraViolet,Atlanta Reign,Ana
3868,38973,Eichenwalde,hybrid,nero,Atlanta Reign,Genji
