player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Ashe,2,12
ANS,Los Angeles Gladiators,Cassidy,1,12
ANS,Los Angeles Gladiators,Soldier: 76,1,12
ANS,Los Angeles Gladiators,Symmetra,2,12
ANS,Los Angeles Gladiators,Widowmaker,6,12
AlphaYi,Hangzhou Spark,Echo,4,32
AlphaYi,Hangzhou Spark,Genji,5,32
AlphaYi,Hangzhou Spark,Hanzo,1,32
AlphaYi,Hangzhou Spark,Symmetra,4,32
AlphaYi,Hangzhou Spark,Tracer,14,32
AlphaYi,Hangzhou Spark,Widowmaker,4,32
Backbone,London Spitfire,Genji,1,10
Backbone,London Spitfire,Mei,5,10
Backbone,London Spitfire,Sombra,1,10
Backbone,London Spitfire,Tracer,3,10
Checkmate,Florida Mayhem,Echo,1,28
Checkmate,Florida Mayhem,Genji,6,28
Checkmate,Florida Mayhem,Mei,4,28
Checkmate,Florida Mayhem,Pharah,1,28
Checkmate,Florida Mayhem,Soldier: 76,1,28
Checkmate,Florida Mayhem,Symmetra,6,28
Checkmate,Florida Mayhem,Tracer,9,28
Edison,Dallas Fuel,Reaper,2,3
Edison,Dallas Fuel,Tracer,1,3
Finale,Toronto Defiant,Genji,1,12
Finale,Toronto Defiant,Symmetra,3,12
Finale,Toronto Defiant,Tracer,8,12
Fits,Seoul Dynasty,Ashe,2,4
Fits,Seoul Dynasty,Sojourn,1,4
Fits,Seoul Dynasty,Widowmaker,1,4
Fleta,Shanghai Dragons,Echo,4,25
Fleta,Shanghai Dragons,Genji,2,25
Fleta,Shanghai Dragons,Hanzo,2,25
Fleta,Shanghai Dragons,Mei,1,25
Fleta,Shanghai Dragons,Sojourn,3,25
Fleta,Shanghai Dragons,Symmetra,4,25
Fleta,Shanghai Dragons,Tracer,9,25
Heesu,Toronto Defiant,Ashe,8,15
Heesu,Toronto Defiant,Sojourn,3,15
Heesu,Toronto Defiant,Widowmaker,4,15
Hydron,Florida Mayhem,Sojourn,1,4
Hydron,Florida Mayhem,Sombra,1,4
Hydron,Florida Mayhem,Tracer,2,4
Kai,Atlanta Reign,Ashe,1,34
Kai,Atlanta Reign,Hanzo,3,34
Kai,Atlanta Reign,Sojourn,22,34
Kai,Atlanta Reign,Tracer,1,34
Kai,Atlanta Reign,Widowmaker,7,34
Kilo,San Francisco Shock,Ashe,4,16
Kilo,San Francisco Shock,Hanzo,1,16
Kilo,San Francisco Shock,Junkrat,1,16
Kilo,San Francisco Shock,Reaper,1,16
Kilo,San Francisco Shock,Sojourn,3,16
Kilo,San Francisco Shock,Tracer,1,16
Kilo,San Francisco Shock,Widowmaker,5,16
LIP,Shanghai Dragons,Ashe,2,22
LIP,Shanghai Dragons,Sojourn,8,22
LIP,Shanghai Dragons,Symmetra,4,22
LIP,Shanghai Dragons,Tracer,3,22
LIP,Shanghai Dragons,Widowmaker,5,22
MER1T,Houston Outlaws,Ashe,7,24
MER1T,Houston Outlaws,Sojourn,16,24
MER1T,Houston Outlaws,Widowmaker,1,24
MN3,Seoul Infernal,Ashe,17,52
MN3,Seoul Infernal,Cassidy,1,52
MN3,Seoul Infernal,Genji,2,52
MN3,Seoul Infernal,Sojourn,14,52
MN3,Seoul Infernal,Soldier: 76,1,52
MN3,Seoul Infernal,Sombra,5,52
