player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Ashe,2,12
ANS,Los Angeles Gladiators,Cassidy,1,12
ANS,Los Angeles Gladiators,Soldier: 76,1,12
ANS,Los Angeles Gladiators,Symmetra,2,12
ANS,Los Angeles Gladiators,Widowmaker,6,12
Admiral,London Spitfire,Brigitte,1,7
Admiral,London Spitfire,Lucio,6,7
AimGod,Seoul Infernal,Ana,6,30
AimGod,Seoul Infernal,Baptiste,2,30
AimGod,Seoul Infernal,Zenyatta,22,30
AlphaYi,Hangzhou Spark,Echo,4,32
AlphaYi,Hangzhou Spark,Genji,5,32
AlphaYi,Hangzhou Spark,Hanzo,1,32
AlphaYi,Hangzhou Spark,Symmetra,4,32
AlphaYi,Hangzhou Spark,Tracer,14,32
AlphaYi,Hangzhou Spark,Widowmaker,4,32
Anamo,Florida Mayhem,Brigitte,5,13
Anamo,Florida Mayhem,Lucio,7,13
Anamo,Florida Mayhem,Mercy,1,13
BEBE,Shanghai Dragons,Ana,2,6
BEBE,Shanghai Dragons,Baptiste,3,6
BEBE,Shanghai Dragons,Lucio,1,6
BERNAR,Hangzhou Spark,D.Va,1,24
BERNAR,Hangzhou Spark,Doomfist,6,24
BERNAR,Hangzhou Spark,Sigma,5,24
BERNAR,Hangzhou Spark,Wrecking Ball,9,24
BERNAR,Hangzhou Spark,Zarya,3,24
Backbone,London Spitfire,Genji,1,18
Backbone,London Spitfire,Lucio,1,18
Backbone,London Spitfire,Mei,5,18
Backbone,London Spitfire,Moira,1,18
Backbone,London Spitfire,Sombra,1,18
Backbone,London Spitfire,Tracer,3,18
Backbone,London Spitfire,Zenyatta,6,18
Belosrea,Seoul Infernal,Doomfist,4,25
Belosrea,Seoul Infernal,Reinhardt,1,25
Belosrea,Seoul Infernal,Sigma,1,25
Belosrea,Seoul Infernal,Winston,1,25
Belosrea,Seoul Infernal,Wrecking Ball,17,25
Belosrea,Seoul Infernal,Zarya,1,25
CH0R0NG,Toronto Defiant,Brigitte,2,12
CH0R0NG,Toronto Defiant,Lucio,3,12
CH0R0NG,Toronto Defiant,Moira,1,12
CH0R0NG,Toronto Defiant,Zenyatta,6,12
Checkmate,Florida Mayhem,Echo,1,28
Checkmate,Florida Mayhem,Genji,6,28
Checkmate,Florida Mayhem,Mei,4,28
Checkmate,Florida Mayhem,Pharah,1,28
Checkmate,Florida Mayhem,Soldier: 76,1,28
Checkmate,Florida Mayhem,Symmetra,6,28
Checkmate,Florida Mayhem,Tracer,9,28
ChiYo,Dallas Fuel,Brigitte,3,11
ChiYo,Dallas Fuel,Lucio,6,11
ChiYo,Dallas Fuel,Zenyatta,2,11
Coluge,San Francisco Shock,D.Va,7,18
Coluge,San Francisco Shock,Doomfist,4,18
Coluge,San Francisco Shock,Roadhog,2,18
Coluge,San Francisco Shock,Sigma,3,18
Coluge,San Francisco Shock,Winston,2,18
Creative,Seoul Dynasty,Ana,6,12
Creative,Seoul Dynasty,Lucio,1,12
Creative,Seoul Dynasty,Moira,1,12
Creative,Seoul Dynasty,Zenyatta,4,12
Danteh,Houston Outlaws,Doomfist,10,10
Edison,Dallas Fuel,Reaper,2,3
Edison,Dallas Fuel,Tracer,1,3
FEARLESS,Dallas Fuel,Doomfist,2,11
FEARLESS,Dallas Fuel,Sigma,1,11
