player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Brigitte,1,7
Admiral,London Spitfire,Lucio,6,7
AimGod,Seoul Infernal,Ana,6,30
AimGod,Seoul Infernal,Baptiste,2,30
AimGod,Seoul Infernal,Zenyatta,22,30
Anamo,Florida Mayhem,Brigitte,5,13
Anamo,Florida Mayhem,Lucio,7,13
Anamo,Florida Mayhem,Mercy,1,13
BEBE,Shanghai Dragons,Ana,2,6
BEBE,Shanghai Dragons,Baptiste,3,6
BEBE,Shanghai Dragons,Lucio,1,6
Backbone,London Spitfire,Lucio,1,8
Backbone,London Spitfire,Moira,1,8
Backbone,London Spitfire,Zenyatta,6,8
CH0R0NG,Toronto Defiant,Brigitte,2,12
CH0R0NG,Toronto Defiant,Lucio,3,12
CH0R0NG,Toronto Defiant,Moira,1,12
CH0R0NG,Toronto Defiant,Zenyatta,6,12
ChiYo,Dallas Fuel,Brigitte,3,11
ChiYo,Dallas Fuel,Lucio,6,11
ChiYo,Dallas Fuel,Zenyatta,2,11
Creative,Seoul Dynasty,Ana,6,12
Creative,Seoul Dynasty,Lucio,1,12
Creative,Seoul Dynasty,Moira,1,12
Creative,Seoul Dynasty,Zenyatta,4,12
FIXA,Seoul Infernal,Ana,9,50
FIXA,Seoul Infernal,Baptiste,10,50
FIXA,Seoul Infernal,Brigitte,18,50
FIXA,Seoul Infernal,Lucio,11,50
FIXA,Seoul Infernal,Mercy,1,50
FIXA,Seoul Infernal,Moira,1,50
FiNN,San Francisco Shock,Ana,7,29
FiNN,San Francisco Shock,Baptiste,1,29
FiNN,San Francisco Shock,Brigitte,1,29
FiNN,San Francisco Shock,Lucio,3,29
FiNN,San Francisco Shock,Moira,2,29
FiNN,San Francisco Shock,Zenyatta,15,29
Fielder,Dallas Fuel,Ana,3,11
Fielder,Dallas Fuel,Baptiste,2,11
Fielder,Dallas Fuel,Moira,3,11
Fielder,Dallas Fuel,Zenyatta,3,11
FunnyAstro,Los Angeles Gladiators,Lucio,9,9
IZaYaKI,Shanghai Dragons,Ana,4,22
IZaYaKI,Shanghai Dragons,Baptiste,1,22
IZaYaKI,Shanghai Dragons,Brigitte,4,22
IZaYaKI,Shanghai Dragons,Lucio,1,22
IZaYaKI,Shanghai Dragons,Moira,1,22
IZaYaKI,Shanghai Dragons,Zenyatta,11,22
Landon,London Spitfire,Ana,6,19
Landon,London Spitfire,Baptiste,8,19
Landon,London Spitfire,Lucio,2,19
Landon,London Spitfire,Moira,2,19
Landon,London Spitfire,Zenyatta,1,19
Lastro,Houston Outlaws,Brigitte,3,28
Lastro,Houston Outlaws,Lucio,9,28
Lastro,Houston Outlaws,Zenyatta,16,28
LeeJaeGon,Shanghai Dragons,Brigitte,8,16
LeeJaeGon,Shanghai Dragons,Lucio,7,16
LeeJaeGon,Shanghai Dragons,Zenyatta,1,16
Ojee,Atlanta Reign,Brigitte,4,39
Ojee,Atlanta Reign,Lucio,17,39
Ojee,Atlanta Reign,Mercy,1,39
Ojee,Atlanta Reign,Zenyatta,17,39
Rupal,Florida Mayhem,Ana,10,22
Rupal,Florida Mayhem,Baptiste,5,22
Rupal,Florida Mayhem,Lucio,2,22
Rupal,Florida Mayhem,Moira,4,22
Rupal,Florida Mayhem,Zenyatta,1,22
SirMajed,Florida Mayhem,Lucio,1,4
SirMajed,Florida Mayhem,Zenyatta,3,4
Superich,Hangzhou Spark,Baptiste,5,31
Superich,Hangzhou Spark,Brigitte,15,31
Superich,Hangzhou Spark,Lucio,8,31
Superich,Hangzhou Spark,Mercy,3,31
Twilight,Toronto Defiant,Ana,8,10
Twilight,Toronto Defiant,Lucio,1,10
Twilight,Toronto Defiant,Zenyatta,1,10
UltraViolet,Atlanta Reign,Ana,20,36
UltraViolet,Atlanta Reign,Baptiste,9,36
UltraViolet,Atlanta Reign,Lucio,3,36
UltraViolet,Atlanta Reign,Moira,4,36
Vindaim,Seoul Dynasty,Baptiste,2,23
Vindaim,Seoul Dynasty,Brigitte,6,23
Vindaim,Seoul Dynasty,Lucio,6,23
Vindaim,Seoul Dynasty,Moira,3,23
Vindaim,Seoul Dynasty,Zenyatta,6,23
Viol2t,San Francisco Shock,Ana,10,34
Viol2t,San Francisco Shock,Baptiste,9,34
Viol2t,San Francisco Shock,Brigitte,6,34
Viol2t,San Francisco Shock,Lucio,4,34
Viol2t,San Francisco Shock,Moira,1,34
Viol2t,San Francisco Shock,Zenyatta,4,34
ir1s,Houston Outlaws,Ana,16,19
ir1s,Houston Outlaws,Baptiste,2,19
ir1s,Houston Outlaws,Lucio,1,19
irony,Hangzhou Spark,Ana,10,27
irony,Hangzhou Spark,Baptiste,2,27
irony,Hangzhou Spark,Lucio,3,27
irony,Hangzhou Spark,Moira,1,27
irony,Hangzhou Spark,Zenyatta,11,27
shu,Los Angeles Gladiators,Ana,23,30
shu,Los Angeles Gladiators,Baptiste,1,30
shu,Los Angeles Gladiators,Lucio,4,30
shu,Los Angeles Gladiators,Moira,1,30
shu,Los Angeles Gladiators,Zenyatta,1,30
skewed,Los Angeles Gladiators,Baptiste,1,22
skewed,Los Angeles Gladiators,Brigitte,3,22
skewed,Los Angeles Gladiators,Lucio,4,22
skewed,Los Angeles Gladiators,Zenyatta,14,22
