player_name,team_name,hero_name,times_played,total_times_played
BERNAR,Hangzhou Spark,Doomfist,6,23
BERNAR,Hangzhou Spark,Sigma,5,23
BERNAR,Hangzhou Spark,Wrecking Ball,9,23
BERNAR,Hangzhou Spark,Zarya,3,23
Belosrea,Seoul Infernal,Doomfist,4,25
Belosrea,Seoul Infernal,Reinhardt,1,25
Belosrea,Seoul Infernal,Sigma,1,25
Belosrea,Seoul Infernal,Winston,1,25
Belosrea,Seoul Infernal,Wrecking Ball,17,25
Belosrea,Seoul Infernal,Zarya,1,25
Coluge,San Francisco Shock,Doomfist,4,11
Coluge,San Francisco Shock,Roadhog,2,11
Coluge,San Francisco Shock,Sigma,3,11
Coluge,San Francisco Shock,Winston,2,11
Danteh,Houston Outlaws,Doomfist,10,10
FEARLESS,Dallas Fuel,Doomfist,2,11
FEARLESS,Dallas Fuel,Sigma,1,11
FEARLESS,Dallas Fuel,Winston,5,11
FEARLESS,Dallas Fuel,Wrecking Ball,3,11
Fate,Shanghai Dragons,Doomfist,5,18
Fate,Shanghai Dragons,Reinhardt,1,18
Fate,Shanghai Dragons,Winston,2,18
Fate,Shanghai Dragons,Wrecking Ball,8,18
Fate,Shanghai Dragons,Zarya,2,18
Fury,Seoul Infernal,Doomfist,3,7
Fury,Seoul Infernal,Sigma,4,7
Guxue,Hangzhou Spark,Doomfist,2,8
Guxue,Hangzhou Spark,Winston,5,8
Guxue,Hangzhou Spark,Wrecking Ball,1,8
HOTBA,Toronto Defiant,Sigma,1,3
HOTBA,Toronto Defiant,Wrecking Ball,1,3
HOTBA,Toronto Defiant,Zarya,1,3
Hadi,London Spitfire,Reinhardt,9,22
Hadi,London Spitfire,Roadhog,1,22
Hadi,London Spitfire,Winston,6,22
Hadi,London Spitfire,Wrecking Ball,6,22
Hanbin,Dallas Fuel,Sigma,2,3
Hanbin,Dallas Fuel,Zarya,1,3
Hawk,Atlanta Reign,Doomfist,16,34
Hawk,Atlanta Reign,Reinhardt,2,34
Hawk,Atlanta Reign,Sigma,7,34
Hawk,Atlanta Reign,Winston,7,34
Hawk,Atlanta Reign,Wrecking Ball,1,34
Hawk,Atlanta Reign,Zarya,1,34
MuZe,Toronto Defiant,Doomfist,4,14
MuZe,Toronto Defiant,Winston,3,14
MuZe,Toronto Defiant,Wrecking Ball,5,14
MuZe,Toronto Defiant,Zarya,2,14
Piggy,Houston Outlaws,Doomfist,1,14
Piggy,Houston Outlaws,Reinhardt,1,14
Piggy,Houston Outlaws,Sigma,5,14
Piggy,Houston Outlaws,Winston,6,14
Piggy,Houston Outlaws,Zarya,1,14
Poko,London Spitfire,Sigma,1,2
Poko,London Spitfire,Wrecking Ball,1,2
Reiner,Los Angeles Gladiators,Doomfist,17,46
Reiner,Los Angeles Gladiators,Orisa,1,46
Reiner,Los Angeles Gladiators,Roadhog,2,46
Reiner,Los Angeles Gladiators,Winston,14,46
Reiner,Los Angeles Gladiators,Wrecking Ball,10,46
Reiner,Los Angeles Gladiators,Zarya,2,46
SPACE,Los Angeles Gladiators,Sigma,1,1
Someone,Florida Mayhem,Doomfist,9,26
Someone,Florida Mayhem,Reinhardt,4,26
Someone,Florida Mayhem,Roadhog,2,26
Someone,Florida Mayhem,Winston,8,26
Someone,Florida Mayhem,Wrecking Ball,2,26
Someone,Florida Mayhem,Zarya,1,26
Void,Shanghai Dragons,Sigma,3,3
mikeyy,San Francisco Shock,Winston,6,12
mikeyy,San Francisco Shock,Wrecking Ball,6,12
smurf,Seoul Dynasty,Doomfist,2,12
smurf,Seoul Dynasty,Sigma,2,12
smurf,Seoul Dynasty,Winston,3,12
smurf,Seoul Dynasty,Wrecking Ball,3,12
smurf,Seoul Dynasty,Zarya,2,12
