player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Ana,3,36
Admiral,London Spitfire,Brigitte,9,36
Admiral,London Spitfire,Lucio,23,36
Admiral,London Spitfire,Moira,1,36
AimGod,Seoul Infernal,Ana,14,66
AimGod,Seoul Infernal,Baptiste,9,66
AimGod,Seoul Infernal,Zenyatta,43,66
Anamo,Florida Mayhem,Ana,2,27
Anamo,Florida Mayhem,Brigitte,8,27
Anamo,Florida Mayhem,Lucio,15,27
Anamo,Florida Mayhem,Mercy,1,27
Anamo,Florida Mayhem,Zenyatta,1,27
Architect,Hangzhou Spark,Ana,1,5
Architect,Hangzhou Spark,Baptiste,1,5
Architect,Hangzhou Spark,Brigitte,2,5
Architect,Hangzhou Spark,Lucio,1,5
Aztac,Vancouver Titans,Ana,3,24
Aztac,Vancouver Titans,Brigitte,1,24
Aztac,Vancouver Titans,Lucio,2,24
Aztac,Vancouver Titans,Moira,2,24
Aztac,Vancouver Titans,Zenyatta,16,24
BEBE,Shanghai Dragons,Ana,6,18
BEBE,Shanghai Dragons,Baptiste,9,18
BEBE,Shanghai Dragons,Lucio,3,18
Backbone,London Spitfire,Brigitte,1,14
Backbone,London Spitfire,Lucio,2,14
Backbone,London Spitfire,Moira,1,14
Backbone,London Spitfire,Zenyatta,10,14
CH0R0NG,Toronto Defiant,Ana,1,53
CH0R0NG,Toronto Defiant,Baptiste,2,53
CH0R0NG,Toronto Defiant,Brigitte,13,53
CH0R0NG,Toronto Defiant,Lucio,17,53
CH0R0NG,Toronto Defiant,Mercy,1,53
CH0R0NG,Toronto Defiant,Moira,4,53
CH0R0NG,Toronto Defiant,Zenyatta,15,53
ChiYo,Dallas Fuel,Ana,2,51
ChiYo,Dallas Fuel,Baptiste,3,51
ChiYo,Dallas Fuel,Brigitte,11,51
ChiYo,Dallas Fuel,Lucio,22,51
ChiYo,Dallas Fuel,Zenyatta,13,51
Creative,Seoul Dynasty,Ana,25,54
Creative,Seoul Dynasty,Baptiste,8,54
Creative,Seoul Dynasty,Lucio,6,54
Creative,Seoul Dynasty,Mercy,1,54
Creative,Seoul Dynasty,Moira,2,54
Creative,Seoul Dynasty,Zenyatta,12,54
Crimzo,Boston Uprising,Ana,3,33
Crimzo,Boston Uprising,Baptiste,6,33
Crimzo,Boston Uprising,Lucio,2,33
Crimzo,Boston Uprising,Moira,2,33
Crimzo,Boston Uprising,Zenyatta,20,33
FIXA,Seoul Infernal,Ana,21,106
FIXA,Seoul Infernal,Baptiste,23,106
FIXA,Seoul Infernal,Brigitte,33,106
FIXA,Seoul Infernal,Lucio,24,106
FIXA,Seoul Infernal,Mercy,2,106
FIXA,Seoul Infernal,Moira,3,106
Faith,Boston Uprising,Ana,1,16
Faith,Boston Uprising,Baptiste,3,16
Faith,Boston Uprising,Brigitte,8,16
Faith,Boston Uprising,Lucio,4,16
Farway1987,Guangzhou Charge,Ana,3,25
Farway1987,Guangzhou Charge,Baptiste,2,25
Farway1987,Guangzhou Charge,Lucio,1,25
Farway1987,Guangzhou Charge,Zenyatta,19,25
FiNN,San Francisco Shock,Ana,16,57
FiNN,San Francisco Shock,Baptiste,2,57
FiNN,San Francisco Shock,Brigitte,1,57
FiNN,San Francisco Shock,Lucio,3,57
FiNN,San Francisco Shock,Mercy,1,57
FiNN,San Francisco Shock,Moira,4,57
FiNN,San Francisco Shock,Zenyatta,30,57
Fielder,Dallas Fuel,Ana,17,49
Fielder,Dallas Fuel,Baptiste,8,49
Fielder,Dallas Fuel,Lucio,1,49
Fielder,Dallas Fuel,Mercy,1,49
Fielder,Dallas Fuel,Moira,12,49
Fielder,Dallas Fuel,Zenyatta,10,49
FunnyAstro,Los Angeles Gladiators,Brigitte,1,15
FunnyAstro,Los Angeles Gladiators,Lucio,14,15
GangNamJin,New York Excelsior,Ana,3,45
GangNamJin,New York Excelsior,Baptiste,9,45
GangNamJin,New York Excelsior,Brigitte,7,45
GangNamJin,New York Excelsior,Lucio,10,45
GangNamJin,New York Excelsior,Mercy,1,45
GangNamJin,New York Excelsior,Moira,1,45
GangNamJin,New York Excelsior,Zenyatta,14,45
IZaYaKI,Shanghai Dragons,Ana,10,49
IZaYaKI,Shanghai Dragons,Baptiste,2,49
IZaYaKI,Shanghai Dragons,Brigitte,4,49
IZaYaKI,Shanghai Dragons,Lucio,5,49
IZaYaKI,Shanghai Dragons,Moira,2,49
IZaYaKI,Shanghai Dragons,Zenyatta,26,49
Kaan,Vegas Eternal,Ana,5,31
Kaan,Vegas Eternal,Mercy,1,31
Kaan,Vegas Eternal,Moira,3,31
Kaan,Vegas Eternal,Zenyatta,22,31
Krillin,Washington Justice,Ana,5,34
Krillin,Washington Justice,Baptiste,1,34
Krillin,Washington Justice,Brigitte,1,34
Krillin,Washington Justice,Lucio,6,34
Krillin,Washington Justice,Zenyatta,21,34
Landon,London Spitfire,Ana,10,53
Landon,London Spitfire,Baptiste,24,53
Landon,London Spitfire,Lucio,4,53
Landon,London Spitfire,Moira,6,53
Landon,London Spitfire,Zenyatta,9,53
Lastro,Houston Outlaws,Baptiste,1,69
Lastro,Houston Outlaws,Brigitte,6,69
Lastro,Houston Outlaws,Lucio,21,69
Lastro,Houston Outlaws,Zenyatta,41,69
LeeJaeGon,Shanghai Dragons,Baptiste,2,43
LeeJaeGon,Shanghai Dragons,Brigitte,19,43
LeeJaeGon,Shanghai Dragons,Lucio,16,43
LeeJaeGon,Shanghai Dragons,Mercy,1,43
LeeJaeGon,Shanghai Dragons,Zenyatta,5,43
Lengsa,Los Angeles Valiant,Baptiste,4,45
Lengsa,Los Angeles Valiant,Brigitte,14,45
Lengsa,Los Angeles Valiant,Lucio,19,45
Lengsa,Los Angeles Valiant,Zenyatta,8,45
MCD,Boston Uprising,Ana,13,23
MCD,Boston Uprising,Lucio,5,23
MCD,Boston Uprising,Moira,1,23
MCD,Boston Uprising,Zenyatta,4,23
Masaa,Vancouver Titans,Brigitte,8,17
Masaa,Vancouver Titans,Lucio,9,17
Mmonk,Chengdu Hunters,Ana,10,35
Mmonk,Chengdu Hunters,Baptiste,1,35
Mmonk,Chengdu Hunters,Lucio,1,35
Mmonk,Chengdu Hunters,Moira,3,35
Mmonk,Chengdu Hunters,Zenyatta,20,35
Molly,Los Angeles Valiant,Ana,11,27
Molly,Los Angeles Valiant,Baptiste,3,27
Molly,Los Angeles Valiant,Lucio,1,27
Molly,Los Angeles Valiant,Zenyatta,12,27
Myunb0ng,New York Excelsior,Ana,15,32
Myunb0ng,New York Excelsior,Baptiste,2,32
Myunb0ng,New York Excelsior,Lucio,1,32
Myunb0ng,New York Excelsior,Moira,2,32
Myunb0ng,New York Excelsior,Zenyatta,12,32
Nisha,Chengdu Hunters,Ana,11,39
Nisha,Chengdu Hunters,Baptiste,2,39
Nisha,Chengdu Hunters,Brigitte,17,39
