player_name,team_name,hero_name,times_played,total_times_played
BERNAR,Hangzhou Spark,Doomfist,10,53
BERNAR,Hangzhou Spark,Sigma,15,53
BERNAR,Hangzhou Spark,Wrecking Ball,22,53
BERNAR,Hangzhou Spark,Zarya,6,53
Belosrea,Seoul Infernal,Doomfist,10,65
Belosrea,Seoul Infernal,Reinhardt,7,65
Belosrea,Seoul Infernal,Roadhog,5,65
Belosrea,Seoul Infernal,Sigma,3,65
Belosrea,Seoul Infernal,Winston,4,65
Belosrea,Seoul Infernal,Wrecking Ball,34,65
Belosrea,Seoul Infernal,Zarya,2,65
Coluge,San Francisco Shock,Doomfist,9,28
Coluge,San Francisco Shock,Roadhog,3,28
Coluge,San Francisco Shock,Sigma,12,28
Coluge,San Francisco Shock,Winston,4,28
Cr0ng,Guangzhou Charge,Doomfist,8,27
Cr0ng,Guangzhou Charge,Sigma,12,27
Cr0ng,Guangzhou Charge,Wrecking Ball,2,27
Cr0ng,Guangzhou Charge,Zarya,5,27
Daan,Vegas Eternal,Doomfist,9,26
Daan,Vegas Eternal,Roadhog,2,26
Daan,Vegas Eternal,Winston,2,26
Daan,Vegas Eternal,Wrecking Ball,12,26
Daan,Vegas Eternal,Zarya,1,26
Daizi,Chengdu Hunters,Sigma,2,3
Daizi,Chengdu Hunters,Wrecking Ball,1,3
Danteh,Houston Outlaws,Doomfist,25,25
FEARLESS,Dallas Fuel,Doomfist,8,38
FEARLESS,Dallas Fuel,Reinhardt,2,38
FEARLESS,Dallas Fuel,Sigma,1,38
FEARLESS,Dallas Fuel,Winston,18,38
FEARLESS,Dallas Fuel,Wrecking Ball,9,38
False,Vancouver Titans,Doomfist,1,12
False,Vancouver Titans,Sigma,7,12
False,Vancouver Titans,Winston,1,12
False,Vancouver Titans,Wrecking Ball,3,12
Fate,Shanghai Dragons,Doomfist,7,38
Fate,Shanghai Dragons,Reinhardt,2,38
Fate,Shanghai Dragons,Winston,7,38
Fate,Shanghai Dragons,Wrecking Ball,19,38
Fate,Shanghai Dragons,Zarya,3,38
Fury,Seoul Infernal,Doomfist,3,16
Fury,Seoul Infernal,Roadhog,1,16
Fury,Seoul Infernal,Sigma,10,16
Fury,Seoul Infernal,Zarya,2,16
GA9A,Chengdu Hunters,Doomfist,1,30
GA9A,Chengdu Hunters,Winston,13,30
GA9A,Chengdu Hunters,Wrecking Ball,15,30
GA9A,Chengdu Hunters,Zarya,1,30
Guxue,Hangzhou Spark,Doomfist,2,9
Guxue,Hangzhou Spark,Winston,6,9
Guxue,Hangzhou Spark,Wrecking Ball,1,9
HOTBA,Toronto Defiant,Doomfist,5,18
HOTBA,Toronto Defiant,Sigma,7,18
HOTBA,Toronto Defiant,Winston,1,18
HOTBA,Toronto Defiant,Wrecking Ball,4,18
HOTBA,Toronto Defiant,Zarya,1,18
Hadi,London Spitfire,Reinhardt,22,46
Hadi,London Spitfire,Roadhog,1,46
Hadi,London Spitfire,Winston,11,46
Hadi,London Spitfire,Wrecking Ball,12,46
Hanbin,Dallas Fuel,Doomfist,3,14
Hanbin,Dallas Fuel,Reinhardt,2,14
Hanbin,Dallas Fuel,Sigma,7,14
Hanbin,Dallas Fuel,Wrecking Ball,1,14
Hanbin,Dallas Fuel,Zarya,1,14
Hawk,Atlanta Reign,Doomfist,38,70
Hawk,Atlanta Reign,Reinhardt,4,70
Hawk,Atlanta Reign,Sigma,15,70
Hawk,Atlanta Reign,Winston,8,70
Hawk,Atlanta Reign,Wrecking Ball,3,70
Hawk,Atlanta Reign,Zarya,2,70
ITSAL,Boston Uprising,Reinhardt,1,6
ITSAL,Boston Uprising,Winston,1,6
ITSAL,Boston Uprising,Wrecking Ball,4,6
Kalios,Washington Justice,Doomfist,9,24
Kalios,Washington Justice,Sigma,14,24
Kalios,Washington Justice,Wrecking Ball,1,24
Kellan,New York Excelsior,Doomfist,12,34
Kellan,New York Excelsior,Orisa,1,34
Kellan,New York Excelsior,Sigma,9,34
Kellan,New York Excelsior,Winston,3,34
Kellan,New York Excelsior,Wrecking Ball,9,34
LIGE,Hangzhou Spark,Sigma,1,1
MAG,Washington Justice,Doomfist,8,16
MAG,Washington Justice,Reinhardt,1,16
MAG,Washington Justice,Winston,2,16
MAG,Washington Justice,Wrecking Ball,5,16
Marve1,Los Angeles Valiant,Doomfist,14,25
Marve1,Los Angeles Valiant,Roadhog,1,25
Marve1,Los Angeles Valiant,Sigma,8,25
Marve1,Los Angeles Valiant,Winston,2,25
MirroR,Vancouver Titans,Doomfist,12,13
MirroR,Vancouver Titans,Zarya,1,13
MuZe,Toronto Defiant,Doomfist,16,40
MuZe,Toronto Defiant,Reinhardt,2,40
MuZe,Toronto Defiant,Winston,12,40
MuZe,Toronto Defiant,Wrecking Ball,8,40
MuZe,Toronto Defiant,Zarya,2,40
Piggy,Houston Outlaws,Doomfist,3,29
Piggy,Houston Outlaws,Reinhardt,3,29
Piggy,Houston Outlaws,Sigma,15,29
Piggy,Houston Outlaws,Winston,7,29
Piggy,Houston Outlaws,Zarya,1,29
Poko,London Spitfire,Roadhog,1,10
Poko,London Spitfire,Sigma,8,10
Poko,London Spitfire,Wrecking Ball,1,10
Reiner,Los Angeles Gladiators,Doomfist,32,78
Reiner,Los Angeles Gladiators,Orisa,3,78
Reiner,Los Angeles Gladiators,Reinhardt,3,78
Reiner,Los Angeles Gladiators,Roadhog,3,78
Reiner,Los Angeles Gladiators,Sigma,2,78
Reiner,Los Angeles Gladiators,Winston,20,78
Reiner,Los Angeles Gladiators,Wrecking Ball,13,78
Reiner,Los Angeles Gladiators,Zarya,2,78
Rio,Guangzhou Charge,Wrecking Ball,2,2
SASIN,Los Angeles Valiant,Doomfist,1,8
SASIN,Los Angeles Valiant,Sigma,1,8
SASIN,Los Angeles Valiant,Zarya,6,8
SPACE,Los Angeles Gladiators,Sigma,2,2
Someone,Florida Mayhem,Doomfist,23,66
Someone,Florida Mayhem,Reinhardt,12,66
Someone,Florida Mayhem,Roadhog,2,66
Someone,Florida Mayhem,Sigma,5,66
Someone,Florida Mayhem,Winston,11,66
Someone,Florida Mayhem,Wrecking Ball,8,66
Someone,Florida Mayhem,Zarya,5,66
Vestola,Vegas Eternal,Doomfist,3,11
Vestola,Vegas Eternal,Sigma,8,11
Void,Shanghai Dragons,Doomfist,5,16
Void,Shanghai Dragons,Sigma,8,16
Void,Shanghai Dragons,Wrecking Ball,2,16
Void,Shanghai Dragons,Zarya,1,16
mikeyy,San Francisco Shock,Doomfist,2,26
mikeyy,San Francisco Shock,Winston,9,26
