player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Ashe,3,12
ANS,Los Angeles Gladiators,Symmetra,3,12
ANS,Los Angeles Gladiators,Widowmaker,6,12
AlphaYi,Hangzhou Spark,Bastion,1,45
AlphaYi,Hangzhou Spark,Echo,6,45
AlphaYi,Hangzhou Spark,Genji,2,45
AlphaYi,Hangzhou Spark,Hanzo,3,45
AlphaYi,Hangzhou Spark,Symmetra,6,45
AlphaYi,Hangzhou Spark,Tracer,17,45
AlphaYi,Hangzhou Spark,Widowmaker,10,45
Aspire,Vancouver Titans,Cassidy,1,42
Aspire,Vancouver Titans,Genji,1,42
Aspire,Vancouver Titans,Hanzo,1,42
Aspire,Vancouver Titans,Junkrat,1,42
Aspire,Vancouver Titans,Sojourn,7,42
Aspire,Vancouver Titans,Symmetra,7,42
Aspire,Vancouver Titans,Tracer,20,42
Aspire,Vancouver Titans,Widowmaker,4,42
Assassin,Washington Justice,Ashe,1,9
Assassin,Washington Justice,Echo,1,9
Assassin,Washington Justice,Mei,1,9
Assassin,Washington Justice,Sombra,3,9
Assassin,Washington Justice,Symmetra,2,9
Assassin,Washington Justice,Widowmaker,1,9
Backbone,London Spitfire,Echo,1,29
Backbone,London Spitfire,Genji,1,29
Backbone,London Spitfire,Mei,13,29
Backbone,London Spitfire,Soldier: 76,2,29
Backbone,London Spitfire,Sombra,4,29
Backbone,London Spitfire,Symmetra,4,29
Backbone,London Spitfire,Tracer,3,29
Backbone,London Spitfire,Widowmaker,1,29
Becky,Los Angeles Valiant,Echo,4,7
Becky,Los Angeles Valiant,Genji,1,7
Becky,Los Angeles Valiant,Tracer,2,7
Checkmate,Florida Mayhem,Echo,4,42
Checkmate,Florida Mayhem,Genji,5,42
Checkmate,Florida Mayhem,Hanzo,2,42
Checkmate,Florida Mayhem,Mei,8,42
Checkmate,Florida Mayhem,Symmetra,6,42
Checkmate,Florida Mayhem,Tracer,17,42
ChoiSehwan,Guangzhou Charge,Cassidy,1,52
ChoiSehwan,Guangzhou Charge,Echo,4,52
ChoiSehwan,Guangzhou Charge,Genji,8,52
ChoiSehwan,Guangzhou Charge,Hanzo,8,52
ChoiSehwan,Guangzhou Charge,Pharah,2,52
ChoiSehwan,Guangzhou Charge,Symmetra,6,52
ChoiSehwan,Guangzhou Charge,Tracer,19,52
ChoiSehwan,Guangzhou Charge,Widowmaker,4,52
Danteh,Houston Outlaws,Tracer,2,2
Decay,Washington Justice,Ashe,2,39
Decay,Washington Justice,Echo,1,39
Decay,Washington Justice,Genji,6,39
Decay,Washington Justice,Hanzo,2,39
Decay,Washington Justice,Sojourn,1,39
Decay,Washington Justice,Symmetra,6,39
Decay,Washington Justice,Tracer,21,39
Develop,Guangzhou Charge,Ashe,7,40
Develop,Guangzhou Charge,Hanzo,1,40
Develop,Guangzhou Charge,Sojourn,16,40
Develop,Guangzhou Charge,Soldier: 76,1,40
Develop,Guangzhou Charge,Sombra,1,40
Develop,Guangzhou Charge,Symmetra,3,40
Develop,Guangzhou Charge,Tracer,3,40
Develop,Guangzhou Charge,Widowmaker,8,40
Diya,Los Angeles Valiant,Ashe,7,34
Diya,Los Angeles Valiant,Cassidy,1,34
Diya,Los Angeles Valiant,Genji,1,34
Diya,Los Angeles Valiant,Hanzo,8,34
Diya,Los Angeles Valiant,Mei,1,34
Diya,Los Angeles Valiant,Soldier: 76,2,34
Diya,Los Angeles Valiant,Tracer,4,34
Diya,Los Angeles Valiant,Widowmaker,10,34
Dove,Vegas Eternal,Ashe,3,59
Dove,Vegas Eternal,Genji,11,59
Dove,Vegas Eternal,Hanzo,2,59
Dove,Vegas Eternal,Reaper,1,59
Dove,Vegas Eternal,Sojourn,14,59
Dove,Vegas Eternal,Symmetra,7,59
Dove,Vegas Eternal,Tracer,17,59
Dove,Vegas Eternal,Widowmaker,4,59
Edison,Dallas Fuel,Genji,1,24
Edison,Dallas Fuel,Hanzo,4,24
Edison,Dallas Fuel,Sojourn,6,24
Edison,Dallas Fuel,Soldier: 76,1,24
Edison,Dallas Fuel,Sombra,2,24
Edison,Dallas Fuel,Symmetra,2,24
Edison,Dallas Fuel,Tracer,6,24
Edison,Dallas Fuel,Widowmaker,2,24
Ezhan,Los Angeles Valiant,Ashe,4,39
Ezhan,Los Angeles Valiant,Cassidy,1,39
Ezhan,Los Angeles Valiant,Genji,1,39
Ezhan,Los Angeles Valiant,Sojourn,14,39
Ezhan,Los Angeles Valiant,Soldier: 76,3,39
Ezhan,Los Angeles Valiant,Symmetra,4,39
Ezhan,Los Angeles Valiant,Tracer,7,39
Ezhan,Los Angeles Valiant,Widowmaker,5,39
Finale,Toronto Defiant,Echo,5,52
Finale,Toronto Defiant,Genji,5,52
Finale,Toronto Defiant,Hanzo,4,52
Finale,Toronto Defiant,Mei,2,52
Finale,Toronto Defiant,Reaper,1,52
Finale,Toronto Defiant,Symmetra,7,52
Finale,Toronto Defiant,Tracer,22,52
Finale,Toronto Defiant,Widowmaker,6,52
Fits,Seoul Dynasty,Ashe,4,21
Fits,Seoul Dynasty,Bastion,1,21
Fits,Seoul Dynasty,Genji,1,21
Fits,Seoul Dynasty,Hanzo,1,21
Fits,Seoul Dynasty,Sojourn,6,21
Fits,Seoul Dynasty,Soldier: 76,1,21
Fits,Seoul Dynasty,Sombra,4,21
Fits,Seoul Dynasty,Widowmaker,3,21
Fleta,Shanghai Dragons,Echo,6,40
Fleta,Shanghai Dragons,Genji,3,40
Fleta,Shanghai Dragons,Hanzo,3,40
Fleta,Shanghai Dragons,Mei,1,40
Fleta,Shanghai Dragons,Sojourn,2,40
Fleta,Shanghai Dragons,Sombra,1,40
Fleta,Shanghai Dragons,Symmetra,6,40
Fleta,Shanghai Dragons,Torbjorn,1,40
Fleta,Shanghai Dragons,Tracer,17,40
Flora,New York Excelsior,Ashe,3,48
Flora,New York Excelsior,Hanzo,3,48
Flora,New York Excelsior,Reaper,1,48
Flora,New York Excelsior,Sojourn,12,48
Flora,New York Excelsior,Soldier: 76,1,48
Flora,New York Excelsior,Sombra,2,48
Flora,New York Excelsior,Symmetra,7,48
Flora,New York Excelsior,Tracer,15,48
Flora,New York Excelsior,Widowmaker,4,48
Happy,Washington Justice,Cassidy,2,42
Happy,Washington Justice,Genji,1,42
Happy,Washington Justice,Hanzo,1,42
Happy,Washington Justice,Sojourn,21,42
Happy,Washington Justice,Sombra,1,42
Happy,Washington Justice,Symmetra,5,42
Happy,Washington Justice,Tracer,2,42
Happy,Washington Justice,Widowmaker,9,42
Heesu,Toronto Defiant,Ashe,3,48
Heesu,Toronto Defiant,Hanzo,8,48
Heesu,Toronto Defiant,Reaper,1,48
Heesu,Toronto Defiant,Sojourn,18,48
Heesu,Toronto Defiant,Soldier: 76,1,48
Heesu,Toronto Defiant,Sombra,7,48
Heesu,Toronto Defiant,Symmetra,1,48
Heesu,Toronto Defiant,Tracer,2,48
Heesu,Toronto Defiant,Widowmaker,7,48
Hydron,Florida Mayhem,Sojourn,11,14
Hydron,Florida Mayhem,Symmetra,1,14
Hydron,Florida Mayhem,Widowmaker,2,14
INNOVATION,Los Angeles Valiant,Sombra,5,21
INNOVATION,Los Angeles Valiant,Symmetra,5,21
INNOVATION,Los Angeles Valiant,Tracer,9,21
INNOVATION,Los Angeles Valiant,Widowmaker,2,21
Jinmu,Chengdu Hunters,Echo,8,50
Jinmu,Chengdu Hunters,Genji,12,50
Jinmu,Chengdu Hunters,Hanzo,2,50
Jinmu,Chengdu Hunters,Junkrat,1,50
Jinmu,Chengdu Hunters,Pharah,2,50
Jinmu,Chengdu Hunters,Sombra,7,50
Jinmu,Chengdu Hunters,Symmetra,4,50
Jinmu,Chengdu Hunters,Tracer,14,50
Kai,Atlanta Reign,Hanzo,1,26
Kai,Atlanta Reign,Sojourn,21,26
Kai,Atlanta Reign,Tracer,1,26
Kai,Atlanta Reign,Widowmaker,3,26
Kilo,San Francisco Shock,Hanzo,4,13
Kilo,San Francisco Shock,Sojourn,3,13
Kilo,San Francisco Shock,Symmetra,1,13
Kilo,San Francisco Shock,Tracer,2,13
Kilo,San Francisco Shock,Widowmaker,3,13
LIP,Shanghai Dragons,Ashe,9,43
LIP,Shanghai Dragons,Cassidy,1,43
LIP,Shanghai Dragons,Junkrat,1,43
LIP,Shanghai Dragons,Sojourn,13,43
LIP,Shanghai Dragons,Sombra,3,43
LIP,Shanghai Dragons,Symmetra,3,43
LIP,Shanghai Dragons,Tracer,1,43
LIP,Shanghai Dragons,Widowmaker,12,43
Leave,Chengdu Hunters,Ashe,3,41
Leave,Chengdu Hunters,Mei,1,41
Leave,Chengdu Hunters,Reaper,1,41
Leave,Chengdu Hunters,Sojourn,17,41
Leave,Chengdu Hunters,Soldier: 76,2,41
Leave,Chengdu Hunters,Symmetra,6,41
Leave,Chengdu Hunters,Tracer,6,41
Leave,Chengdu Hunters,Widowmaker,5,41
MER1T,Houston Outlaws,Ashe,3,30
MER1T,Houston Outlaws,Hanzo,2,30
MER1T,Houston Outlaws,Sojourn,23,30
MER1T,Houston Outlaws,Widowmaker,2,30
MN3,Seoul Infernal,Ashe,13,47
MN3,Seoul Infernal,Cassidy,2,47
MN3,Seoul Infernal,Genji,4,47
MN3,Seoul Infernal,Hanzo,1,47
MN3,Seoul Infernal,Reaper,1,47
MN3,Seoul Infernal,Sojourn,10,47
MN3,Seoul Infernal,Soldier: 76,1,47
MN3,Seoul Infernal,Sombra,2,47
MN3,Seoul Infernal,Symmetra,2,47
MN3,Seoul Infernal,Tracer,3,47
MN3,Seoul Infernal,Widowmaker,8,47
MirroR,Vancouver Titans,Echo,1,12
MirroR,Vancouver Titans,Genji,4,12
MirroR,Vancouver Titans,Hanzo,1,12
MirroR,Vancouver Titans,Sombra,1,12
MirroR,Vancouver Titans,Symmetra,1,12
MirroR,Vancouver Titans,Tracer,4,12
PELICAN,Houston Outlaws,Echo,6,46
PELICAN,Houston Outlaws,Genji,17,46
PELICAN,Houston Outlaws,Mei,2,46
PELICAN,Houston Outlaws,Symmetra,7,46
PELICAN,Houston Outlaws,Tracer,14,46
Patiphan,Los Angeles Gladiators,Cassidy,1,26
Patiphan,Los Angeles Gladiators,Genji,1,26
Patiphan,Los Angeles Gladiators,Hanzo,2,26
Patiphan,Los Angeles Gladiators,Mei,3,26
Patiphan,Los Angeles Gladiators,Pharah,1,26
Patiphan,Los Angeles Gladiators,Sojourn,13,26
Patiphan,Los Angeles Gladiators,Soldier: 76,1,26
Patiphan,Los Angeles Gladiators,Symmetra,1,26
Patiphan,Los Angeles Gladiators,Tracer,2,26
Patiphan,Los Angeles Gladiators,Widowmaker,1,26
Pineapple,Hangzhou Spark,Hanzo,1,2
Pineapple,Hangzhou Spark,Tracer,1,2
Profit,Seoul Dynasty,Cassidy,1,47
Profit,Seoul Dynasty,Echo,5,47
Profit,Seoul Dynasty,Genji,3,47
Profit,Seoul Dynasty,Hanzo,7,47
Profit,Seoul Dynasty,Mei,2,47
Profit,Seoul Dynasty,Pharah,2,47
Profit,Seoul Dynasty,Symmetra,7,47
