player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Ashe,3,12
ANS,Los Angeles Gladiators,Symmetra,3,12
ANS,Los Angeles Gladiators,Widowmaker,6,12
Admiral,London Spitfire,Ana,3,29
Admiral,London Spitfire,Brigitte,8,29
Admiral,London Spitfire,Lucio,17,29
Admiral,London Spitfire,Moira,1,29
AimGod,Seoul Infernal,Ana,8,36
AimGod,Seoul Infernal,Baptiste,7,36
AimGod,Seoul Infernal,Zenyatta,21,36
AlphaYi,Hangzhou Spark,Bastion,1,45
AlphaYi,Hangzhou Spark,Echo,6,45
AlphaYi,Hangzhou Spark,Genji,2,45
AlphaYi,Hangzhou Spark,Hanzo,3,45
AlphaYi,Hangzhou Spark,Symmetra,6,45
AlphaYi,Hangzhou Spark,Tracer,17,45
AlphaYi,Hangzhou Spark,Widowmaker,10,45
Anamo,Florida Mayhem,Ana,2,14
Anamo,Florida Mayhem,Brigitte,3,14
Anamo,Florida Mayhem,Lucio,8,14
Anamo,Florida Mayhem,Zenyatta,1,14
Architect,Hangzhou Spark,Ana,1,5
Architect,Hangzhou Spark,Baptiste,1,5
Architect,Hangzhou Spark,Brigitte,2,5
Architect,Hangzhou Spark,Lucio,1,5
Aspire,Vancouver Titans,Cassidy,1,42
Aspire,Vancouver Titans,Genji,1,42
Aspire,Vancouver Titans,Hanzo,1,42
Aspire,Vancouver Titans,Junkrat,1,42
Aspire,Vancouver Titans,Sojourn,7,42
Aspire,Vancouver Titans,Symmetra,7,42
Aspire,Vancouver Titans,Tracer,20,42
Aspire,Vancouver Titans,Widowmaker,4,42
Assassin,Washington Justice,Ashe,1,9
Assassin,Washington Justice,Echo,1,9
Assassin,Washington Justice,Mei,1,9
Assassin,Washington Justice,Sombra,3,9
Assassin,Washington Justice,Symmetra,2,9
Assassin,Washington Justice,Widowmaker,1,9
Aztac,Vancouver Titans,Ana,3,24
Aztac,Vancouver Titans,Brigitte,1,24
Aztac,Vancouver Titans,Lucio,2,24
Aztac,Vancouver Titans,Moira,2,24
Aztac,Vancouver Titans,Zenyatta,16,24
BEBE,Shanghai Dragons,Ana,4,12
BEBE,Shanghai Dragons,Baptiste,6,12
BEBE,Shanghai Dragons,Lucio,2,12
BERNAR,Hangzhou Spark,D.Va,1,31
BERNAR,Hangzhou Spark,Doomfist,4,31
BERNAR,Hangzhou Spark,Sigma,10,31
BERNAR,Hangzhou Spark,Wrecking Ball,13,31
BERNAR,Hangzhou Spark,Zarya,3,31
Backbone,London Spitfire,Brigitte,1,35
Backbone,London Spitfire,Echo,1,35
Backbone,London Spitfire,Genji,1,35
Backbone,London Spitfire,Lucio,1,35
Backbone,London Spitfire,Mei,13,35
Backbone,London Spitfire,Soldier: 76,2,35
Backbone,London Spitfire,Sombra,4,35
Backbone,London Spitfire,Symmetra,4,35
Backbone,London Spitfire,Tracer,3,35
Backbone,London Spitfire,Widowmaker,1,35
Backbone,London Spitfire,Zenyatta,4,35
Becky,Los Angeles Valiant,Echo,4,7
Becky,Los Angeles Valiant,Genji,1,7
Becky,Los Angeles Valiant,Tracer,2,7
Belosrea,Seoul Infernal,D.Va,1,41
Belosrea,Seoul Infernal,Doomfist,6,41
Belosrea,Seoul Infernal,Reinhardt,6,41
Belosrea,Seoul Infernal,Roadhog,5,41
Belosrea,Seoul Infernal,Sigma,2,41
Belosrea,Seoul Infernal,Winston,3,41
Belosrea,Seoul Infernal,Wrecking Ball,17,41
Belosrea,Seoul Infernal,Zarya,1,41
CH0R0NG,Toronto Defiant,Ana,1,41
CH0R0NG,Toronto Defiant,Baptiste,2,41
CH0R0NG,Toronto Defiant,Brigitte,11,41
CH0R0NG,Toronto Defiant,Lucio,14,41
CH0R0NG,Toronto Defiant,Mercy,1,41
CH0R0NG,Toronto Defiant,Moira,3,41
CH0R0NG,Toronto Defiant,Zenyatta,9,41
Checkmate,Florida Mayhem,Echo,4,42
Checkmate,Florida Mayhem,Genji,5,42
Checkmate,Florida Mayhem,Hanzo,2,42
Checkmate,Florida Mayhem,Mei,8,42
Checkmate,Florida Mayhem,Symmetra,6,42
Checkmate,Florida Mayhem,Tracer,17,42
ChiYo,Dallas Fuel,Ana,2,40
ChiYo,Dallas Fuel,Baptiste,3,40
ChiYo,Dallas Fuel,Brigitte,8,40
ChiYo,Dallas Fuel,Lucio,16,40
ChiYo,Dallas Fuel,Zenyatta,11,40
ChoiSehwan,Guangzhou Charge,Cassidy,1,52
ChoiSehwan,Guangzhou Charge,Echo,4,52
ChoiSehwan,Guangzhou Charge,Genji,8,52
ChoiSehwan,Guangzhou Charge,Hanzo,8,52
ChoiSehwan,Guangzhou Charge,Pharah,2,52
ChoiSehwan,Guangzhou Charge,Symmetra,6,52
ChoiSehwan,Guangzhou Charge,Tracer,19,52
ChoiSehwan,Guangzhou Charge,Widowmaker,4,52
Coluge,San Francisco Shock,D.Va,1,18
Coluge,San Francisco Shock,Doomfist,5,18
Coluge,San Francisco Shock,Roadhog,1,18
Coluge,San Francisco Shock,Sigma,9,18
Coluge,San Francisco Shock,Winston,2,18
Cr0ng,Guangzhou Charge,D.Va,1,28
Cr0ng,Guangzhou Charge,Doomfist,8,28
Cr0ng,Guangzhou Charge,Sigma,12,28
Cr0ng,Guangzhou Charge,Wrecking Ball,2,28
Cr0ng,Guangzhou Charge,Zarya,5,28
Creative,Seoul Dynasty,Ana,19,42
Creative,Seoul Dynasty,Baptiste,8,42
Creative,Seoul Dynasty,Lucio,5,42
Creative,Seoul Dynasty,Mercy,1,42
Creative,Seoul Dynasty,Moira,1,42
Creative,Seoul Dynasty,Zenyatta,8,42
Crimzo,Boston Uprising,Ana,3,33
Crimzo,Boston Uprising,Baptiste,6,33
Crimzo,Boston Uprising,Lucio,2,33
Crimzo,Boston Uprising,Moira,2,33
Crimzo,Boston Uprising,Zenyatta,20,33
Daan,Vegas Eternal,Doomfist,9,26
Daan,Vegas Eternal,Roadhog,2,26
Daan,Vegas Eternal,Winston,2,26
Daan,Vegas Eternal,Wrecking Ball,12,26
Daan,Vegas Eternal,Zarya,1,26
Daizi,Chengdu Hunters,Sigma,2,3
Daizi,Chengdu Hunters,Wrecking Ball,1,3
Danteh,Houston Outlaws,Doomfist,15,17
Danteh,Houston Outlaws,Tracer,2,17
Decay,Washington Justice,Ashe,2,39
Decay,Washington Justice,Echo,1,39
Decay,Washington Justice,Genji,6,39
Decay,Washington Justice,Hanzo,2,39
Decay,Washington Justice,Sojourn,1,39
Decay,Washington Justice,Symmetra,6,39
Decay,Washington Justice,Tracer,21,39
Develop,Guangzhou Charge,Ashe,7,40
Develop,Guangzhou Charge,Hanzo,1,40
Develop,Guangzhou Charge,Sojourn,16,40
Develop,Guangzhou Charge,Soldier: 76,1,40
Develop,Guangzhou Charge,Sombra,1,40
Develop,Guangzhou Charge,Symmetra,3,40
Develop,Guangzhou Charge,Tracer,3,40
Develop,Guangzhou Charge,Widowmaker,8,40
Diya,Los Angeles Valiant,Ashe,7,34
Diya,Los Angeles Valiant,Cassidy,1,34
Diya,Los Angeles Valiant,Genji,1,34
Diya,Los Angeles Valiant,Hanzo,8,34
Diya,Los Angeles Valiant,Mei,1,34
Diya,Los Angeles Valiant,Soldier: 76,2,34
Diya,Los Angeles Valiant,Tracer,4,34
Diya,Los Angeles Valiant,Widowmaker,10,34
Dove,Vegas Eternal,Ashe,3,59
Dove,Vegas Eternal,Genji,11,59
Dove,Vegas Eternal,Hanzo,2,59
Dove,Vegas Eternal,Reaper,1,59
Dove,Vegas Eternal,Sojourn,14,59
Dove,Vegas Eternal,Symmetra,7,59
Dove,Vegas Eternal,Tracer,17,59
Dove,Vegas Eternal,Widowmaker,4,59
Edison,Dallas Fuel,Genji,1,24
Edison,Dallas Fuel,Hanzo,4,24
Edison,Dallas Fuel,Sojourn,6,24
Edison,Dallas Fuel,Soldier: 76,1,24
Edison,Dallas Fuel,Sombra,2,24
Edison,Dallas Fuel,Symmetra,2,24
Edison,Dallas Fuel,Tracer,6,24
Edison,Dallas Fuel,Widowmaker,2,24
Ezhan,Los Angeles Valiant,Ashe,4,39
Ezhan,Los Angeles Valiant,Cassidy,1,39
Ezhan,Los Angeles Valiant,Genji,1,39
Ezhan,Los Angeles Valiant,Sojourn,14,39
Ezhan,Los Angeles Valiant,Soldier: 76,3,39
Ezhan,Los Angeles Valiant,Symmetra,4,39
Ezhan,Los Angeles Valiant,Tracer,7,39
Ezhan,Los Angeles Valiant,Widowmaker,5,39
FEARLESS,Dallas Fuel,Doomfist,6,27
FEARLESS,Dallas Fuel,Reinhardt,2,27
FEARLESS,Dallas Fuel,Winston,13,27
FEARLESS,Dallas Fuel,Wrecking Ball,6,27
FIXA,Seoul Infernal,Ana,12,56
FIXA,Seoul Infernal,Baptiste,13,56
FIXA,Seoul Infernal,Brigitte,15,56
FIXA,Seoul Infernal,Lucio,13,56
FIXA,Seoul Infernal,Mercy,1,56
FIXA,Seoul Infernal,Moira,2,56
Faith,Boston Uprising,Ana,1,16
Faith,Boston Uprising,Baptiste,3,16
Faith,Boston Uprising,Brigitte,8,16
Faith,Boston Uprising,Lucio,4,16
False,Vancouver Titans,D.Va,4,16
False,Vancouver Titans,Doomfist,1,16
False,Vancouver Titans,Sigma,7,16
False,Vancouver Titans,Winston,1,16
False,Vancouver Titans,Wrecking Ball,3,16
Farway1987,Guangzhou Charge,Ana,3,25
Farway1987,Guangzhou Charge,Baptiste,2,25
Farway1987,Guangzhou Charge,Lucio,1,25
Farway1987,Guangzhou Charge,Zenyatta,19,25
Fate,Shanghai Dragons,Doomfist,2,20
Fate,Shanghai Dragons,Reinhardt,1,20
Fate,Shanghai Dragons,Winston,5,20
Fate,Shanghai Dragons,Wrecking Ball,11,20
Fate,Shanghai Dragons,Zarya,1,20
FiNN,San Francisco Shock,Ana,9,28
FiNN,San Francisco Shock,Baptiste,1,28
FiNN,San Francisco Shock,Mercy,1,28
FiNN,San Francisco Shock,Moira,2,28
FiNN,San Francisco Shock,Zenyatta,15,28
Fielder,Dallas Fuel,Ana,14,38
Fielder,Dallas Fuel,Baptiste,6,38
Fielder,Dallas Fuel,Lucio,1,38
Fielder,Dallas Fuel,Mercy,1,38
Fielder,Dallas Fuel,Moira,9,38
Fielder,Dallas Fuel,Zenyatta,7,38
Finale,Toronto Defiant,Echo,5,52
Finale,Toronto Defiant,Genji,5,52
Finale,Toronto Defiant,Hanzo,4,52
Finale,Toronto Defiant,Mei,2,52
Finale,Toronto Defiant,Reaper,1,52
Finale,Toronto Defiant,Symmetra,7,52
Finale,Toronto Defiant,Tracer,22,52
Finale,Toronto Defiant,Widowmaker,6,52
Fits,Seoul Dynasty,Ashe,4,21
Fits,Seoul Dynasty,Bastion,1,21
Fits,Seoul Dynasty,Genji,1,21
Fits,Seoul Dynasty,Hanzo,1,21
Fits,Seoul Dynasty,Sojourn,6,21
Fits,Seoul Dynasty,Soldier: 76,1,21
Fits,Seoul Dynasty,Sombra,4,21
Fits,Seoul Dynasty,Widowmaker,3,21
Fleta,Shanghai Dragons,Echo,6,40
