player_name,team_name,hero_name,times_played,total_times_played
Admiral,London Spitfire,Ana,3,29
Admiral,London Spitfire,Brigitte,8,29
Admiral,London Spitfire,Lucio,17,29
Admiral,London Spitfire,Moira,1,29
AimGod,Seoul Infernal,Ana,8,36
AimGod,Seoul Infernal,Baptiste,7,36
AimGod,Seoul Infernal,Zenyatta,21,36
Anamo,Florida Mayhem,Ana,2,14
Anamo,Florida Mayhem,Brigitte,3,14
Anamo,Florida Mayhem,Lucio,8,14
Anamo,Florida Mayhem,Zenyatta,1,14
Architect,Hangzhou Spark,Ana,1,5
Architect,Hangzhou Spark,Baptiste,1,5
Architect,Hangzhou Spark,Brigitte,2,5
Architect,Hangzhou Spark,Lucio,1,5
Aztac,Vancouver Titans,Ana,3,24
Aztac,Vancouver Titans,Brigitte,1,24
Aztac,Vancouver Titans,Lucio,2,24
Aztac,Vancouver Titans,Moira,2,24
Aztac,Vancouver Titans,Zenyatta,16,24
BEBE,Shanghai Dragons,Ana,4,12
BEBE,Shanghai Dragons,Baptiste,6,12
BEBE,Shanghai Dragons,Lucio,2,12
Backbone,London Spitfire,Brigitte,1,6
Backbone,London Spitfire,Lucio,1,6
Backbone,London Spitfire,Zenyatta,4,6
CH0R0NG,Toronto Defiant,Ana,1,41
CH0R0NG,Toronto Defiant,Baptiste,2,41
CH0R0NG,Toronto Defiant,Brigitte,11,41
CH0R0NG,Toronto Defiant,Lucio,14,41
CH0R0NG,Toronto Defiant,Mercy,1,41
CH0R0NG,Toronto Defiant,Moira,3,41
CH0R0NG,Toronto Defiant,Zenyatta,9,41
ChiYo,Dallas Fuel,Ana,2,40
ChiYo,Dallas Fuel,Baptiste,3,40
ChiYo,Dallas Fuel,Brigitte,8,40
ChiYo,Dallas Fuel,Lucio,16,40
ChiYo,Dallas Fuel,Zenyatta,11,40
Creative,Seoul Dynasty,Ana,19,42
Creative,Seoul Dynasty,Baptiste,8,42
Creative,Seoul Dynasty,Lucio,5,42
Creative,Seoul Dynasty,Mercy,1,42
Creative,Seoul Dynasty,Moira,1,42
Creative,Seoul Dynasty,Zenyatta,8,42
Crimzo,Boston Uprising,Ana,3,33
Crimzo,Boston Uprising,Baptiste,6,33
Crimzo,Boston Uprising,Lucio,2,33
Crimzo,Boston Uprising,Moira,2,33
Crimzo,Boston Uprising,Zenyatta,20,33
FIXA,Seoul Infernal,Ana,12,56
FIXA,Seoul Infernal,Baptiste,13,56
FIXA,Seoul Infernal,Brigitte,15,56
FIXA,Seoul Infernal,Lucio,13,56
FIXA,Seoul Infernal,Mercy,1,56
FIXA,Seoul Infernal,Moira,2,56
Faith,Boston Uprising,Ana,1,16
Faith,Boston Uprising,Baptiste,3,16
Faith,Boston Uprising,Brigitte,8,16
Faith,Boston Uprising,Lucio,4,16
Farway1987,Guangzhou Charge,Ana,3,25
Farway1987,Guangzhou Charge,Baptiste,2,25
Farway1987,Guangzhou Charge,Lucio,1,25
Farway1987,Guangzhou Charge,Zenyatta,19,25
FiNN,San Francisco Shock,Ana,9,28
FiNN,San Francisco Shock,Baptiste,1,28
FiNN,San Francisco Shock,Mercy,1,28
FiNN,San Francisco Shock,Moira,2,28
FiNN,San Francisco Shock,Zenyatta,15,28
Fielder,Dallas Fuel,Ana,14,38
Fielder,Dallas Fuel,Baptiste,6,38
Fielder,Dallas Fuel,Lucio,1,38
Fielder,Dallas Fuel,Mercy,1,38
Fielder,Dallas Fuel,Moira,9,38
Fielder,Dallas Fuel,Zenyatta,7,38
FunnyAstro,Los Angeles Gladiators,Brigitte,1,6
FunnyAstro,Los Angeles Gladiators,Lucio,5,6
GangNamJin,New York Excelsior,Ana,3,45
GangNamJin,New York Excelsior,Baptiste,9,45
GangNamJin,New York Excelsior,Brigitte,7,45
GangNamJin,New York Excelsior,Lucio,10,45
GangNamJin,New York Excelsior,Mercy,1,45
GangNamJin,New York Excelsior,Moira,1,45
GangNamJin,New York Excelsior,Zenyatta,14,45
IZaYaKI,Shanghai Dragons,Ana,6,27
IZaYaKI,Shanghai Dragons,Baptiste,1,27
IZaYaKI,Shanghai Dragons,Lucio,4,27
IZaYaKI,Shanghai Dragons,Moira,1,27
IZaYaKI,Shanghai Dragons,Zenyatta,15,27
Kaan,Vegas Eternal,Ana,5,31
Kaan,Vegas Eternal,Mercy,1,31
Kaan,Vegas Eternal,Moira,3,31
Kaan,Vegas Eternal,Zenyatta,22,31
Krillin,Washington Justice,Ana,5,34
Krillin,Washington Justice,Baptiste,1,34
Krillin,Washington Justice,Brigitte,1,34
Krillin,Washington Justice,Lucio,6,34
Krillin,Washington Justice,Zenyatta,21,34
Landon,London Spitfire,Ana,4,34
Landon,London Spitfire,Baptiste,16,34
Landon,London Spitfire,Lucio,2,34
Landon,London Spitfire,Moira,4,34
Landon,London Spitfire,Zenyatta,8,34
Lastro,Houston Outlaws,Baptiste,1,41
Lastro,Houston Outlaws,Brigitte,3,41
Lastro,Houston Outlaws,Lucio,12,41
Lastro,Houston Outlaws,Zenyatta,25,41
LeeJaeGon,Shanghai Dragons,Baptiste,2,27
LeeJaeGon,Shanghai Dragons,Brigitte,11,27
LeeJaeGon,Shanghai Dragons,Lucio,9,27
LeeJaeGon,Shanghai Dragons,Mercy,1,27
LeeJaeGon,Shanghai Dragons,Zenyatta,4,27
Lengsa,Los Angeles Valiant,Baptiste,4,45
Lengsa,Los Angeles Valiant,Brigitte,14,45
Lengsa,Los Angeles Valiant,Lucio,19,45
Lengsa,Los Angeles Valiant,Zenyatta,8,45
MCD,Boston Uprising,Ana,13,23
MCD,Boston Uprising,Lucio,5,23
MCD,Boston Uprising,Moira,1,23
MCD,Boston Uprising,Zenyatta,4,23
Masaa,Vancouver Titans,Brigitte,8,17
Masaa,Vancouver Titans,Lucio,9,17
Mmonk,Chengdu Hunters,Ana,10,35
Mmonk,Chengdu Hunters,Baptiste,1,35
Mmonk,Chengdu Hunters,Lucio,1,35
Mmonk,Chengdu Hunters,Moira,3,35
Mmonk,Chengdu Hunters,Zenyatta,20,35
Molly,Los Angeles Valiant,Ana,11,27
Molly,Los Angeles Valiant,Baptiste,3,27
Molly,Los Angeles Valiant,Lucio,1,27
Molly,Los Angeles Valiant,Zenyatta,12,27
Myunb0ng,New York Excelsior,Ana,15,32
Myunb0ng,New York Excelsior,Baptiste,2,32
Myunb0ng,New York Excelsior,Lucio,1,32
Myunb0ng,New York Excelsior,Moira,2,32
Myunb0ng,New York Excelsior,Zenyatta,12,32
Nisha,Chengdu Hunters,Ana,11,39
Nisha,Chengdu Hunters,Baptiste,2,39
Nisha,Chengdu Hunters,Brigitte,17,39
Nisha,Chengdu Hunters,Lucio,7,39
Nisha,Chengdu Hunters,Mercy,1,39
Nisha,Chengdu Hunters,Zenyatta,1,39
OPENER,Washington Justice,Ana,2,22
OPENER,Washington Justice,Baptiste,8,22
OPENER,Washington Justice,Brigitte,4,22
OPENER,Washington Justice,Lucio,8,22
Ojee,Atlanta Reign,Ana,5,46
Ojee,Atlanta Reign,Baptiste,11,46
Ojee,Atlanta Reign,Brigitte,11,46
Ojee,Atlanta Reign,Lucio,11,46
Ojee,Atlanta Reign,Mercy,1,46
Ojee,Atlanta Reign,Moira,2,46
Ojee,Atlanta Reign,Zenyatta,5,46
Rupal,Florida Mayhem,Ana,3,20
Rupal,Florida Mayhem,Baptiste,14,20
Rupal,Florida Mayhem,Brigitte,1,20
Rupal,Florida Mayhem,Lucio,1,20
Rupal,Florida Mayhem,Moira,1,20
SirMajed,Florida Mayhem,Ana,1,30
SirMajed,Florida Mayhem,Baptiste,4,30
SirMajed,Florida Mayhem,Brigitte,2,30
SirMajed,Florida Mayhem,Lucio,7,30
SirMajed,Florida Mayhem,Moira,2,30
SirMajed,Florida Mayhem,Zenyatta,14,30
Skairipa,Vancouver Titans,Ana,8,22
Skairipa,Vancouver Titans,Baptiste,9,22
Skairipa,Vancouver Titans,Lucio,3,22
Skairipa,Vancouver Titans,Moira,2,22
Superich,Hangzhou Spark,Ana,4,36
Superich,Hangzhou Spark,Baptiste,13,36
Superich,Hangzhou Spark,Brigitte,10,36
Superich,Hangzhou Spark,Lucio,8,36
Superich,Hangzhou Spark,Mercy,1,36
Twilight,Toronto Defiant,Ana,23,41
Twilight,Toronto Defiant,Baptiste,7,41
Twilight,Toronto Defiant,Lucio,1,41
Twilight,Toronto Defiant,Moira,6,41
Twilight,Toronto Defiant,Zenyatta,4,41
UltraViolet,Atlanta Reign,Ana,8,45
UltraViolet,Atlanta Reign,Baptiste,13,45
UltraViolet,Atlanta Reign,Lucio,9,45
UltraViolet,Atlanta Reign,Moira,4,45
UltraViolet,Atlanta Reign,Zenyatta,11,45
Unique,Guangzhou Charge,Ana,10,37
Unique,Guangzhou Charge,Baptiste,11,37
Unique,Guangzhou Charge,Brigitte,7,37
Unique,Guangzhou Charge,Lucio,9,37
Vindaim,Seoul Dynasty,Ana,1,47
Vindaim,Seoul Dynasty,Baptiste,6,47
Vindaim,Seoul Dynasty,Brigitte,15,47
Vindaim,Seoul Dynasty,Lucio,10,47
Vindaim,Seoul Dynasty,Mercy,2,47
Vindaim,Seoul Dynasty,Moira,2,47
Vindaim,Seoul Dynasty,Zenyatta,11,47
Viol2t,San Francisco Shock,Ana,7,34
Viol2t,San Francisco Shock,Baptiste,10,34
Viol2t,San Francisco Shock,Brigitte,4,34
Viol2t,San Francisco Shock,Lucio,4,34
Viol2t,San Francisco Shock,Moira,1,34
Viol2t,San Francisco Shock,Zenyatta,8,34
dridro,Vegas Eternal,Ana,7,46
dridro,Vegas Eternal,Baptiste,8,46
dridro,Vegas Eternal,Brigitte,12,46
dridro,Vegas Eternal,Lucio,16,46
dridro,Vegas Eternal,Mercy,3,46
ir1s,Houston Outlaws,Ana,21,33
ir1s,Houston Outlaws,Baptiste,10,33
ir1s,Houston Outlaws,Lucio,1,33
ir1s,Houston Outlaws,Moira,1,33
irony,Hangzhou Spark,Ana,6,27
irony,Hangzhou Spark,Baptiste,2,27
irony,Hangzhou Spark,Lucio,1,27
irony,Hangzhou Spark,Zenyatta,18,27
shu,Los Angeles Gladiators,Ana,16,31
shu,Los Angeles Gladiators,Baptiste,4,31
shu,Los Angeles Gladiators,Lucio,4,31
shu,Los Angeles Gladiators,Moira,2,31
shu,Los Angeles Gladiators,Zenyatta,5,31
skewed,Los Angeles Gladiators,Ana,1,24
skewed,Los Angeles Gladiators,Baptiste,4,24
skewed,Los Angeles Gladiators,Brigitte,6,24
skewed,Los Angeles Gladiators,Mercy,1,24
skewed,Los Angeles Gladiators,Zenyatta,12,24
vigilante,Washington Justice,Ana,13,22
vigilante,Washington Justice,Baptiste,2,22
vigilante,Washington Justice,Brigitte,1,22
vigilante,Washington Justice,Lucio,2,22
vigilante,Washington Justice,Moira,2,22
vigilante,Washington Justice,Zenyatta,2,22
