player_name,team_name,hero_name,times_played,total_times_played
BERNAR,Hangzhou Spark,Doomfist,4,30
BERNAR,Hangzhou Spark,Sigma,10,30
BERNAR,Hangzhou Spark,Wrecking Ball,13,30
BERNAR,Hangzhou Spark,Zarya,3,30
Belosrea,Seoul Infernal,Doomfist,6,40
Belosrea,Seoul Infernal,Reinhardt,6,40
Belosrea,Seoul Infernal,Roadhog,5,40
Belosrea,Seoul Infernal,Sigma,2,40
Belosrea,Seoul Infernal,Winston,3,40
Belosrea,Seoul Infernal,Wrecking Ball,17,40
Belosrea,Seoul Infernal,Zarya,1,40
Coluge,San Francisco Shock,Doomfist,5,17
Coluge,San Francisco Shock,Roadhog,1,17
Coluge,San Francisco Shock,Sigma,9,17
Coluge,San Francisco Shock,Winston,2,17
Cr0ng,Guangzhou Charge,Doomfist,8,27
Cr0ng,Guangzhou Charge,Sigma,12,27
Cr0ng,Guangzhou Charge,Wrecking Ball,2,27
Cr0ng,Guangzhou Charge,Zarya,5,27
Daan,Vegas Eternal,Doomfist,9,26
Daan,Vegas Eternal,Roadhog,2,26
Daan,Vegas Eternal,Winston,2,26
Daan,Vegas Eternal,Wrecking Ball,12,26
Daan,Vegas Eternal,Zarya,1,26
Daizi,Chengdu Hunters,Sigma,2,3
Daizi,Chengdu Hunters,Wrecking Ball,1,3
Danteh,Houston Outlaws,Doomfist,15,15
FEARLESS,Dallas Fuel,Doomfist,6,27
FEARLESS,Dallas Fuel,Reinhardt,2,27
FEARLESS,Dallas Fuel,Winston,13,27
FEARLESS,Dallas Fuel,Wrecking Ball,6,27
False,Vancouver Titans,Doomfist,1,12
False,Vancouver Titans,Sigma,7,12
False,Vancouver Titans,Winston,1,12
False,Vancouver Titans,Wrecking Ball,3,12
Fate,Shanghai Dragons,Doomfist,2,20
Fate,Shanghai Dragons,Reinhardt,1,20
Fate,Shanghai Dragons,Winston,5,20
Fate,Shanghai Dragons,Wrecking Ball,11,20
Fate,Shanghai Dragons,Zarya,1,20
Fury,Seoul Infernal,Roadhog,1,9
Fury,Seoul Infernal,Sigma,6,9
Fury,Seoul Infernal,Zarya,2,9
GA9A,Chengdu Hunters,Doomfist,1,30
GA9A,Chengdu Hunters,Winston,13,30
GA9A,Chengdu Hunters,Wrecking Ball,15,30
GA9A,Chengdu Hunters,Zarya,1,30
Guxue,Hangzhou Spark,Winston,1,1
HOTBA,Toronto Defiant,Doomfist,5,15
HOTBA,Toronto Defiant,Sigma,6,15
HOTBA,Toronto Defiant,Winston,1,15
HOTBA,Toronto Defiant,Wrecking Ball,3,15
Hadi,London Spitfire,Reinhardt,13,24
Hadi,London Spitfire,Winston,5,24
Hadi,London Spitfire,Wrecking Ball,6,24
Hanbin,Dallas Fuel,Doomfist,3,11
Hanbin,Dallas Fuel,Reinhardt,2,11
Hanbin,Dallas Fuel,Sigma,5,11
Hanbin,Dallas Fuel,Wrecking Ball,1,11
Hawk,Atlanta Reign,Doomfist,22,36
Hawk,Atlanta Reign,Reinhardt,2,36
Hawk,Atlanta Reign,Sigma,8,36
Hawk,Atlanta Reign,Winston,1,36
Hawk,Atlanta Reign,Wrecking Ball,2,36
Hawk,Atlanta Reign,Zarya,1,36
ITSAL,Boston Uprising,Reinhardt,1,6
ITSAL,Boston Uprising,Winston,1,6
ITSAL,Boston Uprising,Wrecking Ball,4,6
Kalios,Washington Justice,Doomfist,9,24
Kalios,Washington Justice,Sigma,14,24
Kalios,Washington Justice,Wrecking Ball,1,24
Kellan,New York Excelsior,Doomfist,12,34
Kellan,New York Excelsior,Orisa,1,34
Kellan,New York Excelsior,Sigma,9,34
