,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
15,39161,Ilios,control,Checkmate,Florida Mayhem,Echo,Midseason Madness: Qualifiers
35,39161,Ilios,control,Checkmate,Florida Mayhem,Symmetra,Midseason Madness: Qualifiers
38,39161,Ilios,control,Checkmate,Florida Mayhem,Tracer,Midseason Madness: Qualifiers
73,39161,Ilios,control,Hydron,Florida Mayhem,Sojourn,Midseason Madness: Qualifiers
113,39161,Ilios,control,Rupal,Florida Mayhem,Baptiste,Midseason Madness: Qualifiers
165,39161,Ilios,control,SirMajed,Florida Mayhem,Zenyatta,Midseason Madness: Qualifiers
193,39161,Ilios,control,Someone,Florida Mayhem,Wrecking Ball,Midseason Madness: Qualifiers
230,39161,Ilios,control,Admiral,London Spitfire,Brigitte,Midseason Madness: Qualifiers
265,39161,Ilios,control,Landon,London Spitfire,Zenyatta,Midseason Madness: Qualifiers
302,39161,Ilios,control,Poko,London Spitfire,D.Va,Midseason Madness: Qualifiers
325,39161,Ilios,control,Poko,London Spitfire,Sigma,Midseason Madness: Qualifiers
359,39161,Ilios,control,Shax,London Spitfire,Symmetra,Midseason Madness: Qualifiers
364,39161,Ilios,control,Shax,London Spitfire,Tracer,Midseason Madness: Qualifiers
401,39161,Ilios,control,SparkR,London Spitfire,Sojourn,Midseason Madness: Qualifiers
432,39161,Eichenwalde,hybrid,Checkmate,Florida Mayhem,Echo,Midseason Madness: Qualifiers
450,39161,Eichenwalde,hybrid,Checkmate,Florida Mayhem,Tracer,Midseason Madness: Qualifiers
480,39161,Eichenwalde,hybrid,Hydron,Florida Mayhem,Sojourn,Midseason Madness: Qualifiers
519,39161,Eichenwalde,hybrid,Rupal,Florida Mayhem,Baptiste,Midseason Madness: Qualifiers
561,39161,Eichenwalde,hybrid,SirMajed,Florida Mayhem,Lucio,Midseason Madness: Qualifiers
563,39161,Eichenwalde,hybrid,SirMajed,Florida Mayhem,Zenyatta,Midseason Madness: Qualifiers
600,39161,Eichenwalde,hybrid,Someone,Florida Mayhem,Doomfist,Midseason Madness: Qualifiers
601,39161,Eichenwalde,hybrid,Someone,Florida Mayhem,Sigma,Midseason Madness: Qualifiers
623,39161,Eichenwalde,hybrid,Someone,Florida Mayhem,Wrecking Ball,Midseason Madness: Qualifiers
652,39161,Eichenwalde,hybrid,Admiral,London Spitfire,Brigitte,Midseason Madness: Qualifiers
673,39161,Eichenwalde,hybrid,Admiral,London Spitfire,Lucio,Midseason Madness: Qualifiers
690,39161,Eichenwalde,hybrid,Landon,London Spitfire,Zenyatta,Midseason Madness: Qualifiers
734,39161,Eichenwalde,hybrid,Poko,London Spitfire,D.Va,Midseason Madness: Qualifiers
739,39161,Eichenwalde,hybrid,Poko,London Spitfire,Sigma,Midseason Madness: Qualifiers
761,39161,Eichenwalde,hybrid,Shax,London Spitfire,Tracer,Midseason Madness: Qualifiers
780,39161,Eichenwalde,hybrid,Shax,London Spitfire,Widowmaker,Midseason Madness: Qualifiers
800,39161,Eichenwalde,hybrid,SparkR,London Spitfire,Sojourn,Midseason Madness: Qualifiers
827,39161,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Symmetra,Midseason Madness: Qualifiers
832,39161,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Tracer,Midseason Madness: Qualifiers
