,map_name,map_type,tournament_title
0,Ilios,control,Midseason Madness: Qualifiers
423,Eichenwalde,hybrid,Midseason Madness: Qualifiers
814,Watchpoint: Gibraltar,payload,Midseason Madness: Qualifiers
1177,Colosseo,push,Midseason Madness: Qualifiers
1554,Oasis,control,Midseason Madness: Qualifiers
2124,Lijiang Tower,control,Midseason Madness: Qualifiers
2742,Midtown,hybrid,Midseason Madness: Qualifiers
3231,Circuit royal,payload,Midseason Madness: Qualifiers
4211,King's Row,hybrid,Midseason Madness: Qualifiers
4574,Route 66,payload,Midseason Madness: Qualifiers
6124,Dorado,payload,Midseason Madness: Qualifiers
6553,New Queen Street,push,Midseason Madness: Qualifiers
