,map_name,map_type,tournament_title
179930,Lijiang Tower,control,Midseason Madness: Tournament
180367,Eichenwalde,hybrid,Midseason Madness: Tournament
180805,Circuit royal,payload,Midseason Madness: Tournament
181212,Colosseo,push,Midseason Madness: Tournament
181575,Oasis,control,Midseason Madness: Tournament
182028,Midtown,hybrid,Midseason Madness: Tournament
182589,Watchpoint: Gibraltar,payload,Midseason Madness: Tournament
183078,Ilios,control,Midseason Madness: Tournament
184130,Dorado,payload,Midseason Madness: Tournament
188132,New Queen Street,push,Midseason Madness: Tournament
189467,Route 66,payload,Midseason Madness: Tournament
198129,King's Row,hybrid,Midseason Madness: Tournament
