hero_name,stat_name,amount
Ana,Time Played,157979.63874701
Ashe,Time Played,32563.7960681
Baptiste,Time Played,108319.94933716
Bastion,Time Played,90.51044863
Brigitte,Time Played,93576.61721216
Cassidy,Time Played,4477.28886948
D.Va,Time Played,7246.35663743
Doomfist,Time Played,93557.44905583
Echo,Time Played,36288.06778436
Genji,Time Played,65212.10975081
Hanzo,Time Played,34386.85652677
Junkrat,Time Played,289.97492432
Lucio,Time Played,58033.04001033
Mei,Time Played,21546.84842087
Mercy,Time Played,777.6457008799999
Moira,Time Played,9382.57032992
Orisa,Time Played,422.34646177
Pharah,Time Played,471.15569139
Reaper,Time Played,284.17297923
Reinhardt,Time Played,19340.396940040002
Roadhog,Time Played,1114.41763587
Sigma,Time Played,93927.4997318
Sojourn,Time Played,193380.05059999
Soldier: 76,Time Played,1562.14204174
Sombra,Time Played,17936.97018887
Symmetra,Time Played,1959.23491915
Torbjorn,Time Played,0.97614056
Tracer,Time Played,207851.77037369
Widowmaker,Time Played,36736.8574022
Winston,Time Played,43289.23018056
Wrecking Ball,Time Played,57151.14692646
Zarya,Time Played,11470.54799538
Zenyatta,Time Played,226969.32179278
