player_name,team_name,hero_name,stat_name,amount
ANS,Los Angeles Gladiators,All Heroes,Time Played,5559.48905332
ANS,Los Angeles Gladiators,Ashe,Time Played,836.0138790599999
ANS,Los Angeles Gladiators,Symmetra,Time Played,23.36024785
ANS,Los Angeles Gladiators,Widowmaker,Time Played,4700.11492641
Admiral,London Spitfire,All Heroes,Time Played,13671.77101529
Admiral,London Spitfire,Ana,Time Played,18.49062294
Admiral,London Spitfire,Brigitte,Time Played,5315.448605420001
Admiral,London Spitfire,Lucio,Time Played,8336.8572839
Admiral,London Spitfire,Moira,Time Played,0.97450304
AimGod,Seoul Infernal,All Heroes,Time Played,18779.46271628
AimGod,Seoul Infernal,Ana,Time Played,4332.29354537
AimGod,Seoul Infernal,Baptiste,Time Played,1617.5483988
AimGod,Seoul Infernal,Zenyatta,Time Played,12829.62077211
AlphaYi,Hangzhou Spark,All Heroes,Time Played,14410.75960264
AlphaYi,Hangzhou Spark,Bastion,Time Played,2.91779071
AlphaYi,Hangzhou Spark,Echo,Time Played,2226.94666356
AlphaYi,Hangzhou Spark,Genji,Time Played,458.44378804999997
AlphaYi,Hangzhou Spark,Hanzo,Time Played,638.51017511
AlphaYi,Hangzhou Spark,Symmetra,Time Played,35.05098719
AlphaYi,Hangzhou Spark,Tracer,Time Played,10814.28035873
AlphaYi,Hangzhou Spark,Widowmaker,Time Played,234.60983935
Anamo,Florida Mayhem,All Heroes,Time Played,7501.21166797
Anamo,Florida Mayhem,Ana,Time Played,1676.10827715
Anamo,Florida Mayhem,Brigitte,Time Played,2002.1224317
Anamo,Florida Mayhem,Lucio,Time Played,3818.1213727
Anamo,Florida Mayhem,Zenyatta,Time Played,4.85958642
Architect,Hangzhou Spark,All Heroes,Time Played,2266.95007027
Architect,Hangzhou Spark,Ana,Time Played,607.32668549
Architect,Hangzhou Spark,Baptiste,Time Played,379.63784462
Architect,Hangzhou Spark,Brigitte,Time Played,1269.27832723
Architect,Hangzhou Spark,Lucio,Time Played,10.70721292
Aspire,Vancouver Titans,All Heroes,Time Played,14937.44053084
Aspire,Vancouver Titans,Cassidy,Time Played,38.92810214
Aspire,Vancouver Titans,Genji,Time Played,78.85764462
Aspire,Vancouver Titans,Hanzo,Time Played,4.86469108
Aspire,Vancouver Titans,Junkrat,Time Played,169.33451253
Aspire,Vancouver Titans,Sojourn,Time Played,2322.34503544
Aspire,Vancouver Titans,Symmetra,Time Played,44.778026589999996
Aspire,Vancouver Titans,Tracer,Time Played,12128.43329143
Aspire,Vancouver Titans,Widowmaker,Time Played,149.89922703
Assassin,Washington Justice,All Heroes,Time Played,2380.60999579
Assassin,Washington Justice,Ashe,Time Played,205.39099085
Assassin,Washington Justice,Echo,Time Played,551.81579912
Assassin,Washington Justice,Mei,Time Played,468.09356922
Assassin,Washington Justice,Sombra,Time Played,945.08529413
Assassin,Washington Justice,Symmetra,Time Played,4.86449897
Assassin,Washington Justice,Widowmaker,Time Played,205.35984349
Aztac,Vancouver Titans,All Heroes,Time Played,12144.15138889
Aztac,Vancouver Titans,Ana,Time Played,955.76792473
Aztac,Vancouver Titans,Brigitte,Time Played,29.20599729
Aztac,Vancouver Titans,Lucio,Time Played,80.8049115
Aztac,Vancouver Titans,Moira,Time Played,21.409729239999997
Aztac,Vancouver Titans,Zenyatta,Time Played,11056.962826140001
BEBE,Shanghai Dragons,All Heroes,Time Played,4780.9867035
BEBE,Shanghai Dragons,Ana,Time Played,1926.06216144
BEBE,Shanghai Dragons,Baptiste,Time Played,2846.1591234899997
BEBE,Shanghai Dragons,Lucio,Time Played,8.76541859
BERNAR,Hangzhou Spark,All Heroes,Time Played,13704.08448247
BERNAR,Hangzhou Spark,D.Va,Time Played,9.73770392
BERNAR,Hangzhou Spark,Doomfist,Time Played,905.25600421
BERNAR,Hangzhou Spark,Sigma,Time Played,4936.57357871
BERNAR,Hangzhou Spark,Wrecking Ball,Time Played,6667.0080294
BERNAR,Hangzhou Spark,Zarya,Time Played,1185.50916624
Backbone,London Spitfire,All Heroes,Time Played,12240.68812371
Backbone,London Spitfire,Brigitte,Time Played,71.04220104
Backbone,London Spitfire,Echo,Time Played,192.7222566
Backbone,London Spitfire,Genji,Time Played,807.79865223
Backbone,London Spitfire,Lucio,Time Played,19.46371657
Backbone,London Spitfire,Mei,Time Played,6882.74446178
Backbone,London Spitfire,Soldier: 76,Time Played,26.287249210000002
Backbone,London Spitfire,Sombra,Time Played,1150.42107326
Backbone,London Spitfire,Symmetra,Time Played,169.38655848
Backbone,London Spitfire,Tracer,Time Played,31.14370048
Backbone,London Spitfire,Widowmaker,Time Played,2.91490412
Backbone,London Spitfire,Zenyatta,Time Played,2886.76334995
Becky,Los Angeles Valiant,All Heroes,Time Played,3228.55043745
Becky,Los Angeles Valiant,Echo,Time Played,2493.73060161
Becky,Los Angeles Valiant,Genji,Time Played,4.86716402
Becky,Los Angeles Valiant,Tracer,Time Played,729.9526718300001
Belosrea,Seoul Infernal,All Heroes,Time Played,12916.44261009
Belosrea,Seoul Infernal,D.Va,Time Played,20.43975741
Belosrea,Seoul Infernal,Doomfist,Time Played,109.98930507
Belosrea,Seoul Infernal,Reinhardt,Time Played,1657.46730512
Belosrea,Seoul Infernal,Roadhog,Time Played,579.07684422
Belosrea,Seoul Infernal,Sigma,Time Played,307.58112502
Belosrea,Seoul Infernal,Winston,Time Played,2070.30603332
Belosrea,Seoul Infernal,Wrecking Ball,Time Played,8019.70290288
Belosrea,Seoul Infernal,Zarya,Time Played,151.87933701
CH0R0NG,Toronto Defiant,All Heroes,Time Played,17590.55883757
CH0R0NG,Toronto Defiant,Ana,Time Played,34.05735826
CH0R0NG,Toronto Defiant,Baptiste,Time Played,218.98427898
CH0R0NG,Toronto Defiant,Brigitte,Time Played,4971.92640512
CH0R0NG,Toronto Defiant,Lucio,Time Played,7279.0257891500005
CH0R0NG,Toronto Defiant,Mercy,Time Played,0.97392559
CH0R0NG,Toronto Defiant,Moira,Time Played,7.78890396
CH0R0NG,Toronto Defiant,Zenyatta,Time Played,5077.80217653
Checkmate,Florida Mayhem,All Heroes,Time Played,17457.93453779
Checkmate,Florida Mayhem,Echo,Time Played,1628.27080244
Checkmate,Florida Mayhem,Genji,Time Played,2600.71101517
Checkmate,Florida Mayhem,Hanzo,Time Played,1267.25304872
Checkmate,Florida Mayhem,Mei,Time Played,3611.67813474
Checkmate,Florida Mayhem,Symmetra,Time Played,44.7538678
Checkmate,Florida Mayhem,Tracer,Time Played,8305.267668909999
ChiYo,Dallas Fuel,All Heroes,Time Played,16904.46733214
ChiYo,Dallas Fuel,Ana,Time Played,674.48549998
ChiYo,Dallas Fuel,Baptiste,Time Played,1163.17124999
ChiYo,Dallas Fuel,Brigitte,Time Played,3067.95724457
ChiYo,Dallas Fuel,Lucio,Time Played,7365.868560280001
ChiYo,Dallas Fuel,Zenyatta,Time Played,4632.98477733
ChoiSehwan,Guangzhou Charge,All Heroes,Time Played,13485.11619654
ChoiSehwan,Guangzhou Charge,Echo,Time Played,605.50133074
ChoiSehwan,Guangzhou Charge,Genji,Time Played,1831.77489156
ChoiSehwan,Guangzhou Charge,Hanzo,Time Played,1577.62775671
ChoiSehwan,Guangzhou Charge,Pharah,Time Played,198.56526953000002
ChoiSehwan,Guangzhou Charge,Symmetra,Time Played,27.24652451
ChoiSehwan,Guangzhou Charge,Tracer,Time Played,9218.11240613
ChoiSehwan,Guangzhou Charge,Widowmaker,Time Played,26.28801739
Coluge,San Francisco Shock,All Heroes,Time Played,8167.73512877
Coluge,San Francisco Shock,D.Va,Time Played,884.65394551
Coluge,San Francisco Shock,Doomfist,Time Played,459.41810298
Coluge,San Francisco Shock,Roadhog,Time Played,193.70600343
Coluge,San Francisco Shock,Sigma,Time Played,5680.98146595
Coluge,San Francisco Shock,Winston,Time Played,948.97561091
Cr0ng,Guangzhou Charge,All Heroes,Time Played,12238.284264419999
Cr0ng,Guangzhou Charge,D.Va,Time Played,363.9439882
Cr0ng,Guangzhou Charge,Doomfist,Time Played,3991.47963894
Cr0ng,Guangzhou Charge,Sigma,Time Played,5893.47895176
Cr0ng,Guangzhou Charge,Wrecking Ball,Time Played,8.74934548
Cr0ng,Guangzhou Charge,Zarya,Time Played,1980.63234007
Creative,Seoul Dynasty,All Heroes,Time Played,15936.78916078
Creative,Seoul Dynasty,Ana,Time Played,9845.84861583
Creative,Seoul Dynasty,Baptiste,Time Played,3065.00526118
Creative,Seoul Dynasty,Lucio,Time Played,9.72979432
Creative,Seoul Dynasty,Mercy,Time Played,1.94543344
Creative,Seoul Dynasty,Moira,Time Played,7.78813201
Creative,Seoul Dynasty,Zenyatta,Time Played,3006.47192401
Crimzo,Boston Uprising,All Heroes,Time Played,15656.39270844
Crimzo,Boston Uprising,Ana,Time Played,745.58496899
Crimzo,Boston Uprising,Baptiste,Time Played,1474.5375799
Crimzo,Boston Uprising,Lucio,Time Played,36.995950699999995
Crimzo,Boston Uprising,Moira,Time Played,137.24456036
Crimzo,Boston Uprising,Zenyatta,Time Played,13262.0296485
Daan,Vegas Eternal,All Heroes,Time Played,10471.56484895
Daan,Vegas Eternal,Doomfist,Time Played,3893.90176035
Daan,Vegas Eternal,Roadhog,Time Played,10.71159703
Daan,Vegas Eternal,Winston,Time Played,728.03722226
Daan,Vegas Eternal,Wrecking Ball,Time Played,5836.96838409
Daan,Vegas Eternal,Zarya,Time Played,1.94588524
Daizi,Chengdu Hunters,All Heroes,Time Played,2093.51975798
Daizi,Chengdu Hunters,Sigma,Time Played,2090.5999043
