hero_name,stat_name,amount
Ana,Time Played,83165.22989427
Ashe,Time Played,23484.92385986
Baptiste,Time Played,27475.34140801
Bastion,Time Played,2.92290348
Brigitte,Time Played,39298.26158955
Cassidy,Time Played,417.58955657
D.Va,Time Played,4306.9355780099995
Doomfist,Time Played,29311.86557039
Echo,Time Played,11395.48770217
Genji,Time Played,25651.22783187
Hanzo,Time Played,5817.45361237
Junkrat,Time Played,1.94621485
Lucio,Time Played,27378.88159978
Mei,Time Played,5007.6786687799995
Mercy,Time Played,900.30159366
Moira,Time Played,5445.81717967
Orisa,Time Played,4.86100709
Pharah,Time Played,656.94336492
Reaper,Time Played,1206.90374332
Reinhardt,Time Played,6036.40839477
Roadhog,Time Played,541.10116643
Sigma,Time Played,22227.26402963
Sojourn,Time Played,85254.81602301
Soldier: 76,Time Played,115.82031452999999
Sombra,Time Played,4114.06255025
Symmetra,Time Played,431.23733087
Torbjorn,Time Played,169.31613576
Tracer,Time Played,96809.66440853
Widowmaker,Time Played,18908.3164886
Winston,Time Played,38373.9471554
Wrecking Ball,Time Played,35009.9698269
Zarya,Time Played,3910.80262637
Zenyatta,Time Played,95782.47744491
