player_name,team_name,hero_name,stat_name,amount
ANS,Los Angeles Gladiators,All Heroes,Time Played,5446.67933744
ANS,Los Angeles Gladiators,Ashe,Time Played,1062.92564243
ANS,Los Angeles Gladiators,Cassidy,Time Played,19.47139311
ANS,Los Angeles Gladiators,Soldier: 76,Time Played,27.24158072
ANS,Los Angeles Gladiators,Symmetra,Time Played,14.59886277
ANS,Los Angeles Gladiators,Widowmaker,Time Played,4322.44185841
Admiral,London Spitfire,All Heroes,Time Played,4394.40591466
Admiral,London Spitfire,Brigitte,Time Played,935.31632286
Admiral,London Spitfire,Lucio,Time Played,3459.0895917999997
AimGod,Seoul Infernal,All Heroes,Time Played,17741.3110003
AimGod,Seoul Infernal,Ana,Time Played,653.1213665600001
AimGod,Seoul Infernal,Baptiste,Time Played,203.38058889
AimGod,Seoul Infernal,Zenyatta,Time Played,16884.80904485
AlphaYi,Hangzhou Spark,All Heroes,Time Played,14315.4916575
AlphaYi,Hangzhou Spark,Echo,Time Played,1203.02059955
AlphaYi,Hangzhou Spark,Genji,Time Played,2538.37515724
AlphaYi,Hangzhou Spark,Hanzo,Time Played,488.62651938
AlphaYi,Hangzhou Spark,Symmetra,Time Played,17.53422732
AlphaYi,Hangzhou Spark,Tracer,Time Played,10035.78517175
AlphaYi,Hangzhou Spark,Widowmaker,Time Played,32.149982269999995
Anamo,Florida Mayhem,All Heroes,Time Played,6896.96137429
Anamo,Florida Mayhem,Brigitte,Time Played,3047.46590198
Anamo,Florida Mayhem,Lucio,Time Played,3562.43957944
Anamo,Florida Mayhem,Mercy,Time Played,287.05589288
BEBE,Shanghai Dragons,All Heroes,Time Played,3901.94074505
BEBE,Shanghai Dragons,Ana,Time Played,1313.94321954
BEBE,Shanghai Dragons,Baptiste,Time Played,2587.99752551
BERNAR,Hangzhou Spark,All Heroes,Time Played,9589.1054002
BERNAR,Hangzhou Spark,D.Va,Time Played,16.55013561
BERNAR,Hangzhou Spark,Doomfist,Time Played,582.11848306
BERNAR,Hangzhou Spark,Sigma,Time Played,2989.0325577900003
BERNAR,Hangzhou Spark,Wrecking Ball,Time Played,5353.22197145
BERNAR,Hangzhou Spark,Zarya,Time Played,648.18225229
Backbone,London Spitfire,All Heroes,Time Played,9281.48551964
Backbone,London Spitfire,Genji,Time Played,935.31632286
Backbone,London Spitfire,Lucio,Time Played,1.94249475
Backbone,London Spitfire,Mei,Time Played,2707.69770699
Backbone,London Spitfire,Moira,Time Played,2.9247402
Backbone,London Spitfire,Sombra,Time Played,497.39169574
Backbone,London Spitfire,Tracer,Time Played,254.00018906999998
Backbone,London Spitfire,Zenyatta,Time Played,4882.21237004
Belosrea,Seoul Infernal,All Heroes,Time Played,13923.06197144
Belosrea,Seoul Infernal,Doomfist,Time Played,141.09890383
Belosrea,Seoul Infernal,Reinhardt,Time Played,311.40887731
Belosrea,Seoul Infernal,Sigma,Time Played,472.0980233
Belosrea,Seoul Infernal,Winston,Time Played,181.03573072
Belosrea,Seoul Infernal,Wrecking Ball,Time Played,12671.45172538
Belosrea,Seoul Infernal,Zarya,Time Played,145.9687109
CH0R0NG,Toronto Defiant,All Heroes,Time Played,6605.84319032
CH0R0NG,Toronto Defiant,Brigitte,Time Played,1376.2602675
CH0R0NG,Toronto Defiant,Lucio,Time Played,414.65337837000004
CH0R0NG,Toronto Defiant,Moira,Time Played,1.94780737
CH0R0NG,Toronto Defiant,Zenyatta,Time Played,4812.98173707
Checkmate,Florida Mayhem,All Heroes,Time Played,8951.66837848
Checkmate,Florida Mayhem,Echo,Time Played,136.31473184
Checkmate,Florida Mayhem,Genji,Time Played,1662.44337189
Checkmate,Florida Mayhem,Mei,Time Played,884.76790029
Checkmate,Florida Mayhem,Pharah,Time Played,326.98000664
Checkmate,Florida Mayhem,Soldier: 76,Time Played,1.94612718
Checkmate,Florida Mayhem,Symmetra,Time Played,44.794074720000005
Checkmate,Florida Mayhem,Tracer,Time Played,5894.42216594
ChiYo,Dallas Fuel,All Heroes,Time Played,5551.74639869
ChiYo,Dallas Fuel,Brigitte,Time Played,1913.51371127
ChiYo,Dallas Fuel,Lucio,Time Played,2779.7777551500003
ChiYo,Dallas Fuel,Zenyatta,Time Played,858.45493227
Coluge,San Francisco Shock,All Heroes,Time Played,6858.03429306
Coluge,San Francisco Shock,D.Va,Time Played,3683.0221421799997
Coluge,San Francisco Shock,Doomfist,Time Played,672.55360925
Coluge,San Francisco Shock,Roadhog,Time Played,214.12456656
Coluge,San Francisco Shock,Sigma,Time Played,1777.29026937
Coluge,San Francisco Shock,Winston,Time Played,511.0437057
Creative,Seoul Dynasty,All Heroes,Time Played,6283.70942408
Creative,Seoul Dynasty,Ana,Time Played,4121.03391499
Creative,Seoul Dynasty,Lucio,Time Played,1.945822
Creative,Seoul Dynasty,Zenyatta,Time Played,2160.7296871
Danteh,Houston Outlaws,All Heroes,Time Played,6064.9720298
