,map_name,player_name,team_name,hero_name
15,Ilios,Checkmate,Florida Mayhem,Echo
35,Ilios,Checkmate,Florida Mayhem,Symmetra
38,Ilios,Checkmate,Florida Mayhem,Tracer
73,Ilios,Hydron,Florida Mayhem,Sojourn
113,Ilios,Rupal,Florida Mayhem,Baptiste
165,Ilios,SirMajed,Florida Mayhem,Zenyatta
193,Ilios,Someone,Florida Mayhem,Wrecking Ball
230,Ilios,Admiral,London Spitfire,Brigitte
265,Ilios,Landon,London Spitfire,Zenyatta
302,Ilios,Poko,London Spitfire,D.Va
325,Ilios,Poko,London Spitfire,Sigma
359,Ilios,Shax,London Spitfire,Symmetra
364,Ilios,Shax,London Spitfire,Tracer
401,Ilios,SparkR,London Spitfire,Sojourn
432,Eichenwalde,Checkmate,Florida Mayhem,Echo
450,Eichenwalde,Checkmate,Florida Mayhem,Tracer
480,Eichenwalde,Hydron,Florida Mayhem,Sojourn
519,Eichenwalde,Rupal,Florida Mayhem,Baptiste
561,Eichenwalde,SirMajed,Florida Mayhem,Lucio
563,Eichenwalde,SirMajed,Florida Mayhem,Zenyatta
600,Eichenwalde,Someone,Florida Mayhem,Doomfist
601,Eichenwalde,Someone,Florida Mayhem,Sigma
623,Eichenwalde,Someone,Florida Mayhem,Wrecking Ball
652,Eichenwalde,Admiral,London Spitfire,Brigitte
673,Eichenwalde,Admiral,London Spitfire,Lucio
690,Eichenwalde,Landon,London Spitfire,Zenyatta
734,Eichenwalde,Poko,London Spitfire,D.Va
739,Eichenwalde,Poko,London Spitfire,Sigma
761,Eichenwalde,Shax,London Spitfire,Tracer
780,Eichenwalde,Shax,London Spitfire,Widowmaker
800,Eichenwalde,SparkR,London Spitfire,Sojourn
827,Watchpoint: Gibraltar,Checkmate,Florida Mayhem,Symmetra
832,Watchpoint: Gibraltar,Checkmate,Florida Mayhem,Tracer
868,Watchpoint: Gibraltar,Hydron,Florida Mayhem,Sojourn
901,Watchpoint: Gibraltar,Rupal,Florida Mayhem,Baptiste
938,Watchpoint: Gibraltar,SirMajed,Florida Mayhem,Zenyatta
973,Watchpoint: Gibraltar,Someone,Florida Mayhem,Sigma
998,Watchpoint: Gibraltar,Admiral,London Spitfire,Brigitte
1017,Watchpoint: Gibraltar,Admiral,London Spitfire,Lucio
1039,Watchpoint: Gibraltar,Landon,London Spitfire,Baptiste
1046,Watchpoint: Gibraltar,Landon,London Spitfire,Zenyatta
1076,Watchpoint: Gibraltar,Poko,London Spitfire,D.Va
1084,Watchpoint: Gibraltar,Poko,London Spitfire,Roadhog
1091,Watchpoint: Gibraltar,Poko,London Spitfire,Sigma
1117,Watchpoint: Gibraltar,Shax,London Spitfire,Symmetra
1125,Watchpoint: Gibraltar,Shax,London Spitfire,Tracer
1155,Watchpoint: Gibraltar,SparkR,London Spitfire,Sojourn
1189,Colosseo,Checkmate,Florida Mayhem,Echo
1229,Colosseo,Hydron,Florida Mayhem,Sojourn
1264,Colosseo,Rupal,Florida Mayhem,Baptiste
1301,Colosseo,SirMajed,Florida Mayhem,Zenyatta
1344,Colosseo,Someone,Florida Mayhem,Wrecking Ball
1379,Colosseo,Admiral,London Spitfire,Lucio
1414,Colosseo,Backbone,London Spitfire,Mei
1422,Colosseo,Backbone,London Spitfire,Sombra
1454,Colosseo,Hadi,London Spitfire,Reinhardt
1480,Colosseo,Landon,London Spitfire,Baptiste
1503,Colosseo,Landon,London Spitfire,Moira
1537,Colosseo,SparkR,London Spitfire,Soldier: 76
1568,Oasis,Checkmate,Florida Mayhem,Echo
1591,Oasis,Checkmate,Florida Mayhem,Symmetra
1598,Oasis,Checkmate,Florida Mayhem,Tracer
1628,Oasis,Hydron,Florida Mayhem,Sojourn
1665,Oasis,Rupal,Florida Mayhem,Baptiste
1700,Oasis,SirMajed,Florida Mayhem,Lucio
1705,Oasis,SirMajed,Florida Mayhem,Zenyatta
1740,Oasis,Someone,Florida Mayhem,Doomfist
1757,Oasis,Someone,Florida Mayhem,Wrecking Ball
1800,Oasis,Admiral,London Spitfire,Brigitte
1815,Oasis,Admiral,London Spitfire,Lucio
1868,Oasis,Backbone,London Spitfire,Echo
1891,Oasis,Backbone,London Spitfire,Mei
