,esports_match_id,map_name,map_type,player_name,team_name,hero_name
15,39161,Ilios,control,Checkmate,Florida Mayhem,Echo
35,39161,Ilios,control,Checkmate,Florida Mayhem,Symmetra
38,39161,Ilios,control,Checkmate,Florida Mayhem,Tracer
73,39161,Ilios,control,Hydron,Florida Mayhem,Sojourn
113,39161,Ilios,control,Rupal,Florida Mayhem,Baptiste
165,39161,Ilios,control,SirMajed,Florida Mayhem,Zenyatta
193,39161,Ilios,control,Someone,Florida Mayhem,Wrecking Ball
230,39161,Ilios,control,Admiral,London Spitfire,Brigitte
265,39161,Ilios,control,Landon,London Spitfire,Zenyatta
302,39161,Ilios,control,Poko,London Spitfire,D.Va
325,39161,Ilios,control,Poko,London Spitfire,Sigma
359,39161,Ilios,control,Shax,London Spitfire,Symmetra
364,39161,Ilios,control,Shax,London Spitfire,Tracer
401,39161,Ilios,control,SparkR,London Spitfire,Sojourn
432,39161,Eichenwalde,hybrid,Checkmate,Florida Mayhem,Echo
450,39161,Eichenwalde,hybrid,Checkmate,Florida Mayhem,Tracer
480,39161,Eichenwalde,hybrid,Hydron,Florida Mayhem,Sojourn
519,39161,Eichenwalde,hybrid,Rupal,Florida Mayhem,Baptiste
561,39161,Eichenwalde,hybrid,SirMajed,Florida Mayhem,Lucio
563,39161,Eichenwalde,hybrid,SirMajed,Florida Mayhem,Zenyatta
600,39161,Eichenwalde,hybrid,Someone,Florida Mayhem,Doomfist
601,39161,Eichenwalde,hybrid,Someone,Florida Mayhem,Sigma
623,39161,Eichenwalde,hybrid,Someone,Florida Mayhem,Wrecking Ball
652,39161,Eichenwalde,hybrid,Admiral,London Spitfire,Brigitte
673,39161,Eichenwalde,hybrid,Admiral,London Spitfire,Lucio
690,39161,Eichenwalde,hybrid,Landon,London Spitfire,Zenyatta
734,39161,Eichenwalde,hybrid,Poko,London Spitfire,D.Va
739,39161,Eichenwalde,hybrid,Poko,London Spitfire,Sigma
761,39161,Eichenwalde,hybrid,Shax,London Spitfire,Tracer
780,39161,Eichenwalde,hybrid,Shax,London Spitfire,Widowmaker
800,39161,Eichenwalde,hybrid,SparkR,London Spitfire,Sojourn
827,39161,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Symmetra
832,39161,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Tracer
868,39161,Watchpoint: Gibraltar,payload,Hydron,Florida Mayhem,Sojourn
901,39161,Watchpoint: Gibraltar,payload,Rupal,Florida Mayhem,Baptiste
938,39161,Watchpoint: Gibraltar,payload,SirMajed,Florida Mayhem,Zenyatta
973,39161,Watchpoint: Gibraltar,payload,Someone,Florida Mayhem,Sigma
998,39161,Watchpoint: Gibraltar,payload,Admiral,London Spitfire,Brigitte
1017,39161,Watchpoint: Gibraltar,payload,Admiral,London Spitfire,Lucio
1039,39161,Watchpoint: Gibraltar,payload,Landon,London Spitfire,Baptiste
1046,39161,Watchpoint: Gibraltar,payload,Landon,London Spitfire,Zenyatta
1076,39161,Watchpoint: Gibraltar,payload,Poko,London Spitfire,D.Va
1084,39161,Watchpoint: Gibraltar,payload,Poko,London Spitfire,Roadhog
1091,39161,Watchpoint: Gibraltar,payload,Poko,London Spitfire,Sigma
1117,39161,Watchpoint: Gibraltar,payload,Shax,London Spitfire,Symmetra
1125,39161,Watchpoint: Gibraltar,payload,Shax,London Spitfire,Tracer
1155,39161,Watchpoint: Gibraltar,payload,SparkR,London Spitfire,Sojourn
1189,39161,Colosseo,push,Checkmate,Florida Mayhem,Echo
1229,39161,Colosseo,push,Hydron,Florida Mayhem,Sojourn
1264,39161,Colosseo,push,Rupal,Florida Mayhem,Baptiste
1301,39161,Colosseo,push,SirMajed,Florida Mayhem,Zenyatta
1344,39161,Colosseo,push,Someone,Florida Mayhem,Wrecking Ball
1379,39161,Colosseo,push,Admiral,London Spitfire,Lucio
1414,39161,Colosseo,push,Backbone,London Spitfire,Mei
1422,39161,Colosseo,push,Backbone,London Spitfire,Sombra
1454,39161,Colosseo,push,Hadi,London Spitfire,Reinhardt
1480,39161,Colosseo,push,Landon,London Spitfire,Baptiste
1503,39161,Colosseo,push,Landon,London Spitfire,Moira
1537,39161,Colosseo,push,SparkR,London Spitfire,Soldier: 76
1568,39161,Oasis,control,Checkmate,Florida Mayhem,Echo
1591,39161,Oasis,control,Checkmate,Florida Mayhem,Symmetra
1598,39161,Oasis,control,Checkmate,Florida Mayhem,Tracer
1628,39161,Oasis,control,Hydron,Florida Mayhem,Sojourn
1665,39161,Oasis,control,Rupal,Florida Mayhem,Baptiste
1700,39161,Oasis,control,SirMajed,Florida Mayhem,Lucio
1705,39161,Oasis,control,SirMajed,Florida Mayhem,Zenyatta
1740,39161,Oasis,control,Someone,Florida Mayhem,Doomfist
1757,39161,Oasis,control,Someone,Florida Mayhem,Wrecking Ball
1800,39161,Oasis,control,Admiral,London Spitfire,Brigitte
1815,39161,Oasis,control,Admiral,London Spitfire,Lucio
1868,39161,Oasis,control,Backbone,London Spitfire,Echo
1891,39161,Oasis,control,Backbone,London Spitfire,Mei
1909,39161,Oasis,control,Backbone,London Spitfire,Soldier: 76
1930,39161,Oasis,control,Backbone,London Spitfire,Symmetra
1960,39161,Oasis,control,Hadi,London Spitfire,Reinhardt
1988,39161,Oasis,control,Hadi,London Spitfire,Wrecking Ball
2025,39161,Oasis,control,Landon,London Spitfire,Baptiste
2047,39161,Oasis,control,Landon,London Spitfire,Zenyatta
2082,39161,Oasis,control,SparkR,London Spitfire,Soldier: 76
