player_name,team_name,hero_name,times_played,total_times_played
Although,Toronto Defiant,Genji,21,23
Although,Toronto Defiant,Symmetra,2,23
Aspire,Vancouver Titans,Ashe,2,11
Aspire,Vancouver Titans,Sojourn,7,11
Aspire,Vancouver Titans,Symmetra,1,11
Aspire,Vancouver Titans,Widowmaker,1,11
Assassin,Washington Justice,Genji,9,10
Assassin,Washington Justice,Tracer,1,10
Backbone,London Spitfire,Genji,13,20
Backbone,London Spitfire,Mei,2,20
Backbone,London Spitfire,Symmetra,2,20
Backbone,London Spitfire,Tracer,1,20
Backbone,London Spitfire,Widowmaker,2,20
Checkmate,Florida Mayhem,Ashe,1,22
Checkmate,Florida Mayhem,Genji,16,22
Checkmate,Florida Mayhem,Mei,1,22
Checkmate,Florida Mayhem,Pharah,1,22
Checkmate,Florida Mayhem,Symmetra,1,22
Checkmate,Florida Mayhem,Widowmaker,2,22
ChoiSehwan,Guangzhou Charge,Genji,6,12
ChoiSehwan,Guangzhou Charge,Pharah,1,12
ChoiSehwan,Guangzhou Charge,Soldier: 76,1,12
ChoiSehwan,Guangzhou Charge,Tracer,2,12
ChoiSehwan,Guangzhou Charge,Widowmaker,2,12
Decay,Washington Justice,Sojourn,9,12
Decay,Washington Justice,Symmetra,2,12
Decay,Washington Justice,Tracer,1,12
Edison,Dallas Fuel,Ashe,7,22
Edison,Dallas Fuel,Sojourn,13,22
Edison,Dallas Fuel,Tracer,2,22
Fits,Seoul Dynasty,Ashe,8,39
Fits,Seoul Dynasty,Sojourn,17,39
Fits,Seoul Dynasty,Sombra,1,39
Fits,Seoul Dynasty,Symmetra,6,39
Fits,Seoul Dynasty,Tracer,4,39
Fits,Seoul Dynasty,Widowmaker,3,39
Heesu,Toronto Defiant,Ashe,20,35
Heesu,Toronto Defiant,Bastion,1,35
Heesu,Toronto Defiant,Reaper,1,35
Heesu,Toronto Defiant,Sojourn,8,35
Heesu,Toronto Defiant,Symmetra,1,35
Heesu,Toronto Defiant,Widowmaker,4,35
Hydron,Florida Mayhem,Ashe,3,32
Hydron,Florida Mayhem,Sojourn,16,32
Hydron,Florida Mayhem,Symmetra,5,32
Hydron,Florida Mayhem,Tracer,5,32
Hydron,Florida Mayhem,Widowmaker,3,32
Jimmy,Guangzhou Charge,Ashe,2,18
Jimmy,Guangzhou Charge,Hanzo,1,18
Jimmy,Guangzhou Charge,Sojourn,6,18
Jimmy,Guangzhou Charge,Symmetra,2,18
Jimmy,Guangzhou Charge,Tracer,3,18
Jimmy,Guangzhou Charge,Widowmaker,4,18
Kilo,San Francisco Shock,Ashe,4,30
Kilo,San Francisco Shock,Hanzo,1,30
Kilo,San Francisco Shock,Sojourn,18,30
Kilo,San Francisco Shock,Symmetra,4,30
Kilo,San Francisco Shock,Tracer,1,30
Kilo,San Francisco Shock,Widowmaker,2,30
LIP,Shanghai Dragons,Ashe,3,25
LIP,Shanghai Dragons,Bastion,1,25
LIP,Shanghai Dragons,Sojourn,12,25
LIP,Shanghai Dragons,Symmetra,4,25
LIP,Shanghai Dragons,Tracer,3,25
LIP,Shanghai Dragons,Widowmaker,2,25
MER1T,Houston Outlaws,Ashe,4,14
MER1T,Houston Outlaws,Sojourn,9,14
MER1T,Houston Outlaws,Symmetra,1,14
MN3,Seoul Infernal,Ashe,4,19
MN3,Seoul Infernal,Sojourn,12,19
MN3,Seoul Infernal,Symmetra,2,19
MN3,Seoul Infernal,Widowmaker,1,19
PELICAN,Houston Outlaws,Genji,11,13
PELICAN,Houston Outlaws,Reaper,1,13
PELICAN,Houston Outlaws,Widowmaker,1,13
Proper,San Francisco Shock,Genji,19,19
SP9RK1E,Dallas Fuel,Genji,16,24
SP9RK1E,Dallas Fuel,Symmetra,5,24
SP9RK1E,Dallas Fuel,Tracer,1,24
SP9RK1E,Dallas Fuel,Widowmaker,2,24
SparkR,London Spitfire,Sojourn,13,14
SparkR,London Spitfire,Symmetra,1,14
Stalk3r,Seoul Dynasty,Genji,18,25
Stalk3r,Seoul Dynasty,Hanzo,2,25
Stalk3r,Seoul Dynasty,Symmetra,2,25
Stalk3r,Seoul Dynasty,Tracer,1,25
Stalk3r,Seoul Dynasty,Widowmaker,2,25
WhoRu,Shanghai Dragons,Genji,12,14
WhoRu,Shanghai Dragons,Symmetra,1,14
WhoRu,Shanghai Dragons,Tracer,1,14
ZEST,Seoul Infernal,Echo,2,21
ZEST,Seoul Infernal,Genji,12,21
ZEST,Seoul Infernal,Symmetra,1,21
ZEST,Seoul Infernal,Tracer,3,21
ZEST,Seoul Infernal,Widowmaker,3,21
k1ng,Vancouver Titans,Echo,1,10
k1ng,Vancouver Titans,Genji,7,10
k1ng,Vancouver Titans,Symmetra,2,10
