player_name,team_name,hero_name,times_played,total_times_played
Coluge,San Francisco Shock,Doomfist,6,25
Coluge,San Francisco Shock,Junker Queen,19,25
Cr0ng,Guangzhou Charge,Junker Queen,6,8
Cr0ng,Guangzhou Charge,Wrecking Ball,2,8
Danteh,Houston Outlaws,Doomfist,3,14
Danteh,Houston Outlaws,Junker Queen,11,14
Fury,Seoul Infernal,Doomfist,2,14
Fury,Seoul Infernal,Junker Queen,12,14
HOTBA,Toronto Defiant,Doomfist,3,24
HOTBA,Toronto Defiant,Junker Queen,21,24
Hadi,London Spitfire,Junker Queen,13,16
Hadi,London Spitfire,Roadhog,1,16
Hadi,London Spitfire,Winston,1,16
Hadi,London Spitfire,Wrecking Ball,1,16
Hanbin,Dallas Fuel,Doomfist,6,22
Hanbin,Dallas Fuel,Junker Queen,16,22
Kalios,Washington Justice,Doomfist,2,11
Kalios,Washington Justice,Junker Queen,9,11
MirroR,Vancouver Titans,Doomfist,1,8
MirroR,Vancouver Titans,Junker Queen,7,8
Someone,Florida Mayhem,Doomfist,4,20
Someone,Florida Mayhem,Junker Queen,16,20
Void,Shanghai Dragons,Doomfist,4,16
Void,Shanghai Dragons,Junker Queen,12,16
smurf,Seoul Dynasty,Doomfist,4,25
smurf,Seoul Dynasty,Junker Queen,18,25
smurf,Seoul Dynasty,Wrecking Ball,3,25
