player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Ashe,8,12
ANS,Los Angeles Gladiators,Tracer,2,12
ANS,Los Angeles Gladiators,Widowmaker,2,12
ANSOONJAE,New York Excelsior,Lucio,21,21
Admiral,London Spitfire,Ana,2,26
Admiral,London Spitfire,Lucio,23,26
Admiral,London Spitfire,Mercy,1,26
AimGod,Seoul Infernal,Ana,3,29
AimGod,Seoul Infernal,Brigitte,26,29
AlphaYi,Hangzhou Spark,Echo,2,25
AlphaYi,Hangzhou Spark,Genji,16,25
AlphaYi,Hangzhou Spark,Pharah,1,25
AlphaYi,Hangzhou Spark,Tracer,2,25
AlphaYi,Hangzhou Spark,Widowmaker,4,25
Although,Toronto Defiant,Bastion,1,29
Although,Toronto Defiant,Genji,24,29
Although,Toronto Defiant,Hanzo,1,29
Although,Toronto Defiant,Pharah,1,29
Although,Toronto Defiant,Symmetra,2,29
Anamo,Florida Mayhem,Brigitte,3,7
Anamo,Florida Mayhem,Lucio,3,7
Anamo,Florida Mayhem,Moira,1,7
Architect,Hangzhou Spark,Genji,6,10
Architect,Hangzhou Spark,Hanzo,1,10
Architect,Hangzhou Spark,Tracer,1,10
Architect,Hangzhou Spark,Widowmaker,2,10
Aspire,Vancouver Titans,Ashe,5,41
Aspire,Vancouver Titans,Genji,1,41
Aspire,Vancouver Titans,Hanzo,1,41
Aspire,Vancouver Titans,Sojourn,22,41
Aspire,Vancouver Titans,Symmetra,4,41
Aspire,Vancouver Titans,Tracer,1,41
Aspire,Vancouver Titans,Widowmaker,7,41
Assassin,Washington Justice,Genji,16,21
Assassin,Washington Justice,Widowmaker,5,21
Aztac,Vancouver Titans,Brigitte,24,25
Aztac,Vancouver Titans,Moira,1,25
BERNAR,Hangzhou Spark,Doomfist,3,24
BERNAR,Hangzhou Spark,Junker Queen,18,24
BERNAR,Hangzhou Spark,Orisa,1,24
BERNAR,Hangzhou Spark,Reinhardt,1,24
BERNAR,Hangzhou Spark,Zarya,1,24
Backbone,London Spitfire,Bastion,2,45
Backbone,London Spitfire,Echo,1,45
Backbone,London Spitfire,Genji,22,45
Backbone,London Spitfire,Mei,11,45
Backbone,London Spitfire,Symmetra,1,45
Backbone,London Spitfire,Widowmaker,8,45
Becky,Los Angeles Valiant,Echo,9,45
Becky,Los Angeles Valiant,Genji,20,45
Becky,Los Angeles Valiant,Junkrat,1,45
Becky,Los Angeles Valiant,Mei,2,45
Becky,Los Angeles Valiant,Symmetra,6,45
Becky,Los Angeles Valiant,Tracer,5,45
Becky,Los Angeles Valiant,Widowmaker,2,45
CH0R0NG,Toronto Defiant,Baptiste,1,29
CH0R0NG,Toronto Defiant,Lucio,24,29
CH0R0NG,Toronto Defiant,Mercy,1,29
CH0R0NG,Toronto Defiant,Moira,3,29
Checkmate,Florida Mayhem,Ashe,1,35
Checkmate,Florida Mayhem,Echo,1,35
Checkmate,Florida Mayhem,Genji,20,35
Checkmate,Florida Mayhem,Hanzo,1,35
Checkmate,Florida Mayhem,Junkrat,1,35
Checkmate,Florida Mayhem,Mei,2,35
Checkmate,Florida Mayhem,Pharah,4,35
