player_name,team_name,hero_name,times_played,total_times_played
ANSOONJAE,New York Excelsior,Lucio,21,21
Admiral,London Spitfire,Ana,2,26
Admiral,London Spitfire,Lucio,23,26
Admiral,London Spitfire,Mercy,1,26
AimGod,Seoul Infernal,Ana,3,29
AimGod,Seoul Infernal,Brigitte,26,29
Anamo,Florida Mayhem,Brigitte,3,7
Anamo,Florida Mayhem,Lucio,3,7
Anamo,Florida Mayhem,Moira,1,7
Aztac,Vancouver Titans,Brigitte,24,25
Aztac,Vancouver Titans,Moira,1,25
CH0R0NG,Toronto Defiant,Baptiste,1,29
CH0R0NG,Toronto Defiant,Lucio,24,29
CH0R0NG,Toronto Defiant,Mercy,1,29
CH0R0NG,Toronto Defiant,Moira,3,29
ChiYo,Dallas Fuel,Lucio,25,25
Crimzo,Boston Uprising,Ana,1,6
Crimzo,Boston Uprising,Brigitte,5,6
FIXA,Seoul Infernal,Ana,4,30
FIXA,Seoul Infernal,Lucio,26,30
Faith,Boston Uprising,Lucio,22,23
Faith,Boston Uprising,Zenyatta,1,23
Farway1987,Guangzhou Charge,Brigitte,23,24
Farway1987,Guangzhou Charge,Lucio,1,24
FiNN,San Francisco Shock,Ana,4,28
FiNN,San Francisco Shock,Brigitte,22,28
FiNN,San Francisco Shock,Moira,2,28
Fielder,Dallas Fuel,Ana,4,30
Fielder,Dallas Fuel,Brigitte,25,30
Fielder,Dallas Fuel,Moira,1,30
FunnyAstro,Los Angeles Gladiators,Lucio,24,24
GangNamJin,New York Excelsior,Ana,3,28
GangNamJin,New York Excelsior,Brigitte,21,28
GangNamJin,New York Excelsior,Lucio,1,28
GangNamJin,New York Excelsior,Moira,3,28
HO1,New York Excelsior,Brigitte,1,3
HO1,New York Excelsior,Lucio,1,3
HO1,New York Excelsior,Zenyatta,1,3
IZaYaKI,Shanghai Dragons,Ana,4,25
IZaYaKI,Shanghai Dragons,Brigitte,19,25
IZaYaKI,Shanghai Dragons,Zenyatta,2,25
Kaan,Vegas Eternal,Ana,1,7
Kaan,Vegas Eternal,Brigitte,6,7
Krillin,Washington Justice,Ana,2,18
Krillin,Washington Justice,Brigitte,16,18
Landon,London Spitfire,Ana,2,25
Landon,London Spitfire,Brigitte,22,25
Landon,London Spitfire,Moira,1,25
Lastro,Houston Outlaws,Brigitte,24,25
Lastro,Houston Outlaws,Moira,1,25
LeeJaeGon,Shanghai Dragons,Lucio,19,19
Lengsa,Los Angeles Valiant,Ana,1,27
Lengsa,Los Angeles Valiant,Lucio,25,27
Lengsa,Los Angeles Valiant,Mercy,1,27
Lep,Houston Outlaws,Lucio,24,24
Lukemino,Vegas Eternal,Ana,2,17
Lukemino,Vegas Eternal,Lucio,13,17
Lukemino,Vegas Eternal,Mercy,1,17
Lukemino,Vegas Eternal,Zenyatta,1,17
MCD,Boston Uprising,Brigitte,17,17
Masaa,Vancouver Titans,Ana,1,25
Masaa,Vancouver Titans,Lucio,24,25
Mmonk,Chengdu Hunters,Ana,4,26
Mmonk,Chengdu Hunters,Brigitte,21,26
Mmonk,Chengdu Hunters,Moira,1,26
Molly,Los Angeles Valiant,Brigitte,8,8
Nisha,Chengdu Hunters,Brigitte,1,23
Nisha,Chengdu Hunters,Lucio,21,23
Nisha,Chengdu Hunters,Mercy,1,23
OPENER,Washington Justice,Lucio,24,30
OPENER,Washington Justice,Mercy,6,30
Ojee,Atlanta Reign,Lucio,23,23
Profit,Seoul Dynasty,Ana,4,27
Profit,Seoul Dynasty,Brigitte,20,27
Profit,Seoul Dynasty,Moira,2,27
Profit,Seoul Dynasty,Zenyatta,1,27
Rakattack,Vegas Eternal,Ana,3,19
Rakattack,Vegas Eternal,Baptiste,1,19
Rakattack,Vegas Eternal,Brigitte,13,19
Rakattack,Vegas Eternal,Mercy,2,19
Rupal,Florida Mayhem,Ana,9,25
Rupal,Florida Mayhem,Brigitte,15,25
Rupal,Florida Mayhem,Mercy,1,25
SASIN,Los Angeles Valiant,Ana,2,19
SASIN,Los Angeles Valiant,Brigitte,17,19
SirMajed,Florida Mayhem,Ana,1,28
SirMajed,Florida Mayhem,Baptiste,2,28
SirMajed,Florida Mayhem,Lucio,16,28
SirMajed,Florida Mayhem,Moira,1,28
SirMajed,Florida Mayhem,Zenyatta,8,28
Superich,Hangzhou Spark,Ana,1,25
Superich,Hangzhou Spark,Lucio,22,25
Superich,Hangzhou Spark,Mercy,2,25
Twilight,Toronto Defiant,Ana,11,36
Twilight,Toronto Defiant,Brigitte,24,36
Twilight,Toronto Defiant,Zenyatta,1,36
UltraViolet,Atlanta Reign,Brigitte,8,8
Vindaim,Seoul Dynasty,Ana,1,22
Vindaim,Seoul Dynasty,Lucio,20,22
Vindaim,Seoul Dynasty,Mercy,1,22
Viol2t,San Francisco Shock,Lucio,22,22
Xerneas,Guangzhou Charge,Ana,1,25
Xerneas,Guangzhou Charge,Lucio,23,25
Xerneas,Guangzhou Charge,Mercy,1,25
dridro,Vegas Eternal,Baptiste,1,7
dridro,Vegas Eternal,Lucio,6,7
irony,Hangzhou Spark,Ana,1,24
irony,Hangzhou Spark,Brigitte,22,24
irony,Hangzhou Spark,Moira,1,24
skewed,Los Angeles Gladiators,Ana,3,27
skewed,Los Angeles Gladiators,Brigitte,24,27
vigilante,Atlanta Reign,Ana,1,16
vigilante,Atlanta Reign,Brigitte,15,16
vigilante,Washington Justice,Brigitte,8,8
