player_name,team_name,hero_name,times_played,total_times_played
BERNAR,Hangzhou Spark,Doomfist,3,24
BERNAR,Hangzhou Spark,Junker Queen,18,24
BERNAR,Hangzhou Spark,Orisa,1,24
BERNAR,Hangzhou Spark,Reinhardt,1,24
BERNAR,Hangzhou Spark,Zarya,1,24
Coluge,San Francisco Shock,Doomfist,4,26
Coluge,San Francisco Shock,Junker Queen,22,26
Cr0ng,Guangzhou Charge,Doomfist,2,29
Cr0ng,Guangzhou Charge,Junker Queen,23,29
Cr0ng,Guangzhou Charge,Roadhog,1,29
Cr0ng,Guangzhou Charge,Wrecking Ball,3,29
Daizi,Chengdu Hunters,Junker Queen,1,1
Danteh,Houston Outlaws,Junker Queen,20,20
Diya,Los Angeles Valiant,Doomfist,5,30
Diya,Los Angeles Valiant,Junker Queen,25,30
Doge,Houston Outlaws,Junker Queen,4,5
Doge,Houston Outlaws,Wrecking Ball,1,5
Fury,Seoul Infernal,Doomfist,3,29
Fury,Seoul Infernal,Junker Queen,26,29
GA9A,Chengdu Hunters,Doomfist,2,24
GA9A,Chengdu Hunters,Junker Queen,20,24
GA9A,Chengdu Hunters,Orisa,1,24
GA9A,Chengdu Hunters,Winston,1,24
Guxue,Hangzhou Spark,Junker Queen,4,4
HOTBA,Toronto Defiant,Junker Queen,24,24
Hadi,London Spitfire,Junker Queen,22,26
Hadi,London Spitfire,Reinhardt,2,26
Hadi,London Spitfire,Roadhog,2,26
Hanbin,Dallas Fuel,Doomfist,5,32
Hanbin,Dallas Fuel,Junker Queen,25,32
Hanbin,Dallas Fuel,Roadhog,1,32
Hanbin,Dallas Fuel,Zarya,1,32
Hawk,Atlanta Reign,Doomfist,1,27
Hawk,Atlanta Reign,Junker Queen,23,27
Hawk,Atlanta Reign,Orisa,2,27
Hawk,Atlanta Reign,Winston,1,27
Kalios,Washington Justice,Doomfist,2,18
Kalios,Washington Justice,Junker Queen,16,18
Kellan,New York Excelsior,Doomfist,2,25
Kellan,New York Excelsior,Junker Queen,22,25
Kellan,New York Excelsior,Reinhardt,1,25
Krawi,Vegas Eternal,Doomfist,3,18
Krawi,Vegas Eternal,Junker Queen,13,18
Krawi,Vegas Eternal,Wrecking Ball,2,18
MAG,Boston Uprising,Junker Queen,10,10
MAG,Washington Justice,Junker Queen,8,9
MAG,Washington Justice,Wrecking Ball,1,9
MirroR,Vancouver Titans,Doomfist,2,26
MirroR,Vancouver Titans,Junker Queen,24,26
Reiner,Los Angeles Gladiators,Doomfist,2,22
Reiner,Los Angeles Gladiators,Junker Queen,18,22
Reiner,Los Angeles Gladiators,Wrecking Ball,2,22
SPACE,Los Angeles Gladiators,Junker Queen,6,6
Someone,Florida Mayhem,Junker Queen,20,25
Someone,Florida Mayhem,Winston,1,25
Someone,Florida Mayhem,Wrecking Ball,4,25
Vestola,Vegas Eternal,Doomfist,1,7
Vestola,Vegas Eternal,Junker Queen,6,7
Void,Shanghai Dragons,Doomfist,3,23
Void,Shanghai Dragons,Junker Queen,19,23
Void,Shanghai Dragons,Wrecking Ball,1,23
punk,Boston Uprising,Doomfist,2,14
punk,Boston Uprising,Junker Queen,12,14
smurf,Seoul Dynasty,Doomfist,3,29
smurf,Seoul Dynasty,Junker Queen,20,29
smurf,Seoul Dynasty,Wrecking Ball,6,29
