,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
9,39106,Busan,control,Anamo,Florida Mayhem,Lucio,Summer Showdown: Qualifiers
48,39106,Busan,control,Checkmate,Florida Mayhem,Genji,Summer Showdown: Qualifiers
90,39106,Busan,control,Rupal,Florida Mayhem,Brigitte,Summer Showdown: Qualifiers
120,39106,Busan,control,Someone,Florida Mayhem,Junker Queen,Summer Showdown: Qualifiers
158,39106,Busan,control,Xzi,Florida Mayhem,Ashe,Summer Showdown: Qualifiers
197,39106,Busan,control,Admiral,London Spitfire,Lucio,Summer Showdown: Qualifiers
240,39106,Busan,control,Backbone,London Spitfire,Genji,Summer Showdown: Qualifiers
258,39106,Busan,control,Backbone,London Spitfire,Symmetra,Summer Showdown: Qualifiers
276,39106,Busan,control,Hadi,London Spitfire,Junker Queen,Summer Showdown: Qualifiers
304,39106,Busan,control,Landon,London Spitfire,Brigitte,Summer Showdown: Qualifiers
323,39106,Busan,control,SparkR,London Spitfire,Ashe,Summer Showdown: Qualifiers
363,39106,Hollywood,hybrid,Checkmate,Florida Mayhem,Genji,Summer Showdown: Qualifiers
394,39106,Hollywood,hybrid,Rupal,Florida Mayhem,Ana,Summer Showdown: Qualifiers
432,39106,Hollywood,hybrid,SirMajed,Florida Mayhem,Zenyatta,Summer Showdown: Qualifiers
471,39106,Hollywood,hybrid,Someone,Florida Mayhem,Junker Queen,Summer Showdown: Qualifiers
500,39106,Hollywood,hybrid,Xzi,Florida Mayhem,Ashe,Summer Showdown: Qualifiers
524,39106,Hollywood,hybrid,Xzi,Florida Mayhem,Widowmaker,Summer Showdown: Qualifiers
543,39106,Hollywood,hybrid,Admiral,London Spitfire,Ana,Summer Showdown: Qualifiers
547,39106,Hollywood,hybrid,Admiral,London Spitfire,Lucio,Summer Showdown: Qualifiers
584,39106,Hollywood,hybrid,Backbone,London Spitfire,Genji,Summer Showdown: Qualifiers
606,39106,Hollywood,hybrid,Backbone,London Spitfire,Widowmaker,Summer Showdown: Qualifiers
632,39106,Hollywood,hybrid,Hadi,London Spitfire,Junker Queen,Summer Showdown: Qualifiers
672,39106,Hollywood,hybrid,Landon,London Spitfire,Brigitte,Summer Showdown: Qualifiers
701,39106,Hollywood,hybrid,SparkR,London Spitfire,Sombra,Summer Showdown: Qualifiers
731,39106,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Genji,Summer Showdown: Qualifiers
754,39106,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Symmetra,Summer Showdown: Qualifiers
763,39106,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Tracer,Summer Showdown: Qualifiers
