,esports_match_id,map_name,map_type,player_name,team_name,hero_name
9,39106,Busan,control,Anamo,Florida Mayhem,Lucio
48,39106,Busan,control,Checkmate,Florida Mayhem,Genji
90,39106,Busan,control,Rupal,Florida Mayhem,Brigitte
120,39106,Busan,control,Someone,Florida Mayhem,Junker Queen
158,39106,Busan,control,Xzi,Florida Mayhem,Ashe
197,39106,Busan,control,Admiral,London Spitfire,Lucio
240,39106,Busan,control,Backbone,London Spitfire,Genji
258,39106,Busan,control,Backbone,London Spitfire,Symmetra
276,39106,Busan,control,Hadi,London Spitfire,Junker Queen
304,39106,Busan,control,Landon,London Spitfire,Brigitte
323,39106,Busan,control,SparkR,London Spitfire,Ashe
363,39106,Hollywood,hybrid,Checkmate,Florida Mayhem,Genji
394,39106,Hollywood,hybrid,Rupal,Florida Mayhem,Ana
432,39106,Hollywood,hybrid,SirMajed,Florida Mayhem,Zenyatta
471,39106,Hollywood,hybrid,Someone,Florida Mayhem,Junker Queen
500,39106,Hollywood,hybrid,Xzi,Florida Mayhem,Ashe
524,39106,Hollywood,hybrid,Xzi,Florida Mayhem,Widowmaker
543,39106,Hollywood,hybrid,Admiral,London Spitfire,Ana
547,39106,Hollywood,hybrid,Admiral,London Spitfire,Lucio
584,39106,Hollywood,hybrid,Backbone,London Spitfire,Genji
606,39106,Hollywood,hybrid,Backbone,London Spitfire,Widowmaker
632,39106,Hollywood,hybrid,Hadi,London Spitfire,Junker Queen
672,39106,Hollywood,hybrid,Landon,London Spitfire,Brigitte
701,39106,Hollywood,hybrid,SparkR,London Spitfire,Sombra
731,39106,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Genji
754,39106,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Symmetra
763,39106,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Tracer
781,39106,Watchpoint: Gibraltar,payload,Rupal,Florida Mayhem,Ana
808,39106,Watchpoint: Gibraltar,payload,Rupal,Florida Mayhem,Brigitte
836,39106,Watchpoint: Gibraltar,payload,SirMajed,Florida Mayhem,Lucio
857,39106,Watchpoint: Gibraltar,payload,SirMajed,Florida Mayhem,Zenyatta
892,39106,Watchpoint: Gibraltar,payload,Someone,Florida Mayhem,Junker Queen
913,39106,Watchpoint: Gibraltar,payload,Someone,Florida Mayhem,Wrecking Ball
933,39106,Watchpoint: Gibraltar,payload,Xzi,Florida Mayhem,Ashe
944,39106,Watchpoint: Gibraltar,payload,Xzi,Florida Mayhem,Sojourn
962,39106,Watchpoint: Gibraltar,payload,Xzi,Florida Mayhem,Soldier: 76
973,39106,Watchpoint: Gibraltar,payload,Xzi,Florida Mayhem,Widowmaker
1013,39106,Watchpoint: Gibraltar,payload,Admiral,London Spitfire,Lucio
1048,39106,Watchpoint: Gibraltar,payload,Backbone,London Spitfire,Genji
1083,39106,Watchpoint: Gibraltar,payload,Hadi,London Spitfire,Junker Queen
1107,39106,Watchpoint: Gibraltar,payload,Hadi,London Spitfire,Roadhog
1127,39106,Watchpoint: Gibraltar,payload,Landon,London Spitfire,Brigitte
1156,39106,Watchpoint: Gibraltar,payload,SparkR,London Spitfire,Ashe
1180,39106,Watchpoint: Gibraltar,payload,SparkR,London Spitfire,Sojourn
1198,39106,Watchpoint: Gibraltar,payload,SparkR,London Spitfire,Sombra
1223,39106,Colosseo,push,Anamo,Florida Mayhem,Lucio
1263,39106,Colosseo,push,Checkmate,Florida Mayhem,Genji
1300,39106,Colosseo,push,Rupal,Florida Mayhem,Ana
1339,39106,Colosseo,push,Someone,Florida Mayhem,Junker Queen
1375,39106,Colosseo,push,Xzi,Florida Mayhem,Sojourn
1413,39106,Colosseo,push,Admiral,London Spitfire,Lucio
1445,39106,Colosseo,push,Backbone,London Spitfire,Genji
1462,39106,Colosseo,push,Backbone,London Spitfire,Mei
1490,39106,Colosseo,push,Hadi,London Spitfire,Reinhardt
1514,39106,Colosseo,push,Landon,London Spitfire,Ana
1546,39106,Colosseo,push,Landon,London Spitfire,Moira
1570,39106,Colosseo,push,SparkR,London Spitfire,Cassidy
1587,39106,Colosseo,push,SparkR,London Spitfire,Soldier: 76
1610,39107,Nepal,control,Doge,Houston Outlaws,Junker Queen
1641,39107,Nepal,control,Doge,Houston Outlaws,Wrecking Ball
1658,39107,Nepal,control,Lastro,Houston Outlaws,Brigitte
1693,39107,Nepal,control,Lep,Houston Outlaws,Lucio
1737,39107,Nepal,control,MER1T,Houston Outlaws,Sojourn
1761,39107,Nepal,control,MER1T,Houston Outlaws,Symmetra
1780,39107,Nepal,control,PELICAN,Houston Outlaws,Genji
1801,39107,Nepal,control,PELICAN,Houston Outlaws,Mei
1823,39107,Nepal,control,PELICAN,Houston Outlaws,Symmetra
1839,39107,Nepal,control,ANSOONJAE,New York Excelsior,Lucio
1879,39107,Nepal,control,Flora,New York Excelsior,Ashe
1903,39107,Nepal,control,Flora,New York Excelsior,Sojourn
1914,39107,Nepal,control,Flora,New York Excelsior,Symmetra
1934,39107,Nepal,control,GangNamJin,New York Excelsior,Brigitte
1971,39107,Nepal,control,Kellan,New York Excelsior,Junker Queen
2016,39107,Nepal,control,Yaki,New York Excelsior,Genji
