,map_name,map_type,tournament_title
0,Busan,control,Summer Showdown: Qualifiers
348,Hollywood,hybrid,Summer Showdown: Qualifiers
714,Watchpoint: Gibraltar,payload,Summer Showdown: Qualifiers
1211,Colosseo,push,Summer Showdown: Qualifiers
1599,Nepal,control,Summer Showdown: Qualifiers
2047,Midtown,hybrid,Summer Showdown: Qualifiers
2461,Dorado,payload,Summer Showdown: Qualifiers
2861,New Queen Street,push,Summer Showdown: Qualifiers
3194,Oasis,control,Summer Showdown: Qualifiers
3971,Paraíso,hybrid,Summer Showdown: Qualifiers
4363,Junkertown,payload,Summer Showdown: Qualifiers
5153,Ilios,control,Summer Showdown: Qualifiers
7820,Circuit royal,payload,Summer Showdown: Qualifiers
13241,Lijiang Tower,control,Summer Showdown: Qualifiers
