,map_name,map_type,tournament_title
88412,Ilios,control,Summer Showdown: Tournament
88805,Paraíso,hybrid,Summer Showdown: Tournament
89179,Circuit royal,payload,Summer Showdown: Tournament
89588,New Queen Street,push,Summer Showdown: Tournament
89932,Lijiang Tower,control,Summer Showdown: Tournament
91036,Dorado,payload,Summer Showdown: Tournament
91407,Colosseo,push,Summer Showdown: Tournament
92153,Midtown,hybrid,Summer Showdown: Tournament
93250,Busan,control,Summer Showdown: Tournament
93606,Hollywood,hybrid,Summer Showdown: Tournament
94543,Oasis,control,Summer Showdown: Tournament
95784,Nepal,control,Summer Showdown: Tournament
108233,Watchpoint: Gibraltar,payload,Summer Showdown: Tournament
