team_name,control,hybrid,payload,push,total_map_played
Atlanta Reign,5,3,4,2,14
Boston Uprising,5,3,4,2,14
Chengdu Hunters,5,3,4,1,13
Dallas Fuel,5,3,4,2,14
Florida Mayhem,5,3,4,2,14
Guangzhou Charge,5,3,4,2,14
Hangzhou Spark,5,3,4,2,14
Houston Outlaws,5,3,4,2,14
London Spitfire,5,3,4,2,14
Los Angeles Gladiators,5,3,4,2,14
Los Angeles Valiant,5,3,4,2,14
New York Excelsior,5,3,4,2,14
San Francisco Shock,5,3,4,2,14
Seoul Dynasty,5,3,4,1,13
Seoul Infernal,5,3,4,2,14
Shanghai Dragons,5,3,4,1,13
Toronto Defiant,5,3,4,2,14
Vancouver Titans,5,3,4,2,14
Vegas Eternal,5,3,4,1,13
Washington Justice,5,3,4,2,14
