hero_name,stat_name,amount
Ana,Time Played,9282.34938764
Ashe,Time Played,72113.77247134
Baptiste,Time Played,238.46716995
Bastion,Time Played,190.79514737
Brigitte,Time Played,318304.92996966
Cassidy,Time Played,779.6510275
D.Va,Time Played,251.07865250000003
Doomfist,Time Played,822.4732963
Echo,Time Played,9455.56955463
Genji,Time Played,305176.15421034
Hanzo,Time Played,110.91666436999999
Junker Queen,Time Played,324963.26103763
Junkrat,Time Played,474.08553965
Lucio,Time Played,320591.44367351
Mei,Time Played,7864.391335660001
Mercy,Time Played,928.5004654500001
Moira,Time Played,226.80736194
Orisa,Time Played,12.643013589999999
Pharah,Time Played,2833.08039706
Reaper,Time Played,14.60576743
Reinhardt,Time Played,769.9170869000001
Roadhog,Time Played,19.46466941
Sojourn,Time Played,248480.39900476
Soldier: 76,Time Played,118.7506758
Sombra,Time Played,545.06974942
Symmetra,Time Played,602.47420412
Tracer,Time Played,2970.46631966
Widowmaker,Time Played,3740.33974317
Winston,Time Played,392.19987463
Wrecking Ball,Time Played,455.55975235
Zarya,Time Played,48.66352284
Zenyatta,Time Played,5898.02378415
