player_name,team_name,hero_name,stat_name,amount
ANS,Los Angeles Gladiators,All Heroes,Time Played,6361.41676241
ANS,Los Angeles Gladiators,Ashe,Time Played,6310.79501427
ANS,Los Angeles Gladiators,Tracer,Time Played,39.92261839
ANS,Los Angeles Gladiators,Widowmaker,Time Played,10.69912976
ANSOONJAE,New York Excelsior,All Heroes,Time Played,15077.43872857
ANSOONJAE,New York Excelsior,Lucio,Time Played,15077.43872857
Admiral,London Spitfire,All Heroes,Time Played,17233.63248091
Admiral,London Spitfire,Ana,Time Played,4.86466444
Admiral,London Spitfire,Lucio,Time Played,17221.95315044
Admiral,London Spitfire,Mercy,Time Played,6.81466603
AimGod,Seoul Infernal,All Heroes,Time Played,18999.32856298
AimGod,Seoul Infernal,Ana,Time Played,31.15531962
AimGod,Seoul Infernal,Brigitte,Time Played,18968.17324335
AlphaYi,Hangzhou Spark,All Heroes,Time Played,9892.76663881
AlphaYi,Hangzhou Spark,Echo,Time Played,272.52644491
AlphaYi,Hangzhou Spark,Genji,Time Played,9434.3841365
AlphaYi,Hangzhou Spark,Pharah,Time Played,81.71653271
AlphaYi,Hangzhou Spark,Tracer,Time Played,72.99463182
AlphaYi,Hangzhou Spark,Widowmaker,Time Played,31.14489286
Although,Toronto Defiant,All Heroes,Time Played,17626.60353755
Although,Toronto Defiant,Bastion,Time Played,7.78900814
Although,Toronto Defiant,Genji,Time Played,17575.95854608
Although,Toronto Defiant,Hanzo,Time Played,6.81546366
Although,Toronto Defiant,Pharah,Time Played,24.34145039
Although,Toronto Defiant,Symmetra,Time Played,11.69906927
Anamo,Florida Mayhem,All Heroes,Time Played,3217.6967994
Anamo,Florida Mayhem,Brigitte,Time Played,1673.0788130199999
Anamo,Florida Mayhem,Lucio,Time Played,1537.8109595199999
Anamo,Florida Mayhem,Moira,Time Played,6.80702686
Architect,Hangzhou Spark,All Heroes,Time Played,4327.38346398
Architect,Hangzhou Spark,Genji,Time Played,4241.71252071
Architect,Hangzhou Spark,Tracer,Time Played,71.07611722
Architect,Hangzhou Spark,Widowmaker,Time Played,14.594826049999998
Aspire,Vancouver Titans,All Heroes,Time Played,16166.6486429
Aspire,Vancouver Titans,Ashe,Time Played,2394.27218777
Aspire,Vancouver Titans,Genji,Time Played,29.20180947
Aspire,Vancouver Titans,Hanzo,Time Played,3.89197373
Aspire,Vancouver Titans,Sojourn,Time Played,13567.010152930001
Aspire,Vancouver Titans,Symmetra,Time Played,11.68354404
Aspire,Vancouver Titans,Tracer,Time Played,21.40364981
Aspire,Vancouver Titans,Widowmaker,Time Played,139.18532515
Assassin,Washington Justice,All Heroes,Time Played,10910.603174150001
Assassin,Washington Justice,Genji,Time Played,10892.10797828
Assassin,Washington Justice,Widowmaker,Time Played,18.49519586
Aztac,Vancouver Titans,All Heroes,Time Played,16166.6486429
Aztac,Vancouver Titans,Brigitte,Time Played,16119.918256050001
Aztac,Vancouver Titans,Moira,Time Played,46.73038685
BERNAR,Hangzhou Spark,All Heroes,Time Played,11689.49862456
BERNAR,Hangzhou Spark,Doomfist,Time Played,75.88953709
BERNAR,Hangzhou Spark,Junker Queen,Time Played,11604.8548804
BERNAR,Hangzhou Spark,Orisa,Time Played,4.86383313
BERNAR,Hangzhou Spark,Reinhardt,Time Played,0.97153878
BERNAR,Hangzhou Spark,Zarya,Time Played,2.91883516
Backbone,London Spitfire,All Heroes,Time Played,17233.63248091
Backbone,London Spitfire,Bastion,Time Played,119.73996854
Backbone,London Spitfire,Echo,Time Played,56.45921975
Backbone,London Spitfire,Genji,Time Played,12600.52949821
Backbone,London Spitfire,Mei,Time Played,4395.57003485
Backbone,London Spitfire,Symmetra,Time Played,0.97506988
Backbone,London Spitfire,Widowmaker,Time Played,60.358689659999996
Becky,Los Angeles Valiant,All Heroes,Time Played,17697.73034445
Becky,Los Angeles Valiant,Echo,Time Played,5300.6099912
Becky,Los Angeles Valiant,Genji,Time Played,11978.59214948
Becky,Los Angeles Valiant,Junkrat,Time Played,35.02095789
Becky,Los Angeles Valiant,Mei,Time Played,273.52193952
Becky,Los Angeles Valiant,Symmetra,Time Played,22.385985259999998
Becky,Los Angeles Valiant,Tracer,Time Played,77.87192786
Becky,Los Angeles Valiant,Widowmaker,Time Played,9.72739326
CH0R0NG,Toronto Defiant,All Heroes,Time Played,17626.60353755
CH0R0NG,Toronto Defiant,Baptiste,Time Played,2.92178822
CH0R0NG,Toronto Defiant,Lucio,Time Played,17619.79962121
CH0R0NG,Toronto Defiant,Mercy,Time Played,0.97032094
CH0R0NG,Toronto Defiant,Moira,Time Played,2.91180717
Checkmate,Florida Mayhem,All Heroes,Time Played,13460.60878032
Checkmate,Florida Mayhem,Ashe,Time Played,13.63869452
Checkmate,Florida Mayhem,Echo,Time Played,174.20876783
Checkmate,Florida Mayhem,Genji,Time Played,12078.45600849
Checkmate,Florida Mayhem,Hanzo,Time Played,2.91695762
Checkmate,Florida Mayhem,Junkrat,Time Played,217.126831
Checkmate,Florida Mayhem,Mei,Time Played,264.75343483
Checkmate,Florida Mayhem,Pharah,Time Played,680.2972244
Checkmate,Florida Mayhem,Symmetra,Time Played,16.56209511
Checkmate,Florida Mayhem,Tracer,Time Played,5.8374452
Checkmate,Florida Mayhem,Widowmaker,Time Played,6.81132132
ChiYo,Dallas Fuel,All Heroes,Time Played,18965.73051709
ChiYo,Dallas Fuel,Lucio,Time Played,18965.73051709
ChoiSehwan,Guangzhou Charge,All Heroes,Time Played,16069.64836759
ChoiSehwan,Guangzhou Charge,Genji,Time Played,15433.2011
ChoiSehwan,Guangzhou Charge,Hanzo,Time Played,0.97330892
ChoiSehwan,Guangzhou Charge,Pharah,Time Played,225.78244483999998
ChoiSehwan,Guangzhou Charge,Sombra,Time Played,8.75855035
ChoiSehwan,Guangzhou Charge,Tracer,Time Played,395.09069592000003
ChoiSehwan,Guangzhou Charge,Widowmaker,Time Played,5.84226757
Coluge,San Francisco Shock,All Heroes,Time Played,17762.92419122
Coluge,San Francisco Shock,Doomfist,Time Played,168.39561909
Coluge,San Francisco Shock,Junker Queen,Time Played,17594.52857213
Cr0ng,Guangzhou Charge,All Heroes,Time Played,16069.64836759
Cr0ng,Guangzhou Charge,Doomfist,Time Played,47.69964164
Cr0ng,Guangzhou Charge,Junker Queen,Time Played,15977.17448914
Cr0ng,Guangzhou Charge,Roadhog,Time Played,2.91834325
Cr0ng,Guangzhou Charge,Wrecking Ball,Time Played,41.855893550000005
Crimzo,Boston Uprising,All Heroes,Time Played,3129.0490551000003
Crimzo,Boston Uprising,Ana,Time Played,2.9172163
Crimzo,Boston Uprising,Brigitte,Time Played,3126.1318388
Daizi,Chengdu Hunters,All Heroes,Time Played,462.37757105
Daizi,Chengdu Hunters,Junker Queen,Time Played,462.37757105
Danteh,Houston Outlaws,All Heroes,Time Played,13679.68508101
Danteh,Houston Outlaws,Junker Queen,Time Played,13679.68508101
Decay,Washington Justice,All Heroes,Time Played,17439.58107358
Decay,Washington Justice,Genji,Time Played,6515.3514213
Decay,Washington Justice,Hanzo,Time Played,0.97218317
Decay,Washington Justice,Sojourn,Time Played,10903.79167395
Decay,Washington Justice,Symmetra,Time Played,2.92154509
Decay,Washington Justice,Tracer,Time Played,7.78817856
Decay,Washington Justice,Widowmaker,Time Played,8.75607151
Diya,Los Angeles Valiant,All Heroes,Time Played,18400.5053449
Diya,Los Angeles Valiant,Doomfist,Time Played,47.6853624
Diya,Los Angeles Valiant,Junker Queen,Time Played,18352.8199825
Doge,Houston Outlaws,All Heroes,Time Played,3257.6698693
Doge,Houston Outlaws,Junker Queen,Time Played,3256.69963014
Doge,Houston Outlaws,Wrecking Ball,Time Played,0.97023916
Doha,Dallas Fuel,All Heroes,Time Played,6648.5658536
Doha,Dallas Fuel,Genji,Time Played,6193.024341169999
Doha,Dallas Fuel,Mei,Time Played,441.91554517000003
Doha,Dallas Fuel,Symmetra,Time Played,13.62596726
Dove,Vegas Eternal,All Heroes,Time Played,11764.47656836
Dove,Vegas Eternal,Ashe,Time Played,2019.6239767
Dove,Vegas Eternal,Cassidy,Time Played,5.83868247
Dove,Vegas Eternal,Hanzo,Time Played,6.81246883
Dove,Vegas Eternal,Sojourn,Time Played,9343.83182276
Dove,Vegas Eternal,Symmetra,Time Played,17.51654137
Dove,Vegas Eternal,Tracer,Time Played,152.78821002
Dove,Vegas Eternal,Widowmaker,Time Played,218.06486619
Edison,Dallas Fuel,All Heroes,Time Played,18965.73051709
Edison,Dallas Fuel,Ashe,Time Played,4779.9602207
Edison,Dallas Fuel,Bastion,Time Played,15.57007742
Edison,Dallas Fuel,Cassidy,Time Played,126.50390679
Edison,Dallas Fuel,Sojourn,Time Played,14028.13455553
Edison,Dallas Fuel,Symmetra,Time Played,14.585804459999999
Edison,Dallas Fuel,Tracer,Time Played,0.97595221
Ezhan,Los Angeles Valiant,All Heroes,Time Played,18400.5053449
Ezhan,Los Angeles Valiant,Ashe,Time Played,5973.21389574
Ezhan,Los Angeles Valiant,Bastion,Time Played,30.17323893
Ezhan,Los Angeles Valiant,Echo,Time Played,1.94662893
Ezhan,Los Angeles Valiant,Sojourn,Time Played,12044.79433231
Ezhan,Los Angeles Valiant,Soldier: 76,Time Played,36.98411238
Ezhan,Los Angeles Valiant,Symmetra,Time Played,33.08723134
Ezhan,Los Angeles Valiant,Tracer,Time Played,223.83925133999998
Ezhan,Los Angeles Valiant,Widowmaker,Time Played,56.466653949999994
FIXA,Seoul Infernal,All Heroes,Time Played,18999.32856298
FIXA,Seoul Infernal,Ana,Time Played,7.790364159999999
FIXA,Seoul Infernal,Lucio,Time Played,18991.53819884
Faith,Boston Uprising,All Heroes,Time Played,16725.892930859998
Faith,Boston Uprising,Lucio,Time Played,16720.05976003
Faith,Boston Uprising,Zenyatta,Time Played,5.83317083
Farway1987,Guangzhou Charge,All Heroes,Time Played,16069.64836759
Farway1987,Guangzhou Charge,Brigitte,Time Played,16068.67617518
Farway1987,Guangzhou Charge,Lucio,Time Played,0.97219241
FiNN,San Francisco Shock,All Heroes,Time Played,17762.92419122
FiNN,San Francisco Shock,Ana,Time Played,30.17018134
FiNN,San Francisco Shock,Brigitte,Time Played,17639.30588215
FiNN,San Francisco Shock,Moira,Time Played,93.44812775
Fielder,Dallas Fuel,All Heroes,Time Played,18965.73051709
Fielder,Dallas Fuel,Ana,Time Played,57.4114235
Fielder,Dallas Fuel,Brigitte,Time Played,18905.39357341
Fielder,Dallas Fuel,Moira,Time Played,2.92552018
Fits,Seoul Dynasty,All Heroes,Time Played,14987.17135929
Fits,Seoul Dynasty,Ashe,Time Played,5921.72865378
Fits,Seoul Dynasty,Sojourn,Time Played,8587.54455596
Fits,Seoul Dynasty,Symmetra,Time Played,30.161778740000003
Fits,Seoul Dynasty,Tracer,Time Played,375.71214087
Fits,Seoul Dynasty,Widowmaker,Time Played,72.02422995
Flora,New York Excelsior,All Heroes,Time Played,15990.48518115
Flora,New York Excelsior,Ashe,Time Played,5618.95753652
Flora,New York Excelsior,Sojourn,Time Played,10229.41201055
Flora,New York Excelsior,Symmetra,Time Played,8.7739607
Flora,New York Excelsior,Tracer,Time Played,133.34167338
FunnyAstro,Los Angeles Gladiators,All Heroes,Time Played,17572.31871599
FunnyAstro,Los Angeles Gladiators,Lucio,Time Played,17572.31871599
Fury,Seoul Infernal,All Heroes,Time Played,18999.32856298
Fury,Seoul Infernal,Doomfist,Time Played,45.73156066
Fury,Seoul Infernal,Junker Queen,Time Played,18953.59700233
GA9A,Chengdu Hunters,All Heroes,Time Played,15187.83616524
GA9A,Chengdu Hunters,Doomfist,Time Played,39.90301812
GA9A,Chengdu Hunters,Junker Queen,Time Played,14765.46308077
GA9A,Chengdu Hunters,Orisa,Time Played,3.89111274
GA9A,Chengdu Hunters,Winston,Time Played,378.57895362
GangNamJin,New York Excelsior,All Heroes,Time Played,15990.48518115
GangNamJin,New York Excelsior,Ana,Time Played,895.51684386
GangNamJin,New York Excelsior,Brigitte,Time Played,15061.863755389999
GangNamJin,New York Excelsior,Lucio,Time Played,27.26046145
GangNamJin,New York Excelsior,Moira,Time Played,5.84412044
Guxue,Hangzhou Spark,All Heroes,Time Played,2530.65147823
Guxue,Hangzhou Spark,Junker Queen,Time Played,2530.65147823
HO1,New York Excelsior,All Heroes,Time Played,913.04645258
HO1,New York Excelsior,Brigitte,Time Played,33.09965068
HO1,New York Excelsior,Lucio,Time Played,3.8973676
HO1,New York Excelsior,Zenyatta,Time Played,876.0494343
HOTBA,Toronto Defiant,All Heroes,Time Played,17626.60353755
HOTBA,Toronto Defiant,Junker Queen,Time Played,17626.60353755
Hadi,London Spitfire,All Heroes,Time Played,17233.63248091
Hadi,London Spitfire,D.Va,Time Played,8.75949591
Hadi,London Spitfire,Junker Queen,Time Played,16443.26892196
Hadi,London Spitfire,Reinhardt,Time Played,767.9748517300001
Hadi,London Spitfire,Roadhog,Time Played,13.629211309999999
Hanbin,Dallas Fuel,All Heroes,Time Played,18965.73051709
Hanbin,Dallas Fuel,D.Va,Time Played,65.2178939
Hanbin,Dallas Fuel,Doomfist,Time Played,105.14230936999999
Hanbin,Dallas Fuel,Junker Queen,Time Played,18746.70851129
Hanbin,Dallas Fuel,Roadhog,Time Played,2.91711485
Hanbin,Dallas Fuel,Zarya,Time Played,45.74468768
Happy,Los Angeles Gladiators,All Heroes,Time Played,9909.63368494
Happy,Los Angeles Gladiators,Ashe,Time Played,790.2901774
Happy,Los Angeles Gladiators,Genji,Time Played,7.78651291
Happy,Los Angeles Gladiators,Hanzo,Time Played,5.83487737
Happy,Los Angeles Gladiators,Pharah,Time Played,36.9938141
Happy,Los Angeles Gladiators,Sojourn,Time Played,9025.9041847
Happy,Los Angeles Gladiators,Symmetra,Time Played,28.21989792
Happy,Los Angeles Gladiators,Widowmaker,Time Played,14.60422051
Happy,Washington Justice,All Heroes,Time Played,6528.9778994299995
Happy,Washington Justice,Sojourn,Time Played,6519.24479067
Happy,Washington Justice,Symmetra,Time Played,2.91609591
Happy,Washington Justice,Widowmaker,Time Played,6.81701285
Hawk,Atlanta Reign,All Heroes,Time Played,17068.90722738
Hawk,Atlanta Reign,D.Va,Time Played,10.7072773
Hawk,Atlanta Reign,Doomfist,Time Played,20.45140678
Hawk,Atlanta Reign,Junker Queen,Time Played,17028.0248776
Hawk,Atlanta Reign,Orisa,Time Played,3.88806772
Hawk,Atlanta Reign,Winston,Time Played,5.83559799
Heesu,Toronto Defiant,All Heroes,Time Played,17626.60353755
Heesu,Toronto Defiant,Ashe,Time Played,13070.38624256
Heesu,Toronto Defiant,Echo,Time Played,4.86803561
Heesu,Toronto Defiant,Reaper,Time Played,14.60576743
Heesu,Toronto Defiant,Sojourn,Time Played,4446.2291872
Heesu,Toronto Defiant,Soldier: 76,Time Played,34.06007344
Heesu,Toronto Defiant,Symmetra,Time Played,20.432250200000002
Heesu,Toronto Defiant,Widowmaker,Time Played,36.02198113
Hydron,Florida Mayhem,All Heroes,Time Played,8426.6198442
Hydron,Florida Mayhem,Ashe,Time Played,343.58116692000004
Hydron,Florida Mayhem,Sojourn,Time Played,7628.52931005
Hydron,Florida Mayhem,Symmetra,Time Played,16.54758035
Hydron,Florida Mayhem,Tracer,Time Played,308.53635681
Hydron,Florida Mayhem,Widowmaker,Time Played,129.42543007
INNOVATION,Los Angeles Valiant,All Heroes,Time Played,702.77500045
INNOVATION,Los Angeles Valiant,Mei,Time Played,651.18509603
INNOVATION,Los Angeles Valiant,Tracer,Time Played,51.58990443
IZaYaKI,Shanghai Dragons,All Heroes,Time Played,14693.07863466
IZaYaKI,Shanghai Dragons,Ana,Time Played,6.81262255
IZaYaKI,Shanghai Dragons,Brigitte,Time Played,14683.347001350001
IZaYaKI,Shanghai Dragons,Zenyatta,Time Played,2.91901076
Jimmy,Guangzhou Charge,All Heroes,Time Played,16069.64836759
Jimmy,Guangzhou Charge,Ashe,Time Played,647.28208101
Jimmy,Guangzhou Charge,Cassidy,Time Played,42.82079887
Jimmy,Guangzhou Charge,Sojourn,Time Played,14853.87136575
Jimmy,Guangzhou Charge,Symmetra,Time Played,35.02255755
Jimmy,Guangzhou Charge,Tracer,Time Played,25.32528907
Jimmy,Guangzhou Charge,Widowmaker,Time Played,465.32627534
Jinmu,Chengdu Hunters,All Heroes,Time Played,15650.21373629
Jinmu,Chengdu Hunters,Genji,Time Played,14423.91168363
Jinmu,Chengdu Hunters,Hanzo,Time Played,6.81744683
Jinmu,Chengdu Hunters,Pharah,Time Played,1076.41314107
Jinmu,Chengdu Hunters,Tracer,Time Played,143.07146477
Kaan,Vegas Eternal,All Heroes,Time Played,3743.29565358
Kaan,Vegas Eternal,Ana,Time Played,78.86593384
Kaan,Vegas Eternal,Brigitte,Time Played,3664.42971975
Kai,Atlanta Reign,All Heroes,Time Played,17068.90722738
Kai,Atlanta Reign,Ashe,Time Played,2784.62234711
Kai,Atlanta Reign,Sojourn,Time Played,14243.41110529
Kai,Atlanta Reign,Symmetra,Time Played,18.4938969
Kai,Atlanta Reign,Widowmaker,Time Played,22.3798781
Kalios,Washington Justice,All Heroes,Time Played,10910.603174150001
Kalios,Washington Justice,Doomfist,Time Played,52.55325848
Kalios,Washington Justice,Junker Queen,Time Played,10858.04991567
Kellan,New York Excelsior,All Heroes,Time Played,15990.48518115
Kellan,New York Excelsior,Doomfist,Time Played,46.709772650000005
Kellan,New York Excelsior,Junker Queen,Time Played,15942.80471212
Kellan,New York Excelsior,Reinhardt,Time Played,0.97069639
Kilo,San Francisco Shock,All Heroes,Time Played,17762.92419122
Kilo,San Francisco Shock,Ashe,Time Played,4184.14394277
Kilo,San Francisco Shock,Cassidy,Time Played,2.9180097
Kilo,San Francisco Shock,Hanzo,Time Played,7.78206462
Kilo,San Francisco Shock,Sojourn,Time Played,13082.44311654
Kilo,San Francisco Shock,Symmetra,Time Played,27.23418652
Kilo,San Francisco Shock,Tracer,Time Played,3.8969745
Kilo,San Francisco Shock,Widowmaker,Time Played,454.50589656000005
Krawi,Vegas Eternal,All Heroes,Time Played,8021.18091478
Krawi,Vegas Eternal,Doomfist,Time Played,53.54968733
Krawi,Vegas Eternal,Junker Queen,Time Played,7936.46390582
Krawi,Vegas Eternal,Wrecking Ball,Time Played,31.16732163
Krillin,Washington Justice,All Heroes,Time Played,10910.603174150001
Krillin,Washington Justice,Ana,Time Played,8.76115704
Krillin,Washington Justice,Brigitte,Time Played,10901.84201711
LIP,Shanghai Dragons,All Heroes,Time Played,14693.07863466
LIP,Shanghai Dragons,Ashe,Time Played,1569.75966001
LIP,Shanghai Dragons,Sojourn,Time Played,13001.67248921
LIP,Shanghai Dragons,Soldier: 76,Time Played,0.97647512
LIP,Shanghai Dragons,Sombra,Time Played,6.80993992
LIP,Shanghai Dragons,Symmetra,Time Played,20.43780374
LIP,Shanghai Dragons,Widowmaker,Time Played,93.42226665999999
Landon,London Spitfire,All Heroes,Time Played,17233.63248091
Landon,London Spitfire,Ana,Time Played,744.6191703100001
Landon,London Spitfire,Brigitte,Time Played,16465.65762918
Landon,London Spitfire,Moira,Time Played,23.35568142
Lastro,Houston Outlaws,All Heroes,Time Played,16937.35495031
Lastro,Houston Outlaws,Brigitte,Time Played,16934.44006223
Lastro,Houston Outlaws,Moira,Time Played,2.91488808
Leave,Chengdu Hunters,All Heroes,Time Played,15650.21373629
Leave,Chengdu Hunters,Ashe,Time Played,1905.75706905
Leave,Chengdu Hunters,Echo,Time Played,255.00968474
Leave,Chengdu Hunters,Sojourn,Time Played,13245.16156626
Leave,Chengdu Hunters,Symmetra,Time Played,29.19554257
Leave,Chengdu Hunters,Tracer,Time Played,7.77556807
Leave,Chengdu Hunters,Widowmaker,Time Played,207.31430559
LeeJaeGon,Shanghai Dragons,All Heroes,Time Played,14693.07863466
LeeJaeGon,Shanghai Dragons,Lucio,Time Played,14693.07863466
Lengsa,Los Angeles Valiant,All Heroes,Time Played,18400.5053449
Lengsa,Los Angeles Valiant,Ana,Time Played,3.89597398
Lengsa,Los Angeles Valiant,Lucio,Time Played,18389.79887006
Lengsa,Los Angeles Valiant,Mercy,Time Played,6.81050086
Lep,Houston Outlaws,All Heroes,Time Played,16937.35495031
Lep,Houston Outlaws,Lucio,Time Played,16937.35495031
Lukemino,Vegas Eternal,All Heroes,Time Played,8021.1809147799995
Lukemino,Vegas Eternal,Ana,Time Played,5.83579648
Lukemino,Vegas Eternal,Lucio,Time Played,7650.35670812
Lukemino,Vegas Eternal,Mercy,Time Played,0.97165805
Lukemino,Vegas Eternal,Zenyatta,Time Played,364.01675212
MAG,Boston Uprising,All Heroes,Time Played,7912.60994875
MAG,Boston Uprising,Junker Queen,Time Played,7912.60994875
MAG,Washington Justice,All Heroes,Time Played,6528.9778994299995
MAG,Washington Justice,Junker Queen,Time Played,6484.19315356
MAG,Washington Justice,Wrecking Ball,Time Played,44.78474587
MCD,Boston Uprising,All Heroes,Time Played,13596.84387576
MCD,Boston Uprising,Brigitte,Time Played,13596.84387576
MER1T,Houston Outlaws,All Heroes,Time Played,16937.35495031
MER1T,Houston Outlaws,Ashe,Time Played,8410.49124802
MER1T,Houston Outlaws,Hanzo,Time Played,2.91447711
MER1T,Houston Outlaws,Sojourn,Time Played,8477.21062164
MER1T,Houston Outlaws,Symmetra,Time Played,43.81826233
MER1T,Houston Outlaws,Widowmaker,Time Played,2.92034119
MN3,Seoul Infernal,All Heroes,Time Played,7522.9276359
MN3,Seoul Infernal,Ashe,Time Played,635.52620589
MN3,Seoul Infernal,Bastion,Time Played,1.94912136
MN3,Seoul Infernal,Sojourn,Time Played,6635.36543954
MN3,Seoul Infernal,Symmetra,Time Played,4.870980980000001
MN3,Seoul Infernal,Tracer,Time Played,35.02874607
MN3,Seoul Infernal,Widowmaker,Time Played,210.18714208
MaltheL,Vegas Eternal,All Heroes,Time Played,8021.18091478
MaltheL,Vegas Eternal,Genji,Time Played,7588.01156885
MaltheL,Vegas Eternal,Pharah,Time Played,332.90016568
MaltheL,Vegas Eternal,Symmetra,Time Played,4.87342405
MaltheL,Vegas Eternal,Tracer,Time Played,70.09253645
MaltheL,Vegas Eternal,Widowmaker,Time Played,25.303219730000002
Masaa,Vancouver Titans,All Heroes,Time Played,16166.6486429
Masaa,Vancouver Titans,Ana,Time Played,1.94902474
Masaa,Vancouver Titans,Lucio,Time Played,16164.69961816
MirroR,Vancouver Titans,All Heroes,Time Played,16166.6486429
MirroR,Vancouver Titans,Doomfist,Time Played,40.882264070000005
MirroR,Vancouver Titans,Junker Queen,Time Played,16125.76637883
Mmonk,Chengdu Hunters,All Heroes,Time Played,15650.21373629
Mmonk,Chengdu Hunters,Ana,Time Played,411.67311804999997
Mmonk,Chengdu Hunters,Brigitte,Time Played,15215.18135105
