hero_name,stat_name,amount
Ana,Time Played,3428.16947304
Ashe,Time Played,28537.36309156
Baptiste,Time Played,0.97250015
Bastion,Time Played,13.619205169999999
Brigitte,Time Played,109149.22003876
Doomfist,Time Played,758.09575641
Echo,Time Played,391.18092136999996
Genji,Time Played,111140.91532759
Hanzo,Time Played,10.70177471
Junker Queen,Time Played,111736.56352479
Lucio,Time Played,110045.72737911
Mei,Time Played,361.08167678
Mercy,Time Played,9.721909230000001
Moira,Time Played,26.28437275
Pharah,Time Played,191.67408508
Reaper,Time Played,3.89319592
Roadhog,Time Played,1.94404131
Sojourn,Time Played,82635.60336104
Soldier: 76,Time Played,30.17361623
Sombra,Time Played,9.7277562
Symmetra,Time Played,249.18765495
Tracer,Time Played,1445.31584172
Widowmaker,Time Played,229.73436709
Winston,Time Played,1.94825613
Wrecking Ball,Time Played,126.53435898000001
Zenyatta,Time Played,2590.07620228
