player_name,team_name,hero_name,stat_name,amount
Admiral,London Spitfire,All Heroes,Time Played,9078.07879745
Admiral,London Spitfire,Ana,Time Played,1.94399756
Admiral,London Spitfire,Lucio,Time Played,9076.13479989
AimGod,Seoul Infernal,All Heroes,Time Played,8235.15724979
AimGod,Seoul Infernal,Ana,Time Played,45.75200522
AimGod,Seoul Infernal,Brigitte,Time Played,8186.49038446
AimGod,Seoul Infernal,Zenyatta,Time Played,2.91486013
Although,Toronto Defiant,All Heroes,Time Played,14416.773767820001
Although,Toronto Defiant,Genji,Time Played,14398.27673797
Although,Toronto Defiant,Symmetra,Time Played,18.497029849999997
Aspire,Vancouver Titans,All Heroes,Time Played,4602.88753652
Aspire,Vancouver Titans,Ashe,Time Played,1111.6399035499999
Aspire,Vancouver Titans,Sojourn,Time Played,3483.46670652
Aspire,Vancouver Titans,Symmetra,Time Played,1.94685769
Aspire,Vancouver Titans,Widowmaker,Time Played,5.83406878
Assassin,Washington Justice,All Heroes,Time Played,6605.81247038
Assassin,Washington Justice,Genji,Time Played,6599.00365317
Assassin,Washington Justice,Tracer,Time Played,6.80881721
Aztac,Vancouver Titans,All Heroes,Time Played,4602.88753652
Aztac,Vancouver Titans,Brigitte,Time Played,4602.88753652
Backbone,London Spitfire,All Heroes,Time Played,9078.07879745
Backbone,London Spitfire,Genji,Time Played,8714.06280618
Backbone,London Spitfire,Mei,Time Played,336.75748646
Backbone,London Spitfire,Symmetra,Time Played,5.838871650000001
Backbone,London Spitfire,Tracer,Time Played,0.97146523
Backbone,London Spitfire,Widowmaker,Time Played,20.44816792
CH0R0NG,Toronto Defiant,All Heroes,Time Played,14416.773767820001
CH0R0NG,Toronto Defiant,Lucio,Time Played,14416.77376782
Checkmate,Florida Mayhem,All Heroes,Time Played,11334.37123774
Checkmate,Florida Mayhem,Ashe,Time Played,17.51431942
Checkmate,Florida Mayhem,Genji,Time Played,11253.61242663
Checkmate,Florida Mayhem,Mei,Time Played,24.32419032
Checkmate,Florida Mayhem,Pharah,Time Played,24.31940061
Checkmate,Florida Mayhem,Symmetra,Time Played,9.72934586
Checkmate,Florida Mayhem,Widowmaker,Time Played,4.87155491
ChiYo,Dallas Fuel,All Heroes,Time Played,11085.99708282
ChiYo,Dallas Fuel,Lucio,Time Played,11085.99708282
ChoiSehwan,Guangzhou Charge,All Heroes,Time Played,4850.7401567
ChoiSehwan,Guangzhou Charge,Genji,Time Played,4547.12165826
ChoiSehwan,Guangzhou Charge,Pharah,Time Played,167.35468447
ChoiSehwan,Guangzhou Charge,Soldier: 76,Time Played,30.17361623
ChoiSehwan,Guangzhou Charge,Tracer,Time Played,76.88458597
ChoiSehwan,Guangzhou Charge,Widowmaker,Time Played,29.20561177
Coluge,San Francisco Shock,All Heroes,Time Played,13024.78656064
Coluge,San Francisco Shock,Doomfist,Time Played,68.1101275
Coluge,San Francisco Shock,Junker Queen,Time Played,12956.676433139999
Cr0ng,Guangzhou Charge,All Heroes,Time Played,4850.7401567
Cr0ng,Guangzhou Charge,Junker Queen,Time Played,4785.5244363599995
Cr0ng,Guangzhou Charge,Wrecking Ball,Time Played,65.21572036
Danteh,Houston Outlaws,All Heroes,Time Played,7410.55529087
Danteh,Houston Outlaws,Doomfist,Time Played,48.62659985
Danteh,Houston Outlaws,Junker Queen,Time Played,7361.92869102
Decay,Washington Justice,All Heroes,Time Played,6605.81247038
Decay,Washington Justice,Sojourn,Time Played,6595.09161467
Decay,Washington Justice,Symmetra,Time Played,3.8979353999999997
Decay,Washington Justice,Tracer,Time Played,6.82292032
